horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)39.500 TL,2.)15.800 TL,3.)7.900 TL,4.)3.950 TL,1.)6.814 TL,2.)2.726 TL,3.)1.363 TL,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
1,TAŞERON KG,5y k  a,TOŞUR,"56,5",N.ALTIN,MEHMET POLAT,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
2,İBİŞBEY SKG SK,4y k  a,SERDARHAN,"54,5",İ.AKYAVUZ,MEHMET DOĞAN,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
3,ÇIKMAZOĞLU KG DB SK,7y k  a,KARATAŞ,55 +0.60,İ.KATAR AP,İSMAİL ÇİZİK,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
4,ESENTEPELİ,5y a  a,KURUŞAĞA,56 +0.70,B.BEKTAŞ,ALİ ÇİZİK,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
5,MAKRIKÖY KG DB SK,6y a  a,KAIZBERT (RU),60,H.ALTUNDAĞ AP,MEHMET EMİN DEMİRKAPU,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
6,KAYALASKA KG,5y k  a,TUNABEYİ,51 +0.40,M.ŞAKİR AP,AHMET KAYA,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
7,ÜNLÜ PRENS KG K,5y a  a,SULTAN DE FAUST (FR),"62,5",M.AVŞAR,BEKİR ÜNLÜ,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
8,HİLVANLIM SK,4y k  a,AKTAŞOĞLU,55 +1.00,İ.KATI,FETHİ TEKPINAR,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
9,İSYANIM DB,4y a  a,KURUŞAĞA,50 +2.00,B.SARIDAL AP,HALİL ARTUN,﻿Diyarbakır,2021-10-24,1,,Kum,English,Sunday
