horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)82.000 TL,2.)32.800 TL,3.)16.400 TL,4.)8.200 TL,1.)14.145 TL,2.)5.658 TL,3.)2.829 TL,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
1,FİRUZE SULTAN KG K DB,4y a k,TOŞUR,60,M.ÇİÇEK,GÜLER TUZCU,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
2,MİSTRAL KG K DB,4y k k,DEMİRDÖVEN,54 +2.00,K.GÖKÇE AP,FARUK ATEŞ,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
3,DUYGUDENİZİM KG SK,4y k k,KARAÜZÜM,"54,5 +1.30",M.AKIN AP,M.ÖMER NAUSHAD MA,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
4,GELENCAN KG DB SK,4y k k,TAMERİNOĞLU,"57,5",MER.ÇELİK,MUHARREM CAN,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
5,RUZE KG K,4y k k,TAMERİNOĞLU,56,B.M.MIRIK,SEÇKİN ÖZBEY,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
6,KAYA DE SULTAN KG DB SK,4y a k,SULTAN DE FAUST (FR),50,M.UYAR AP,MEHMET ÇEVİK,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
7,KUMRAL TAY KG DB SK,4y d k,TÜMÖZ BEY,57,U.İRTİŞ AP,MUSTAFA ARICI,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
8,MİHRİM KG DB SK,4y k k,SULTAN DE FAUST (FR),"53,5 +2.00",İ.KALE,İBRAHİM ATAK,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
9,BEYAZ GECE KG DB SK GKR,4y k k,ESKİŞEHİRLİ,52 +0.30,E.ÇİZİK AP,FERİDE KURT,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
10,KALE GÖZÜ KG DB,4y d k,SONALP,"53,5 +0.50",A.C.DAĞDEVİREN,MERTCAN ÖZKAN,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
11,SAFİNAZ DB SK,4y d k,KARA YAĞIZ,"53,5 +2.00",H.ŞİMŞEK,ORHAN DURMUŞ,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
12,CENNET DE FAUST K,4y a k,SULTAN DE FAUST (FR),"57,5",M.KAYİŞ AP,MEHMET ALİ ÇEVİK,﻿İzmir,2023-01-26,1,,Kum,English,Thursday
1.)108.000 TL,2.)43.200 TL,3.)21.600 TL,4.)10.800 TL,1.)24.840 TL,2.)9.936 TL,3.)4.968 TL,﻿İzmir,2023-01-26,2,,Kum,English,Thursday
1,LA BOMBONERA KG K DB,3y k  e,WIN RIVER WIN (USA),58,H.KARATAŞ,HÜSEYİN YILDIZ,﻿İzmir,2023-01-26,2,,Kum,English,Thursday
