horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)69.000 TL,2.)27.600 TL,3.)13.800 TL,4.)6.900 TL,1.)11.903 TL,2.)4.761 TL,3.)2.381 TL,﻿İstanbul,2021-11-24,1,,,English,Wednesday
1,MYSTERY FOCUS KG DB SK,4y a  g,LION HEART (USA),52 +1.40,MÜS.ÇELİK,HÜSEYİN YÜKSEL,﻿İstanbul,2021-11-24,1,,,English,Wednesday
2,HAPPY TIME KG DB SK,4y d  g,TRIPLE BONUS,"56,5",A.SÖZEN,MEHMET EMİN AKYOL,﻿İstanbul,2021-11-24,1,,,English,Wednesday
3,JOSEPHINE,4y a k,LUXOR,"56,5",GÖKH.GÖKÇE,T. İZZET AKSOY,﻿İstanbul,2021-11-24,1,,,English,Wednesday
4,FİLANDOZ K,4y d  a,GRAND EKINOKS,50 +2.00,S.AKBULAT AP,BARIŞ GÖRGÜN,﻿İstanbul,2021-11-24,1,,,English,Wednesday
5,DEM DEM DB SKG SK,4y a  a,CUVEE (USA),"50,5 +2.00",G.ÖZÇELİK AP,HÜSEYİN YÜKSEL,﻿İstanbul,2021-11-24,1,,,English,Wednesday
6,COOL IMAGE K DB,5y d k,SCARFACE,57,K.GÖKÇE AP,HÜSEYİN YILDIZ,﻿İstanbul,2021-11-24,1,,,English,Wednesday
7,MYSTIC STAR,4y d k,DR FONG (USA),50 +2.00,HAKAN YILDIZ,ALİ RIZA ÇELİKOĞLU,﻿İstanbul,2021-11-24,1,,,English,Wednesday
8,FUJİSAN KG SK,3y d  e,KANEKO,"51,5 +0.50",M.HAMEDİ,İBRAHİM HALİL ARSLAN,﻿İstanbul,2021-11-24,1,,,English,Wednesday
9,MÜHENDİS KG DB SK,5y d  a,SPORTS HERO (USA),60,M.KAYİŞ AP,HÜSEYİN YÜKSEL,﻿İstanbul,2021-11-24,1,,,English,Wednesday
10,EL PROFESOR KG K DB BB SGKR,3y a  e,NATIVE KHAN (FR),"50,5 +2.00",A.ASLAN,İSMAİL CEM ERGİN,﻿İstanbul,2021-11-24,1,,,English,Wednesday
11,COMMITMENT KG K,3y d  d,POINT OF ENTRY (USA),"53,5",VEDAT ABİŞ,T. İZZET AKSOY,﻿İstanbul,2021-11-24,1,,,English,Wednesday
12,DOĞU PRENSİ KG K,4y d  a,MENDIP (USA),54 +0.40,D.KAYA AP,CUMHUR BALKAROĞLU,﻿İstanbul,2021-11-24,1,,,English,Wednesday
1.)60.000 TL,2.)24.000 TL,3.)12.000 TL,4.)6.000 TL,1.)17.250 TL,2.)6.900 TL,3.)3.450 TL,﻿İstanbul,2021-11-24,2,,,English,Wednesday
1,MELTEMKIZ SK,3y a  d,SONALP,57,GÖKH.GÖKÇE,METEHAN YALÇINKAYA,﻿İstanbul,2021-11-24,2,,,English,Wednesday
2,ADIYAKŞİ KG DB SK,3y a  d,KAIZBERT (RU),53 +0.30,E.KADİRLER AP,MUNİR GÖKÇE,﻿İstanbul,2021-11-24,2,,,English,Wednesday
3,DUDAKBÜKEN KG SK,3y a  d,KAIZBERT (RU),58,B.ÇIĞLA AP,METE ÇELİK,﻿İstanbul,2021-11-24,2,,,English,Wednesday
4,DİLSU SK,3y k  d,TURBO,57,A.SÖZEN,KEREM ERENSOY,﻿İstanbul,2021-11-24,2,,,English,Wednesday
5,NİZİPLİ GÜZEL KG DB,3y d  d,BABA MEVLÜT,57,F.YÜKSEL,MUSTAFA İBRAHİM DENİZ,﻿İstanbul,2021-11-24,2,,,English,Wednesday
6,RÜYANIN KIZI K DB,3y k  d,BATURŞAH,57,S.BOYRAZ,MURAT ERKAN,﻿İstanbul,2021-11-24,2,,,English,Wednesday
7,CÜDA SKG SK,3y d  d,HİSARBEY,57,İ.DİNAR,H.TARIK DİKENCİK,﻿İstanbul,2021-11-24,2,,,English,Wednesday
8,RENGÜL SULTAN DB,3y k  d,TURBO,54 +1.00,Ç.CANPOLAT AP,KAYA KAYA,﻿İstanbul,2021-11-24,2,,,English,Wednesday
9,GÜLBATAN KG SK,3y d  d,BABA MEVLÜT,53 +0.10,BERKANT GÖKÇE AP,AHMET POLAT,﻿İstanbul,2021-11-24,2,,,English,Wednesday
10,CANSABİHA KG DB SK,3y a  d,DEMİRSOY,53,M.BAĞ AP,ERDEM ARAL,﻿İstanbul,2021-11-24,2,,,English,Wednesday
1.)45.500 TL,2.)18.200 TL,3.)9.100 TL,4.)4.550 TL,1.)7.849 TL,2.)3.140 TL,3.)1.570 TL,﻿İstanbul,2021-11-24,3,,,English,Wednesday
1,OLSAR DB SK,4y a k,ONURKAAN,56 +0.10,M.AKIN AP,İLHAN GÜÇLÜ,﻿İstanbul,2021-11-24,3,,,English,Wednesday
2,FARMER GIRL KG DB SK,4y a k,UÇANOĞLU,58,G.KOCAKAYA,SEYİTHAN ÇİFTÇİ,﻿İstanbul,2021-11-24,3,,,English,Wednesday
3,SÖĞÜTLÜ KG DB GKR,4y k k,TAMERİNOĞLU,58,M.HAMEDİ,AHMET AYDOĞDİ,﻿İstanbul,2021-11-24,3,,,English,Wednesday
4,SERİN DALGA KG DB SK,4y a k,ÖZGÜNHAN,57,B.ÇIĞLA AP,C.AHMET ÇUKUROVA,﻿İstanbul,2021-11-24,3,,,English,Wednesday
5,SAHRAP K,4y a k,ENGİNHAN,56 +1.40,M.KAYA,YASİN GÖKÇE,﻿İstanbul,2021-11-24,3,,,English,Wednesday
6,BALSENA K,4y k k,UÇANOĞLU,56,H.ÇİZİK,UMUR ÖZARAR,﻿İstanbul,2021-11-24,3,,,English,Wednesday
7,RUBIN ROYAL KG K DB,4y d k,TÜMÖZ BEY,53,G.ÖZÇELİK AP,SEYİTHAN ÇİFTÇİ,﻿İstanbul,2021-11-24,3,,,English,Wednesday
1.)60.000 TL,2.)24.000 TL,3.)12.000 TL,4.)6.000 TL,1.)17.250 TL,2.)6.900 TL,3.)3.450 TL,﻿İstanbul,2021-11-24,4,,,English,Wednesday
1,HANGANG KG DB,3y d  d,KURTEL,57,VEDAT ABİŞ,HAKAN YÜCETÜRK,﻿İstanbul,2021-11-24,4,,,English,Wednesday
2,RÜZGARSOY KG,3y a  d,HİSARBEY,57,İ.DİNAR,TARIK NACİ YILDIZ,﻿İstanbul,2021-11-24,4,,,English,Wednesday
3,LADY ECEM KG K DB,3y k  d,SEFAHAN,57,MÜS.ÇELİK,SAVAŞ AYDOĞDİ,﻿İstanbul,2021-11-24,4,,,English,Wednesday
4,HAMRA,3y k  d,ATACAN,57 +0.30,M.KAYA,KAYA KAYA,﻿İstanbul,2021-11-24,4,,,English,Wednesday
5,ANDREAKIZI KG DB,3y a  d,DEVİREN,54 +2.00,M.KAYİŞ AP,HASAN AKBULUT,﻿İstanbul,2021-11-24,4,,,English,Wednesday
6,DİŞİ ASLAN KG K DB,3y a  d,TURBO,53 +0.80,K.YILMAZ AP,İSMET ALTIN,﻿İstanbul,2021-11-24,4,,,English,Wednesday
7,MARALIM DB SKG SK,3y k  d,UÇANOĞLU,54,G.ÖZÇELİK AP,OKAN KOÇHİSARLI,﻿İstanbul,2021-11-24,4,,,English,Wednesday
