horse_no,horse_name,age,origin,weight,jockey,owner_trainer,starting_position,performance_score,last_6_races,kgs_score,s20_score,eid_score,gny_score,agf_score,venue,file_date
5,FLUTE D'OR (IRE),4y d k,GOLDEN HORN - QUINTA VERDE (IRE)(TAMAYUZ),"59,5",MILLIE WONNACOTT,MISS JANE ALLISON HARRY CHARLTON,7,0,,,,,,%4.04(5)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
7,STAR OF JUPITER (IRE),4y d a,STARSPANGLEDBANNER (AUS) - CALLISTAN (IRE)(GALILEO (IRE)),64,J PEATE,MELİSSA COOKE AND DA M LOUGHNANE,2,0,,,,,,%2.47(6)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
1.)3.140 £,2.)1.473 £,3.)736 £,4.)368 £,,,,,,,,,,,,﻿Wolverhampton Birleşik Krallık,2025-01-20
1,KITARO KICH (IRE)KITARO KICH KG DB,5y a  a,KARAKONTIE (JPN) - THE TULIP (IRE),61,N CALLAN,"J MACHALE, S TUCKER G BAKER",10,57,,,,,,%12.62(5)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
3,WHITELEY WAYWHITELEY WAY,4y d k,SIXTIES ICON - WHITELEY (IRE),61,GİNA MANGAN,ENİGMA G BROWN,6,58,,,,,,%3.13(9)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
4,MARINAKIS (IRE)MARINAKIS,5y d  a,ULYSSES (IRE) - GIENNAH (IRE),"57,5",C FALLON,IAN WİLLİAMS RACİNG I WİLLİAMS,2,50,,,,,,%16.47(1)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
6,CAREY STREET (IRE)CAREY STREET,9y d  a,BUNGLE INTHEJUNGLE (GB) - UNDULANT WAY,60,H DOYLE,MR P G SHORROCK & PA A CARROLL,9,55,,,,,,%13.57(4)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
7,AL BAAHYAL BAAHY,6y d  a,KINGMAN - SECRET KEEPER,61,S D BOWEN,CURZON HOUSE PARTNER K FROST,5,57,,,,,,%16.37(2)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
8,VIVA VOCE (IRE)VIVA VOCE,8y d  a,INTENSE FOCUS - MOONBI HAVEN (IRE),"56,5",J CLEARY,MR S MCGUINNESS TOM MCGUINNESS,7,53,,,,,,%9.17(7)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
9,GUITEAU (IRE)GUITEAU,5y k  a,JAMES GARFIELD (IRE) - OATMEAL,"61,5",R HORNBY,MAXİMUM RACİNG AND D D F DAVİS,4,58,,,,,,%5.15(8)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
10,I CAN'T BELIEVE KG (Koşmaz),4y d a,MAGNA GRECIA (IRE) - SHALOUSHKA (IRE)(DALAKHANI (IRE)),"59,5",C BİSHOP,"BANKS, MCCABE, EVANS P EVANS",3,55,,,,,,%0.02(10)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
11,HANDEL (USA)HANDEL KG (Koşmaz),7y d  a,PIONEEROF THE NILE - PARTY STARTER,"56,5",J HAYNES,CHELSEA BANHAM PRE T C BANHAM,1,47,,,,,,%0.01(11)  %0(0),﻿Wolverhampton Birleşik Krallık,2025-01-20
1.)3.140 £,2.)1.473 £,3.)736 £,4.)368 £,,,,,,,,,,,,﻿Wolverhampton Birleşik Krallık,2025-01-20
