horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1,TIMELESS CHARM (IRE),2y a d,NATHANIEL (IRE),58,BİLLY LOUGHNANE,AMO RACİNG LİMİTED,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
2,ALWAYS WAVING (GER),2y d d,PROTECTIONIST (GER),"56,5",O MURPHY,"CC BUCKLEY, MARK BUC",﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
3,CRYSTAL FLYER,2y d d,MAGNA GRECIA (IRE),58,S M LEVEY,MR MATTHEW WEBBER,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
4,NOTHING TO FEAR (IRE),2y d d,CHURCHILL (IRE),58,G WOOD,NEXT WAVE RACİNG AND,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
5,DARYSINA GOLD,2y d d,GOLDEN HORN,"56,5",C BİSHOP,EVER EQUİNE,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
6,PRATIGYA,2y d d,DECORATED KNIGHT,"56,5",R KİNGSCOTE,MR IMAD ALSAGAR,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
7,BESET,2y d d,EXPERT EYE,58,T WHELAN,MAJOR M G WYATT,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
8,PEGASUS OF HARRY,2y d d,HARRY ANGEL (IRE),"56,5",S CHERCHİ,MR Z VİGH  & MR ANTH,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
9,FOREST SPIRIT (IRE),2y d d,WALDGEIST,58,K STOTT,MRS G ROWLAND CLARK,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
10,STARLIGHT FANTASY,2y d d,MAKE BELIEVE,"56,5",A FARRAGHER,MAMBA RACİNG & PARTN,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
11,PERLA MARINA (IRE),2y d d,ZOFFANY (IRE),"57,5",N CALLAN,"BAMFORD, RUSSELL, BA",﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
12,MARMALADE LADY K,2y d d,EXPERT EYE,58,D PROBERT,MR SİMON BRYAN SHAW,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
13,POLLY SHERMAN (FR) (Koşmaz),2y d d,GOLDEN HORN,58,R HORNBY,ELLİPSİS & VALMONT,﻿Kempton Park Birleşik Krallık,2023-11-01,1,,,English,Wednesday
