horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)54.000 TL,2.)21.600 TL,3.)10.800 TL,4.)5.400 TL,1.)9.315 TL,2.)3.726 TL,3.)1.863 TL,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
1,BABAROS,6y d  a,POWERSCOURT (GB),61,C.PASO,SEVAL ARICI,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
2,BLACK WASP,8y d  a,HALICARNASSUS (IRE),62,G.ÖZÇELİK,RECEP GÜLDOĞDU,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
3,BLACK ADLER KG,7y d  a,GOLDAT (GB),59,O.AKEL,ENİS BADIŞOĞLU,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
4,PARAMPARÇA K DB,6y a  g,REY DE CAFE (USA),60,Ç.CANPOLAT,MUSTAFA KAAN GÖKÇE,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
5,MAX KG,5y d  a,LION HEART (USA),56 +0.20,M.KAYİŞ,HALUK VEFA ERSÖZ,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
6,KOCAYİĞİT KG DB,3y k  e,APPROVE (IRE),"53,5 +0.20",Y.E.YÜKSEL,SERKAN BAYRAM,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
7,NİĞDE BEYİ KG K ÖG,5y a  a,EL CORREDOR (USA),59,C.ALTUN,MURAT ATEŞ,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
8,ALKANDROS KG DB SK,5y d  a,LUXOR,57 +1.50,Ö.GÖNÜLTAŞ,ONUR TÜRKER,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
9,UÇANAT K SKG,4y a k,EL CORREDOR (USA),53 +1.70,BERKANT GÖKÇE,İRFAN KILIÇ,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
10,CELAL BABA DB SKG SK,5y a  a,PERFECT STORM,56,F.KARAKURT,HAMDİ ÖZŞAHİN,﻿Kocaeli,2021-11-26,1,,Kum,English,Friday
1.)60.000 TL,2.)24.000 TL,3.)12.000 TL,4.)6.000 TL,1.)17.250 TL,2.)6.900 TL,3.)3.450 TL,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
1,GECEKRALI KG SK,3y a  e,ÖZHABER,57,A.KURŞUN,MAHİR LAHAM,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
2,YİĞİTSOYLU KG SK,3y d  e,BABA MEVLÜT,55,D.KAYA AP,EYLEM TANİYİT,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
3,ÇİLEK KOKUSU KG SK,3y d  d,BİLGİN,53 +1.70,ULAŞ KICI AP,OZAN TANİYİT,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
4,PRENSES TOŞUR DB SK,3y a  d,TOŞUR,53 +2.00,A.İNCİ AP,M. FATİH DURAN,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
5,DENİZPRENSES KG DB SK,3y k  d,BİLGİN,51 +2.00,O.AKEL AP,ŞEYMA B. TANİYİT,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
6,KELEMERLİBEY KG DB,3y k  e,BERKAY EFE,57,C.PASO AP,KAYA KAYA,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
7,DURULAY KG SK,3y a  d,BİLGİN,53,F.ARSLAN AP,EYLEM TANİYİT,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
8,GÜHER HAN K DB GKR,3y a  d,GÜNTAY,55,GÖK.BEKTAŞ,ADNAN BALKAYA,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
9,BUZLUEFE KG SK,3y k  e,EFEM,57 +1.00,İ.H.KETME,SEDAT ŞAHİN,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
10,KAPKAÇ K GKR,3y k  e,ÖZGÜNHAN,53 +1.80,BERKANT GÖKÇE AP,ŞİRİN DEMİR,﻿Kocaeli,2021-11-26,2,,Kum,English,Friday
1.)69.000 TL,2.)27.600 TL,3.)13.800 TL,4.)6.900 TL,1.)19.838 TL,2.)7.935 TL,3.)3.968 TL,﻿Kocaeli,2021-11-26,3,,Kum,English,Friday
1,NAMIK BEY DB SK,2y a  e,TEMSİL,57 +0.20,K.TOKAÇOĞLU,ERTAN TURNA,﻿Kocaeli,2021-11-26,3,,Kum,English,Friday
2,WINWIN KG K,2y a  e,SIDNEY`S CANDY (USA),53 +1.70,MAHMUT TURAN,SEDAT ŞAHİN,﻿Kocaeli,2021-11-26,3,,Kum,English,Friday
3,ALTIN STEPS DB SK,2y d  e,KISS OF STEPS,53,F.ARSLAN AP,SABRİ ALTIN,﻿Kocaeli,2021-11-26,3,,Kum,English,Friday
4,MYTHMAKER KG SK,2y d  e,MENDIP (USA),56 +0.30,M.KAYİŞ AP,GÜNSEN SOYUPAK,﻿Kocaeli,2021-11-26,3,,Kum,English,Friday
5,KALK GİDELİM KG K,2y d  d,MENDIP (USA),58,H.ÇİZİK,HASAN ÇİZİK,﻿Kocaeli,2021-11-26,3,,Kum,English,Friday
1.)77.000 TL,2.)30.800 TL,3.)15.400 TL,4.)7.700 TL,1.)17.710 TL,2.)7.084 TL,3.)3.542 TL,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
1,TAHİR BABA KG SK,4y a  a,ÖZGÜNHAN,60,O.ÖZTÜRK,CAHİT SEKİN,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
2,UZUN BEY KG SK,7y d  a,KARATOKLU,"60,5",ÇETİN TAŞ AP,ABDULLAH AVCI,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
3,ATLIBEY KG DB,5y k  a,TURBO,60,H.YOLAÇICI AP,ŞEREF ATLI,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
4,BİR ÖMÜR,6y k  a,MURATAĞA,50 +2.00,F.ARSLAN AP,FURKAN ÖZPAY,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
5,ERDOĞDU KG SK,4y k  a,HIZLITAY,55,O.ATMACA,DİLEK BURAN,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
6,OLGUNALP KG K DB,4y d  a,ONURKAAN,59,H.KAPLAN,MEHMET Ş. DİNÇ,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
7,SANCAKTAR SK,5y a  a,TURBO,53 +0.60,Y.E.YÜKSEL AP,EMİNE KAYA,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
8,BABACANDIR KG SK,4y a  a,UÇANOĞLU,"60,5",H.ÇİZİK,MUZAFFER CAN,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
9,GUBAZ DB SK,5y a  a,TURBO,"55,5",G.ÖZÇELİK AP,MEHMET DOĞAN,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
10,FIRTINAKASIM KG SK,5y a  a,ODİNHAN,55 +0.20,MAHMUT TURAN,REŞİT TUMBUL,﻿Kocaeli,2021-11-26,4,,Kum,English,Friday
