horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)74.500 TL,2.)29.800 TL,3.)14.900 TL,4.)7.450 TL,1.)12.851 TL,2.)5.141 TL,3.)2.570 TL,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
1,DANIELAS DAUGHTER DB SK,6y d k,ROCKMASTER (IRE),62,H.YOLAÇICI,M.HAKAN ÖZÇOLAK,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
2,KILLER QUEEN KG SK,4y d k,KULOĞLU,55 +0.10,M.BAĞ,SELİN DİKENCİK,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
3,SESENTA Y UNO KG K DB,3y d  d,SCARFACE,"57,5",Ç.CANPOLAT,İ.LEVENT ZÜMREOĞLU,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
4,İŞİN ASLI K DB,6y d k,AGRESIVO (USA),60,S.GÜLENYÜZLER,BEKTAŞ YILDIRIM,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
5,PRINCESS GRASE DB SK,4y a k,CAPTAIN RIO (GB),60,B.ÇIĞLA,SABRİ BEKTAŞ,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
6,THE MUST OBEY KG K DB,3y d  d,TEMELHAN,"56,5",BERKANT GÖKÇE,ERHAN SÖĞÜT,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
7,NORTH QUEEN SKG SK,3y d  d,DONT STOP ME,"56,5",A.CEYLAN,DAVUT SAV,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
8,NORTH RAIN KG K DB,3y a  d,CUVEE (USA),"53,5 +0.30",SER.YILDIZ,MELTEM ÜLDES,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
9,BEST STEPS KG DB SK,3y d  d,EL CORREDOR (USA),"58,5",U.LEVENT,GÜNSEN SOYUPAK,﻿Kocaeli,2022-11-07,1,,Kum,English,Monday
1.)81.500 TL,2.)32.600 TL,3.)16.300 TL,4.)8.150 TL,1.)23.431 TL,2.)9.373 TL,3.)4.686 TL,﻿Kocaeli,2022-11-07,2,,Kum,English,Monday
1,OĞLUM ARAS KG DB,3y k  e,ŞİMŞEĞİNOĞLU,59,F.ARSLAN AP,İLHAN GÜRLER,﻿Kocaeli,2022-11-07,2,,Kum,English,Monday
2,HÜKÜMHAN KG K,3y a  e,ENGİNHAN,57,G.YILDIZ,NURİ YILDIZ,﻿Kocaeli,2022-11-07,2,,Kum,English,Monday
3,ÖZGÜNKAYA DB SKG SK,3y a  e,ÖZGÜNKAN,53 +0.90,S.AKŞIN AP,AHMET KAYA,﻿Kocaeli,2022-11-07,2,,Kum,English,Monday
4,ESES ATEŞİ KG DB SK,3y k  d,FAROTAY,55,İ.DİNAR,LEVENT ŞENTÜRK,﻿Kocaeli,2022-11-07,2,,Kum,English,Monday
5,ÖZGÜN EFSANESİ KG K GKR,3y k  e,ÖZGÜNKAN,53 +1.00,BERKANT GÖKÇE AP,AHMET KAYA,﻿Kocaeli,2022-11-07,2,,Kum,English,Monday
