horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)108.000 TL,2.)43.200 TL,3.)21.600 TL,4.)10.800 TL,1.)18.630 TL,2.)7.452 TL,3.)3.726 TL,﻿İstanbul,2022-08-17,1,,Çim,English,Wednesday
1,DEMİRYILDIZ KG SK,6y k k,TOŞUR,"57,5 +0.20",E.ÇANKAYA AP,İBRAHİM HALİL YILDIZ,﻿İstanbul,2022-08-17,1,,Çim,English,Wednesday
2,BARUT KG DB,6y a  a,ÖZGÜNHAN,"55,5",M.S.ÇELİK,AHMET KORKMAZ,﻿İstanbul,2022-08-17,1,,Çim,English,Wednesday
3,ŞAHİNŞEVKET KG DB SK,8y k  a,BİLGİN,50 +2.00,M.HAMEDİ,SIRAÇ DEMİR,﻿İstanbul,2022-08-17,1,,Çim,English,Wednesday
4,ERSAVAŞ KG DB SK,4y a  a,UÇANOĞLU,56,G.ÖZÇELİK,DEMİRHAN YILMAZ,﻿İstanbul,2022-08-17,1,,Çim,English,Wednesday
5,EDİTÖR KG,5y d  a,KURTEL,"50,5 +2.00",O.YILDIZ,KASIM TUMBUL,﻿İstanbul,2022-08-17,1,,Çim,English,Wednesday
6,TANIRBEY KG SK GKR,5y a  a,ALTAHA,"60,5",A.KURŞUN,MEHMET DOĞAN,﻿İstanbul,2022-08-17,1,,Çim,English,Wednesday
7,FIRTINA VADİSİ KG SK GKR,7y a  a,TURBO,"59,5",M.ÖZDEMİR AP,MUNİR GÖKÇE,﻿İstanbul,2022-08-17,1,,Çim,English,Wednesday
8,ALTIN SUYU KG SK,6y a k,TURBO,60,H.YOLAÇICI AP,ALİ ÖZBAKIR,﻿İstanbul,2022-08-17,1,,Çim,English,Wednesday
1.)97.000 TL,2.)38.800 TL,3.)19.400 TL,4.)9.700 TL,1.)22.310 TL,2.)8.924 TL,3.)4.462 TL,﻿İstanbul,2022-08-17,2,,,English,Wednesday
1,ALBERTO KG DB,7y a  a,DR FONG (USA),60,H.ÇİZİK,MÜTHİŞ ÖLÇER,﻿İstanbul,2022-08-17,2,,,English,Wednesday
2,ZLATIBOR DB SK,5y d  a,VICTORY GALLOP (CAN),60,A.KURŞUN,DEMİRHAN YILMAZ,﻿İstanbul,2022-08-17,2,,,English,Wednesday
3,EĞİL ATEŞİ K GKR,6y d  a,DEĞİRMENDERELİ,58,M.ÇİÇEK,NİHAT ARSLAN,﻿İstanbul,2022-08-17,2,,,English,Wednesday
4,UĞUR BUBAM DB SK BB,6y d  a,WIN RIVER WIN (USA),54,A.ASLAN,MASİS MARKARYAN,﻿İstanbul,2022-08-17,2,,,English,Wednesday
