horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)68.000 TL,2.)27.200 TL,3.)13.600 TL,4.)6.800 TL,1.)19.550 TL,2.)7.820 TL,3.)3.910 TL,﻿Adana,2022-05-22,1,,Kum,English,Sunday
1,ANNA KARENINA KG SK,2y d  d,KANEKO,52 +2.00,N.DEMİR AP,OSMAN TOPÇU,﻿Adana,2022-05-22,1,,Kum,English,Sunday
2,ASLAN KARDEŞLER DB,2y d  e,OUT OF CONTROL,57,E.SİNCAN,RAMAZAN ÖZYİĞİT,﻿Adana,2022-05-22,1,,Kum,English,Sunday
3,JET İSO KG SK,2y a  e,GÜNGÖR BABA,57,F.YARDIMCI,HALİL YILMAZER,﻿Adana,2022-05-22,1,,Kum,English,Sunday
4,LONDON AGE KG SK,2y d  d,MENDIP (USA),55 +1.90,V.DEMİR,OSMAN TOPÇU,﻿Adana,2022-05-22,1,,Kum,English,Sunday
5,NAZLICAN GELİN KG K,2y a  d,SON OF SUN,51 +1.70,T.BALİ AP,YAKUP DURAK,﻿Adana,2022-05-22,1,,Kum,English,Sunday
6,ÇIKMAZZADE SKG SK,2y a  d,ÇIKMAZHAN,55 +0.50,B.KILINÇ,SEFA ÇIKMAZ,﻿Adana,2022-05-22,1,,Kum,English,Sunday
7,LONDON DIFFERENCE KG (Koşmaz),2y d  e,SMART ROBIN (JPN),57,MEHMET ALTIN AP,ERKAN DOĞAN,﻿Adana,2022-05-22,1,,Kum,English,Sunday
8,ZİNCİRSİZ TUTSAK KG K (Koşmaz),2y k  d,ENYALIOS,51,L.TAPTIK AP,ADİLE KAYA,﻿Adana,2022-05-22,1,,Kum,English,Sunday
1.)62.000 TL,2.)24.800 TL,3.)12.400 TL,4.)6.200 TL,1.)10.695 TL,2.)4.278 TL,3.)2.139 TL,﻿Adana,2022-05-22,2,,Kum,English,Sunday
1,İZ PEŞİNDE KG SK,3y a  e,CUVEE (USA),55,M.S.ÇELİK,CEMAL YILDIZ,﻿Adana,2022-05-22,2,,Kum,English,Sunday
2,BOLD LION SURUÇ SKG SK,3y d  g,GÜNGÖR BABA,59,İ.AKYAVUZ,SEMRA ULUSOY,﻿Adana,2022-05-22,2,,Kum,English,Sunday
3,İSDEMİR KG DB SK,3y d  e,CUVEE (USA),54,E.SİNCAN,SÜLEYMAN ŞİRE,﻿Adana,2022-05-22,2,,Kum,English,Sunday
4,VARLI BEY K DB,3y d  e,NIGHT FALCON,59,A.AKDEMİR AP,SAİT VARLI,﻿Adana,2022-05-22,2,,Kum,English,Sunday
5,GUARDIAN KG DB SK,3y a  e,LION HEART (USA),50 +2.00,E.TUNÇ,M.HANEFİ ŞAHİN,﻿Adana,2022-05-22,2,,Kum,English,Sunday
