horse_no,horse_name,age,origin,weight,jockey,owner_trainer,starting_position,performance_score,last_6_races,kgs_score,s20_score,eid_score,gny_score,agf_score,venue,file_date
10,SOLD THE DREAMSOLD THE DREAM KG (Koşmaz),4y d  a,ADVERTISE - KERRY'S DREAM,60,W CARSON,AURA RACİNG M MADGWİCK,4,50,,,,,,%15.27(9)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
11,ADVINDIADVINDI DB (Koşmaz),4y d k,ADVERTISE - INDIGNANT,55,SORIN MOLDOVEANU,"MR J W PARRY, MR ROB S C WILLIAMS",11,45,,,,,,%0.01(11)  %0(0),﻿Kempton Park Birleşik Krallık,2025-01-20
1.)4.320 £,2.)2.028 £,3.)1.014 £,4.)507 £,,,,,,,,,,,,﻿Kempton Park Birleşik Krallık,2025-01-20
1,AMAZONIAN (IRE),4y d k,SEA THE STARS (IRE) - AMAZONE (GER)(ADLERFLUG (GER)),57,H CROUCH,ISA SALMAN AL KHALİF R BECKETT,8,0,,,,,,%23.34(2)  %29.41(2),﻿Kempton Park Birleşik Krallık,2025-01-20
2,ALMOSH'HER,4y d a,SEA THE STARS (IRE) - ORANGE SUN(DUKE OF MARMALADE (IRE)),"62,5",C SHEPHERD,D LOVATT & C BACON C FELLOWES,7,0,,,,,,%25.03(1)  %34.47(1),﻿Kempton Park Birleşik Krallık,2025-01-20
3,FIREBLADE KG,4y d a,FRANKEL - RHADEGUNDA(PIVOTAL),59,R HAVLİN,MR A E OPPENHEİMER J & T GOSDEN,1,81,,,,,,%22.52(3)  %19.12(3),﻿Kempton Park Birleşik Krallık,2025-01-20
4,NAHY (FR),4y d a,LOPE DE VEGA (IRE) - TESORO (IRE)(GALILEO (IRE)),59,D PROBERT,PRİNCE A A FAİSAL A BALDİNG,4,0,,,,,,%10.19(4)  %6.55(4),﻿Kempton Park Birleşik Krallık,2025-01-20
5,DALTON PARK (IRE),4y a a,SIYOUNI (FR) - ASYAD (IRE)(NEW APPROACH (IRE)),59,BİLLY LOUGHNANE,M&O CONSTRUCTİON & C R HUGHES,6,0,,,,,,%2.79(8)  %2.42(5),﻿Kempton Park Birleşik Krallık,2025-01-20
6,SAWGRASS,4y d k,GLENEAGLES (IRE) - STAR ROCK(FASTNET ROCK (AUS)),57,R CLUTTERBUCK,BEN & SİR MARTYN ARB H MORRİSON,11,0,,,,,,%1.12(11)  %0.47(12),﻿Kempton Park Birleşik Krallık,2025-01-20
7,THE COOLEEN (IRE),6y d a,ESTIDHKAAR (IRE) - DELAINE(BEAT HOLLOW),60,S W KELLY,MRS K B TESTER M HOAD,10,0,,,,,,%0.97(12)  %0.52(11),﻿Kempton Park Birleşik Krallık,2025-01-20
9,BREATHLESS BISHOP,5y a a,BATED BREATH - TELESCOPIC(GALILEO (IRE)),60,JOSEPHİNE GORDON,"BOB BİSHOP, SİMON HU K BURKE",13,0,,,,,,%3.51(6)  %1.67(7),﻿Kempton Park Birleşik Krallık,2025-01-20
10,COURAGEOUS GOLD (IRE),4y d a,MAGNA GRECIA (IRE) - OCCUPATION (IRE)(DRAGON PULSE (IRE)),59,C PLANAS,MİLLİNGBROOK RACİNG D M SİMCOCK,3,0,,,,,,%3.69(5)  %2.16(6),﻿Kempton Park Birleşik Krallık,2025-01-20
11,PARADISE CIRCUS,4y d a,OUTSTRIP - DIKTALINA(DIKTAT),"57,5",T WHELAN,THE LEGACY GROUP RAC J TICKLE,2,0,,,,,,%2.49(7)  %0.92(8),﻿Kempton Park Birleşik Krallık,2025-01-20
12,RUBY KENDYL,4y a k,ULYSSES (IRE) - CAT O' NINE TAILS(MOTIVATOR),57,T HEARD,THE LEGACY GROUP RAC J TICKLE,12,0,,,,,,%0.71(7)  %0.45(8),﻿Kempton Park Birleşik Krallık,2025-01-20
1.)340 £,2.)1.473 £,3.)736 £,4.)368 £,,,,,,,,,,,,﻿Kempton Park Birleşik Krallık,2025-01-20
1,BRUNEL CHARMBRUNEL CHARM,8y d  a,CHARM SPIRIT (IRE) - MANYARA (CHI),60,M GHİANİ,MR JOHN JOSEPH SMİTH C WALLİS,9,59,,,,,,%14.08(3)  %11.35(3),﻿Kempton Park Birleşik Krallık,2025-01-20
2,EL HIBRI (IRE)EL HIBRI YP,6y d  a,HAVANA GOLD (IRE) - SHAWKA,"56,5",R KAVANAGH,MR M GREAVES I WILLIAMS,8,58,,,,,,%13.08(4)  %10.93(4),﻿Kempton Park Birleşik Krallık,2025-01-20
3,PRINCE OF BEL LIR (IRE)PRINCE OF BEL LIR YP,7y d  a,PRINCE OF LIR (IRE) - HARVEST JOY (IRE),63,D PROBERT,MR J E PARR J PARR,2,62,,,,,,%25.15(1)  %29.7(2),﻿Kempton Park Birleşik Krallık,2025-01-20
4,DREAM BY DAYDREAM BY DAY K DB,6y d  a,SHALAA (IRE) - ILLAUNMORE (USA),"61,5",T WHELAN,DAY DREAMERS M PATTINSON,1,62,,,,,,%2.98(8)  %2.02(8),﻿Kempton Park Birleşik Krallık,2025-01-20
5,BIG TIME RASCALBIG TIME RASCAL,4y d  a,BLUE POINT (IRE) - GUERRIERE (IRE),"60,5",R HAVLİN,MR LUKE OLİVER VALLA M ATTWATER,3,60,,,,,,%7.7(5)  %5.15(5),﻿Kempton Park Birleşik Krallık,2025-01-20
6,MCCAULEY'S TAVERN (IRE)MCCAULEY'S TAVERN KG,5y d  a,STARSPANGLEDBANNER (AUS) - FRANZY (IRE),"59,5",BİLLY LOUGHNANE,MR MİCHAEL APPLEBY M APPLEBY,4,58,,,,,,%24.95(2)  %32.72(1),﻿Kempton Park Birleşik Krallık,2025-01-20
7,SCARLET LADYSCARLET LADY KG,4y d k,TWILIGHT SON - ROUGE DANCER (GB),"61,5",C PLANAS,SCARLET LADY PARTNER P MCBRİDE,5,62,,,,,,%5.24(6)  %3.36(6),﻿Kempton Park Birleşik Krallık,2025-01-20
8,SAVANNAH SMILES (IRE)SAVANNAH SMILES YP,5y d k,UNFORTUNATELY (IRE) - SILICON STAR (FR),"56,5",JORDAN WILLIAMS,GRACE HARRIS RACING G HARRIS,7,57,,,,,,%4.88(7)  %3.31(7),﻿Kempton Park Birleşik Krallık,2025-01-20
9,VOODOO RAY (IRE)VOODOO RAY YP,6y a  a,RIBCHESTER (IRE) - MIDGET,57,R CLUTTERBUCK,SUNVİLLE RAİL LİMİTE G & J MOORE,6,52,,,,,,%1.95(9)  %1.47(9),﻿Kempton Park Birleşik Krallık,2025-01-20
1.)3.140 £,2.)1.473 £,3.)736 £,4.)368 £,,,,,,,,,,,,﻿Kempton Park Birleşik Krallık,2025-01-20
1,COURT DRIVE (IRE),4y d k,INNS OF COURT (IRE) - GWEN LADY BYRON (IRE)(DANDY MAN (IRE)),"61,5",H TURNER,PREMİER THOROUGHBRED G KELLEWAY,3,62,,,,,,%16.65(3)  %17.43(3),﻿Kempton Park Birleşik Krallık,2025-01-20
2,MAN ON A MISSIONMAN ON A MISSION DB,6y d  a,SWISS SPIRIT - LOVEATFIRSTSIGHT,"60,5",G WOOD,MR STEPHEN  BARBER P CHARALAMBOUS & J CLUTTERBUCK,4,60,,,,,,%17(2)  %18.95(2),﻿Kempton Park Birleşik Krallık,2025-01-20
3,MIGHTY GURKHA (IRE)MIGHTY GURKHA KG,7y d  a,SEPOY (AUS) - ROYAL DEBT,"61,5",R HAVLIN,THE TWO SISTERS T FAULKNER,7,62,,,,,,%3.33(8)  %1.97(8),﻿Kempton Park Birleşik Krallık,2025-01-20
4,SMASHER (IRE)SMASHER YP,5y d  a,DANDY MAN (IRE) - MERCIFILLY (FR),"59,5",P BRADLEY,DARE TO DREAM RACİNG M ATTWATER,9,58,,,,,,%7.76(4)  %5.42(4),﻿Kempton Park Birleşik Krallık,2025-01-20
5,ALSHIMALI (IRE),4y d a,INVINCIBLE SPIRIT (IRE) - GHARBEYA (USA)(MORE THAN READY (USA)),"58,5",W CARSON,MS LİZA JUDD A CARROLL,2,56,,,,,,%38.23(1)  %41.76(1),﻿Kempton Park Birleşik Krallık,2025-01-20
8,MAITH AN FARHH,4y d a,FARHH - DEBORAH(NEW APPROACH (IRE)),"59,5",JOSEPHİNE GORDON,MR KEİRAN BURKE K BURKE,1,58,,,,,,%6.08(5)  %5.29(5),﻿Kempton Park Birleşik Krallık,2025-01-20
9,REVOLUCIONREVOLUCION KG,5y a  a,HAVANA GREY (GB) - HOPE ISLAND (IRE),54,K O'NEİLL,MİCHELLE HARRİS & LY G HARRİS,5,44,,,,,,%3.61(7)  %3.09(7),﻿Kempton Park Birleşik Krallık,2025-01-20
1.)4.187 £,2.)1.964 £,3.)981 £,4.)491 £,,,,,,,,,,,,﻿Kempton Park Birleşik Krallık,2025-01-20
1,DISTANT RUMBLE,3y a e,RUMBLE INTHEJUNGLE (IRE) - DISTANT THUNDER (IRE)(NIGHT OF THUNDER (IRE)),60,G BASS,HOMECROFT WEALTH RAC R TEAL,1,68,,,,,,%0(0)  %17.64(2),﻿Kempton Park Birleşik Krallık,2025-01-20
2,SABRIMENTO (IRE)SABRIMENTO DB,3y a  e,STARSPANGLEDBANNER (AUS) - GLENCROSS (IRE),"60,5",BILLY LOUGHNANE,POMPEY VENTURES 8 & G BOUGHEY,6,66,,,,,,%0(0)  %17.36(3),﻿Kempton Park Birleşik Krallık,2025-01-20
3,RAGE OF THUNDER (IRE),3y d e,INNS OF COURT (IRE) - STORMY CLOUDS (IRE)(SIR PRANCEALOT (IRE)),"59,5",T P QUEALLY,RONNİE RACİNG 2 G & J MOORE,5,64,,,,,,%0(0)  %14.14(4),﻿Kempton Park Birleşik Krallık,2025-01-20
