horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)120.000 TL,2.)48.000 TL,3.)24.000 TL,4.)12.000 TL,1.)34.500 TL,2.)13.800 TL,3.)6.900 TL,﻿İstanbul,2023-05-15,1,,Çim,English,Monday
1,ADAMKAYA KG SK,3y a  e,ALMAATA,57,M.HAMEDİ,GAZEL KAYA,﻿İstanbul,2023-05-15,1,,Çim,English,Monday
2,TAŞUCU KG DB,3y d  e,BABA MEVLÜT,57,F.R.BEBEK,ERDEM BEKMEZCİ,﻿İstanbul,2023-05-15,1,,Çim,English,Monday
3,YELBEĞEN KG DB SK,3y k  e,KAYAYÜREKLİ,57,HAK.YILDIZ,AHMET KAYA,﻿İstanbul,2023-05-15,1,,Çim,English,Monday
4,AŞK VE GURUR KG K,3y a  d,BAHARŞAH,55,MÜS.ÇELİK,RAMAZAN KAYA,﻿İstanbul,2023-05-15,1,,Çim,English,Monday
5,GÜL AYALI KG DB SK,3y a  d,AYABAKAN,52 +1.80,E.ÇİZİK AP,ERSEN BÜYÜKTÜRKLER,﻿İstanbul,2023-05-15,1,,Çim,English,Monday
6,GECENİN GÖLGESİ KG DB SK,3y k  e,YÜREKKAYA,57,G.YILDIZ,GAZEL KAYA,﻿İstanbul,2023-05-15,1,,Çim,English,Monday
7,KADERFIRTINASI KG DB SK,3y k  d,CANKARDEŞLER,55 +2.00,M.KAYA,FERHAT DEMİR,﻿İstanbul,2023-05-15,1,,Çim,English,Monday
8,MARKİZ KG DB,3y a  d,ÖZHABER,55 +1.40,Ö.YILDIRIM,TRACY KAYAHAN,﻿İstanbul,2023-05-15,1,,Çim,English,Monday
1.)118.500 TL,2.)47.400 TL,3.)23.700 TL,4.)11.850 TL,1.)20.441 TL,2.)8.177 TL,3.)4.088 TL,﻿İstanbul,2023-05-15,2,,Çim,English,Monday
1,BELLO BOY KG K,3y d  e,TOROK (IRE),55 +0.80,G.KOCAKAYA,HAKAN S. ÖZCAN,﻿İstanbul,2023-05-15,2,,Çim,English,Monday
2,SANCAĞIN ATEŞİ K DB,3y d  e,MARCAVELLY (USA),54 +2.00,F.R.BEBEK,MÜGE DİNÇ,﻿İstanbul,2023-05-15,2,,Çim,English,Monday
3,PRINCE OF DARKNESS KG K DB BB,3y d  e,BRAZEN BEAU (AUS),59,E.ÇİZİK AP,ALİ RIZA ÇELİKOĞLU,﻿İstanbul,2023-05-15,2,,Çim,English,Monday
4,ASİL UTKU KG K,3y d  e,MENDIP (USA),55 +1.50,H.ÇİZİK,CUMA YILDIRIM,﻿İstanbul,2023-05-15,2,,Çim,English,Monday
5,APPASSIONATA DB SK,3y d  d,THREE VALLEYS (USA),50 +2.00,E.AKTUĞ,DUYGU FATURA,﻿İstanbul,2023-05-15,2,,Çim,English,Monday
6,VİYANA VALSİ KG DB SK,3y d  e,LION HEART (USA),54 +1.00,G.ÖZÇELİK,ORHAN TANATAR,﻿İstanbul,2023-05-15,2,,Çim,English,Monday
7,UNSTOPPABLE FORCE KG K DB,3y d  d,PACO BOY (IRE),"54,5 +2.00",S.BOYRAZ,FIRAT YILDIRIM,﻿İstanbul,2023-05-15,2,,Çim,English,Monday
1.)120.000 TL,2.)48.000 TL,3.)24.000 TL,4.)12.000 TL,1.)34.500 TL,2.)13.800 TL,3.)6.900 TL,﻿İstanbul,2023-05-15,3,,Çim,English,Monday
1,KAYAFATİH KG K DB,3y a  e,KAYAYÜREKLİ,57,M.KAYA,SALİH KAYA,﻿İstanbul,2023-05-15,3,,Çim,English,Monday
2,ATTARGAH KG K DB,3y k  e,ÖZGÜNHAN,57,G.KOCAKAYA,ARZU GÜNEŞ,﻿İstanbul,2023-05-15,3,,Çim,English,Monday
3,AŞK RÜZGARI K,3y a  d,ENDEREFE,52 +1.60,E.ÇİZİK AP,MEHMET TOY,﻿İstanbul,2023-05-15,3,,Çim,English,Monday
4,KEFERKUP HANIMI KG DB SK,3y d  d,TÜMÖZ BEY,55 +2.00,V.DEMİR,İSMET TEKİNALP,﻿İstanbul,2023-05-15,3,,Çim,English,Monday
5,GÜÇLÜBEY MAVİSİ DB,3y k  d,SAKARBAŞI,55 +2.00,E.ÇANKAYA,EMRE GÜÇLÜ,﻿İstanbul,2023-05-15,3,,Çim,English,Monday
6,YALNIZ HAN KG SK,3y d  e,SARRAF,57,MER.ÇELİK,SEFER ÜNLÜ,﻿İstanbul,2023-05-15,3,,Çim,English,Monday
7,CAN ARKADAŞ KG SK,3y k  e,DEMİRSOY,57,H.ÇİZİK,ERBİL CAN SUNA,﻿İstanbul,2023-05-15,3,,Çim,English,Monday
8,AKDENİZ GÜZELİ KG K,3y a  d,KURTEL,51 +2.00,İ.AKIN AP,RAMAZAN KAYA,﻿İstanbul,2023-05-15,3,,Çim,English,Monday
1.)195.000 TL,2.)78.000 TL,3.)39.000 TL,4.)19.500 TL,1.)44.850 TL,2.)17.940 TL,3.)8.970 TL,﻿İstanbul,2023-05-15,4,,Çim,English,Monday
1,PRINCESS KHAN KG K DB,4y d k,NATIVE KHAN (FR),58,A.KURŞUN,ULAŞ GÖKÇE,﻿İstanbul,2023-05-15,4,,Çim,English,Monday
2,ELİMİNATÖR KG DB SK,5y d  a,LUXOR,54,E.ÇİZİK AP,M.YAVUZ SALİHOĞLU,﻿İstanbul,2023-05-15,4,,Çim,English,Monday
3,PRESIDENT OF CITY KG DB SK,4y d  a,VICTORY GALLOP (CAN),"52,5 +1.60",MÜS.ÇELİK,MURAT CEVHERİBUCAK,﻿İstanbul,2023-05-15,4,,Çim,English,Monday
4,GREEN SHADOW DB SKG SK,6y a  a,NEARLY GREEN,50 +2.00,G.YILDIZ,S.BEDRİ GİDER,﻿İstanbul,2023-05-15,4,,Çim,English,Monday
