horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1,MART,2y k e,DARK ANGEL (IRE),60,K O'NEİLL,QUEST THOROUGHBREDS,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
2,THE LIEGEMAN,2y d e,EQUIANO (FR),"61,5",J BRYAN,VİCTORİOUS RACİNG &,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
3,RELENTLESS WARRIOR (IRE) DB,2y a e,SOLDIER'S CALL,58,W CARVER,RELENTLESS DREAMERS,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
4,VICE CAPTAIN,2y d e,LAND FORCE (IRE),61,C SHEPHERD,PERTH RACİNG,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
5,MISS ANYA (IRE) YP,2y d d,KODI BEAR (IRE),"62,5",ETHAN JONES,SİR DAVİD SEALE,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
6,FREE AS A BIRD,2y d d,SHOWCASING,58,K SHOEMARK,MAİNLİNE RACİNG,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
7,WRESTLING REVENUE (IRE),2y d e,MEHMAS (IRE),59,W COX,BAILEY BURT THOROUGH,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
8,GRACEFUL MARY (IRE),2y d d,BLUE POINT (IRE),"61,5",C LEE,MR C COOGAN & MR A W,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
9,INTERESTNPENALTIES (IRE),2y d e,KODIAC,"57,5",W CARSON,BAILEY BURT THOROUGH,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
10,IT'S SHOWTIME (IRE),2y d d,SHOWCASING,59,M GHİANİ,ECO EVENTS LTD AND P,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
11,HOT FRONT (IRE) (Koşmaz),2y d d,SOLDIER'S CALL,62,A RAWLİNSON,MR TREVOR GALLİENNE,﻿Wolverhampton Birleşik Krallık,2023-12-26,1,,,English,Tuesday
1,SPORTS COACH (IRE),2y d e,BUNGLE INTHEJUNGLE,61,C LEE,BRONTE COLLECTİON 1,﻿Wolverhampton Birleşik Krallık,2023-12-26,2,,,English,Tuesday
2,INFLUENCE (IRE),2y a e,NO NAY NEVER (USA),59,C SHEPHERD,MR SİMON MUNİR & MR,﻿Wolverhampton Birleşik Krallık,2023-12-26,2,,,English,Tuesday
3,JENNI (IRE),2y d d,MEHMAS (IRE),57,K SHOEMARK,MİDDLEHAM PARK RACİN,﻿Wolverhampton Birleşik Krallık,2023-12-26,2,,,English,Tuesday
4,FIDDLER'S ELBOW KG,2y d e,DUE DILIGENCE (USA),59,F MARSH,PAUL & CLARE ROONEY,﻿Wolverhampton Birleşik Krallık,2023-12-26,2,,,English,Tuesday
5,JAZZ STATE (IRE),2y d e,TERRITORIES (IRE),59,J BRYAN,THE COOL SİLK PARTNE,﻿Wolverhampton Birleşik Krallık,2023-12-26,2,,,English,Tuesday
6,BODY PARTS (IRE) (Koşmaz),2y d d,UNFORTUNATELY (IRE),57,JOANNA MASON,NİCK BRADLEY RACİNG,﻿Wolverhampton Birleşik Krallık,2023-12-26,2,,,English,Tuesday
1,VAN ZANT,4y d a,LETHAL FORCE (IRE),"57,5",JOANNA MASON,RUTH CARR RACİNG CLU,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
2,REVE DE MAGRITTE (FR),4y d k,DREAM AHEAD (USA),59,JACK ENRİGHT,EXORS OF MR JP CARRİ,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
3,BRAVE DISPLAY (IRE),9y d a,REQUINTO (IRE),"60,5",J LEAVY,DEVAUDEN COURT RACİN,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
4,SEA THE BUCKTHORN K,3y d e,SEA THE MOON (GER),58,G BASS,THE UNRACEABLES,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
5,EBURY KG,7y a a,IFFRAAJ,"57,5",A PİNNA,PAUL J DİXON & JOHN,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
6,SISTERS IN THE SKY,4y a a,SHOWCASING,"59,5",K O'NEİLL,PAUL & ANN DE WECK,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
7,VOLTAIC,7y a a,POWER,"61,5",C LEE,SF RACİNG CLUB,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
8,WRITTEN BROADCAST (IRE) KG,6y k a,GUTAIFAN (IRE),61,C HARDİE,MR OLLİE PEARS,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
9,DODGY BOB KG,10y d a,ROYAL APPLAUSE,"57,5",LAURA COUGHLAN,MR G CORNES,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
10,THREE DONS (IRE),4y d a,FAST COMPANY (IRE),"57,5",JACK DOUGHTY,MR A W CARROLL,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
11,GRACIOUS GRACE (IRE) YP,3y d d,KODI BEAR (IRE),"57,5",C HUTCHİNSON,MİDDLEHAM PARK RACİN,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
12,CANIMAR DB YP,8y d k,HAVANA GOLD (IRE),"57,5",F MARSH,MISS J PAHLMAN,﻿Wolverhampton Birleşik Krallık,2023-12-26,3,,,English,Tuesday
1,OUTREACH,3y k e,OUTSTRIP,"59,5",G BASS,MİKE HUMPHREYS & MAR,﻿Wolverhampton Birleşik Krallık,2023-12-26,4,,,English,Tuesday
2,REBEL REDEMPTION DB YP,6y k a,LETHAL FORCE (IRE),"57,5",K O'NEILL,THE EMILY CHARLOTTE,﻿Wolverhampton Birleşik Krallık,2023-12-26,4,,,English,Tuesday
3,SAY GRACE (IRE),4y d k,KODIAC,"57,5",W CARSON,PAUL & ANN DE WECK,﻿Wolverhampton Birleşik Krallık,2023-12-26,4,,,English,Tuesday
4,SWISS ROWE (IRE),5y d a,SWISS SPIRIT,"61,5",F MARSH,LEVEL PAR RACİNG,﻿Wolverhampton Birleşik Krallık,2023-12-26,4,,,English,Tuesday
5,BROTHER DAVE,3y a e,PASTORAL PURSUITS,"57,5",C HOWARTH,MRS ANGELA CLARK,﻿Wolverhampton Birleşik Krallık,2023-12-26,4,,,English,Tuesday
6,LA JOLIE FILLE (IRE),3y a d,DECORATED KNIGHT,"57,5",JOANNA MASON,BERNARD HOGGARTH RAC,﻿Wolverhampton Birleşik Krallık,2023-12-26,4,,,English,Tuesday
