horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)74.500 TL,2.)29.800 TL,3.)14.900 TL,4.)7.450 TL,1.)12.851 TL,2.)5.141 TL,3.)2.570 TL,﻿İzmir,2022-12-18,1,,Kum,English,Sunday
1,MR TEKİN DB SKG SK,3y d  g,VICTORY GALLOP (CAN),52 +1.00,E.KADİRLER AP,HÜSEYİN YÜKSEL,﻿İzmir,2022-12-18,1,,Kum,English,Sunday
2,FOREVER JUSTEN SK,3y d  d,JUSTENUFFHUMOR (USA),"59,5",E.ÇİZİK AP,GÖKHAN ALBAYRAK,﻿İzmir,2022-12-18,1,,Kum,English,Sunday
3,BATIRAY KG DB SK,3y d  e,FLY BY ME,56 +0.10,ALP.OLUK AP,ŞÜKRÜ GÜRER,﻿İzmir,2022-12-18,1,,Kum,English,Sunday
4,AHBAP K,3y d  e,AFTER MARKET (USA),"50,5 +1.90",E.AKTUĞ,Z.AHSEN KURUM,﻿İzmir,2022-12-18,1,,Kum,English,Sunday
5,FERMUZ DB SK,3y a  e,SON OF SUN,54 +2.00,M.BAYDAN,MAHMUT AKİBÜN YÜZÜCÜ,﻿İzmir,2022-12-18,1,,Kum,English,Sunday
6,JUST ME DB SKG SK,3y a  e,JUSTENUFFHUMOR (USA),"55,5 +0.50",B.M.MIRIK,A.FERHAT KÜÇÜKER,﻿İzmir,2022-12-18,1,,Kum,English,Sunday
7,BEST OF FATOŞ DB SKG SK,3y d  d,CASH AKÇE,58,A.İNCİ,EYÜP ENSAR ÇELİK,﻿İzmir,2022-12-18,1,,Kum,English,Sunday
8,RUNNER GIRL DB SKG SK,3y d  d,MALİ,50 +2.00,A.YILDIZ AP,TALAT ÜSTÜNER,﻿İzmir,2022-12-18,1,,Kum,English,Sunday
1.)102.500 TL,2.)41.000 TL,3.)20.500 TL,4.)10.250 TL,1.)29.469 TL,2.)11.788 TL,3.)5.894 TL,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
1,QUICK SMART SK,2y d  e,LION HEART (USA),57,N.AVCİ,MELİS KURTEL EMİN,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
2,GOOD WINNER KG K,2y d  e,CORINTHIAN (USA),57,Ö.YILDIRIM,M.SELİM GÜLEŞEN,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
3,MACELLAİO RİFATTO KG K,2y d  e,ERYAVUZ,57,M.KAYİŞ AP,UĞUR KURTULUŞ,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
4,ENDLESS RIVER KG DB,2y a  d,SPEEDY WOLF,55,D.PALAUR,GÜNSEN SOYUPAK,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
5,COCO JAMBOO KG SK,2y d  e,ROCKMASTER (IRE),57,M.M.BİLGİN,HÜSEYİN YILDIZ,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
6,LADY RAINBOW KG DB,2y d  d,SPEEDY WOLF,55 +0.90,M.ÇİÇEK,DENİZ KURTEL,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
7,NAİLOĞLUM KG K,2y d  e,BANKNOTE (GB),57,MER.ÇELİK,YAŞAR GÖLBAŞ,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
8,RUNWAY MONSTER KG DB SK (Koşmaz),2y d  d,YILDIRIMBEY,55,G.ÖZÇELİK,M.REŞAT AKKAN,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
9,SHIVA K (Koşmaz),2y a  d,KANEKO,55,E.AKTUĞ,CÜNEYT BUĞDAYCI,﻿İzmir,2022-12-18,2,,Kum,English,Sunday
1.)74.500 TL,2.)29.800 TL,3.)14.900 TL,4.)7.450 TL,1.)12.851 TL,2.)5.141 TL,3.)2.570 TL,﻿İzmir,2022-12-18,3,,Kum,English,Sunday
1,KAFKAS BEYİ DB,4y d  a,WHOS NEXT,58,MER.ÇELİK,BURHAN ŞEN,﻿İzmir,2022-12-18,3,,Kum,English,Sunday
2,SPEEDY KING SK ÖG,4y d  a,BOSPORUS (IRE),57,H.ŞİMŞEK,SÜLEYMAN KILIÇASLAN,﻿İzmir,2022-12-18,3,,Kum,English,Sunday
3,LION SONG KG K DB,3y k  e,LION HEART (USA),"58,5",A.YILDIZ AP,İLKNUR KORKUT,﻿İzmir,2022-12-18,3,,Kum,English,Sunday
4,BAŞDANER KG K DB,4y d  a,TOCCET (USA),59,K.GÖKÇE AP,ALİ GALİP MERCAN,﻿İzmir,2022-12-18,3,,Kum,English,Sunday
5,KING OVA KG DB SK,4y d  a,KANEKO,60,M.ÇİÇEK,ADNAN KILIÇ,﻿İzmir,2022-12-18,3,,Kum,English,Sunday
6,ROCKY BOY KG DB SK,5y d  a,APPROVE (IRE),60,M.KAYİŞ AP,HASAN AYDOĞAR,﻿İzmir,2022-12-18,3,,Kum,English,Sunday
1.)63.000 TL,2.)25.200 TL,3.)12.600 TL,4.)6.300 TL,1.)18.113 TL,2.)7.245 TL,3.)3.623 TL,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
1,KÖYLÜMÜN KIZI KG DB SK,3y k  d,DEMİRDÖVEN,57,K.TOKAÇOĞLU,MEHMET ARICI,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
2,MİSTRAL KG K DB,3y k  d,DEMİRDÖVEN,54 +2.00,K.GÖKÇE AP,FARUK ATEŞ,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
3,HANIMELİ KG K DB,3y a  d,DEMİRDÖVEN,59,A.OLUK,N.AREK KUYUMCİYAN,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
4,NURSEDAM KG K,3y k  d,DOĞANGÜN,57,A.KÜRÜNDÜK,SALİH BAYDAN,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
5,YAZ GÜZELİM KG K DB GKR,3y a  d,BİTİRİMKARINCA,57,M.M.BİLGİN,OĞUZ DAĞLAROĞLU,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
6,FLEMENKO KG K,3y a  d,ŞAH ŞEHRİYAR,57,A.İNCİ,H.TARIK DİKENCİK,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
7,EYUP HAN DB SK,3y a  d,KAIZBERT (RU),56,O.KIZILDAŞ AP,EBUL KASIM AVCI,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
8,MERLOT SKG SK,3y a  d,KARAÜZÜM,57,N.AVCİ,ADNAN KESKİN,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
9,SAHRANIN GÜLÜ KG SK,3y k  d,ŞAH ŞEHRİYAR,52 +0.90,C.PASO AP,H.TARIK DİKENCİK,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
10,SAFİNAZ K DB,3y d  d,KARA YAĞIZ,57,MUH.OK AP,ORHAN DURMUŞ,﻿İzmir,2022-12-18,4,,Kum,English,Sunday
1.)128.000 TL,2.)51.200 TL,3.)25.600 TL,4.)12.800 TL,1.)29.440 TL,2.)11.776 TL,3.)5.888 TL,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
1,LOKUM OĞLU KG SK,7y k  a,TURBO,"60,5",G.ÖZÇELİK,HAMDİ ÖZŞAHİN,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
2,CANIM ÇITIR KG K DB,4y a k,SARRAF,59,M.ÇİÇEK,ABDULLAH AKDEMİR,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
3,ARSLANTURBO KG SK,7y k  a,TURBO,"58,5",MER.ÇELİK,TANSEL ARSLAN,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
4,GÜVENDİK K,5y k  a,YAŞARCIK,"58,5",VEDAT ABİŞ,MURAT AKÇA,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
5,TAÇSIZ KRAL KG DB,7y a  a,KAIZBERT (RU),"61,5",M.BAYDAN,AZİZ ALTIN,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
6,TSARİGRAD KG K DB,6y k  a,GÖKMENBEY,"58,5",A.İNCİ,MURAT AKÇA,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
7,KAPAKLICAN KG DB SK,6y k  a,ATOMKARINCA,"58,5",N.AVCİ,HAYATİ CAN,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
8,KELEŞHAN KG DB,7y d  a,ÖZDURAN,"59,5",E.AKTUĞ,BAYRAM GÖKÇE,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
9,BORNOVALIM KG DB SK GKR,4y d k,BABA MEVLÜT,54 +2.00,B.M.MIRIK,TANSEL ARSLAN,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
10,SALUKİ KG K,4y k  a,UÇANOĞLU,60,N.ŞEN,H.TARIK DİKENCİK,﻿İzmir,2022-12-18,5,,Kum,English,Sunday
