horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)62.000 TL,2.)24.800 TL,3.)12.400 TL,4.)6.200 TL,1.)10.695 TL,2.)4.278 TL,3.)2.139 TL,﻿Adana,2022-01-23,1,,Kum,English,Sunday
1,FİLİBYA SKG SK,5y d k,VICTORY GALLOP (CAN),55,A.AKDEMİR,V.HAKAN KELEŞ,﻿Adana,2022-01-23,1,,Kum,English,Sunday
2,BYE BYE LULLABY DB SK,5y d k,COUNTRY REEL (USA),56,M.ÖZDEMİR,YAŞAR DEMİR,﻿Adana,2022-01-23,1,,Kum,English,Sunday
3,AYBÜKE DB SK,7y d k,YAVUZKAYA,55,SER.YILDIZ,METİN GÜNDAY,﻿Adana,2022-01-23,1,,Kum,English,Sunday
4,BE HAPPY KG DB SK,5y a k,HARPUTLU GAGGOŞ,56,A.ŞENBAHAR,MURAT BEKMEZCİ,﻿Adana,2022-01-23,1,,Kum,English,Sunday
5,BELENUS DB SK,6y a k,CAPTAIN RIO (GB),55 +1.00,F.ÇETİN,YAŞAR DEMİR,﻿Adana,2022-01-23,1,,Kum,English,Sunday
1.)52.500 TL,2.)21.000 TL,3.)10.500 TL,4.)5.250 TL,1.)9.056 TL,2.)3.623 TL,3.)1.811 TL,﻿Adana,2022-01-23,2,,Kum,English,Sunday
1,ALATOR DB SK,4y d  a,EL CORREDOR (USA),62,M.G.ARSLAN AP,ZİYA KATLAV,﻿Adana,2022-01-23,2,,Kum,English,Sunday
2,TAKE OATH DB SKG SK,5y a  a,TALIP HAN (IRE),"54,5",İ.AKYAVUZ,MEHMET EMİN ÇİZİK,﻿Adana,2022-01-23,2,,Kum,English,Sunday
3,KURTULUŞ BEYİ DB SKG SK,4y d  a,MENDIP (USA),50 +1.50,B.KILINÇ,CELAL KAYA,﻿Adana,2022-01-23,2,,Kum,English,Sunday
4,IGUAZU FALLS SK,4y d  a,WIN RIVER WIN (USA),"59,5",M.ÖZDEMİR AP,RECEP AVŞAR,﻿Adana,2022-01-23,2,,Kum,English,Sunday
5,MISTER RAIN SKG SK ÖG,8y d  a,YONAGUSKA (USA),59,H.POLAT,MEHMET DEMİR,﻿Adana,2022-01-23,2,,Kum,English,Sunday
6,ALADFAR KG DB SK,4y a  a,CUVEE (USA),52 +1.40,M.K.KUMBASAR,CEMİL CAN,﻿Adana,2022-01-23,2,,Kum,English,Sunday
7,AKINZADE SKG SK,4y d  a,KANEKO,"60,5",M.S.ÇELİK,MEHMET ULUSOY,﻿Adana,2022-01-23,2,,Kum,English,Sunday
8,KİBAR ÇOCUK DB SK,4y a  a,SIR PERCY (GB),55 +1.40,A.KURŞUN,SEMRA ERKUŞ,﻿Adana,2022-01-23,2,,Kum,English,Sunday
9,LION CHILD DB SKG SK,4y d  g,SMART ROBIN (JPN),"54,5",M.KESKİN,AHMET ÖZKAN,﻿Adana,2022-01-23,2,,Kum,English,Sunday
10,TEMPERANCE DB SKG SK,5y d k,LION HEART (USA),60,A.KAÇMAZ,FEVZİ ERGÜN,﻿Adana,2022-01-23,2,,Kum,English,Sunday
11,KING BARAN SK,5y d  a,TALIP HAN (IRE),"62,5",H.PARILDAR,A.MURAT ŞEN,﻿Adana,2022-01-23,2,,Kum,English,Sunday
12,SON OF BOSPHORUS K DB,4y a  g,BOSPORUS (IRE),61,E.ÇANKAYA AP,MÜSLÜM ARSLAN,﻿Adana,2022-01-23,2,,Kum,English,Sunday
1.)68.000 TL,2.)27.200 TL,3.)13.600 TL,4.)6.800 TL,1.)15.640 TL,2.)6.256 TL,3.)3.128 TL,﻿Adana,2022-01-23,3,,Kum,English,Sunday
1,GÜÇLÜBEYEFESİ KG K,4y a  a,EFEM,56 +0.20,E.ÇANKAYA AP,YUNUS GÜÇLÜ,﻿Adana,2022-01-23,3,,Kum,English,Sunday
2,BÜYÜK KAHRAMAN KG SK,4y k  a,ATİKBEY,61,İ.AKYAVUZ,RAMAZAN TUMBUL,﻿Adana,2022-01-23,3,,Kum,English,Sunday
3,GÖĞÜN OĞLU KG K GKR,4y a  a,TOŞUR,58 +0.40,H.POLAT,HACİ DİNÇER,﻿Adana,2022-01-23,3,,Kum,English,Sunday
4,GÖZÜMTURBO KG K,4y a  a,TURBO,54,A.AKDEMİR AP,MEHMET AKDEMİR,﻿Adana,2022-01-23,3,,Kum,English,Sunday
