horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)163.000 TL,2.)65.200 TL,3.)32.600 TL,4.)16.300 TL,1.)28.118 TL,2.)11.247 TL,3.)5.624 TL,﻿Adana,2024-02-20,1,,Kum,English,Tuesday
1,KANARHAN KG DB SK,7y a  a,KOBRA,57,F.ÇETİNBAŞ AP,D.DENİZ KANAR,﻿Adana,2024-02-20,1,,Kum,English,Tuesday
2,BELALI TUMBUL KG DB,8y k  a,KAIZBERT (RU),57,A.ÇELİK,REŞİT TUMBUL,﻿Adana,2024-02-20,1,,Kum,English,Tuesday
3,AKDAĞ FIRTINASI KG K,5y a  a,ORÇUN,57,M.S.ÇELİK,SITKI ŞİMŞEK,﻿Adana,2024-02-20,1,,Kum,English,Tuesday
4,SULEIMAN KG K DB GKR,8y k  a,TURBO,60 +0.20,E.ÇANKAYA,ÖMERCAN EROĞLU,﻿Adana,2024-02-20,1,,Kum,English,Tuesday
5,ÇELİKMERT KG DB SK,4y a  a,KAIZBERT (RU),58,M.G.ARSLAN,SADIK AY,﻿Adana,2024-02-20,1,,Kum,English,Tuesday
6,MUCİT TAY KG DB SK,5y d  a,TÜMÖZ BEY,60,M.AKYAVUZ,E.KAYHAN ERGİN,﻿Adana,2024-02-20,1,,Kum,English,Tuesday
7,ROCKSTAR KG K,5y a  a,TURBO,60,MÜS.ÇELİK,RIDVAN ENVER ADVAN,﻿Adana,2024-02-20,1,,Kum,English,Tuesday
8,ALTINEKEN KG K DB,5y a k,KAIZBERT (RU),54,M.AKDAĞ AP,ADİL ALTIN,﻿Adana,2024-02-20,1,,Kum,English,Tuesday
1.)217.000 TL,2.)86.800 TL,3.)43.400 TL,4.)21.700 TL,1.)49.910 TL,2.)19.964 TL,3.)9.982 TL,﻿Adana,2024-02-20,2,,Kum,English,Tuesday
1,FLIGHT TIME KG K,3y d  d,DAREDEVIL (USA),58 +0.10,M.G.ARSLAN,MUZAFFER BUĞDAYCI,﻿Adana,2024-02-20,2,,Kum,English,Tuesday
2,PALM ANGEL K DB,3y d  d,ABBAS YOLCU,58,E.ÇANKAYA,SENEM GÖZEL,﻿Adana,2024-02-20,2,,Kum,English,Tuesday
3,ÇAKAL GIRLS K,3y d  d,ÇAKAL CARLOS,58,A.ÇELİK,HALİL KARABACAK,﻿Adana,2024-02-20,2,,Kum,English,Tuesday
4,AGNODİS DB SK,3y a  d,VICTORY GALLOP (CAN),58 +0.10,A.KURŞUN,GİZEM ÇAKMAKOĞLU,﻿Adana,2024-02-20,2,,Kum,English,Tuesday
5,LAST TWO HOURS KG K,3y a  d,VICTORY GALLOP (CAN),58 +0.10,MÜS.ÇELİK,ERKAN AKTAŞGİL,﻿Adana,2024-02-20,2,,Kum,English,Tuesday
6,ABSOLETE KG K,3y a  d,LION HEART (USA),55 +2.00,F.ÇETİN AP,AHMET KILIÇCIOĞLU,﻿Adana,2024-02-20,2,,Kum,English,Tuesday
7,MISS CORDELIA DB SK,3y d  d,BUSHRANGER (IRE),55 +1.50,F.ÇETİNBAŞ AP,ESER ÖKSÜZER,﻿Adana,2024-02-20,2,,Kum,English,Tuesday
1.)240.000 TL,2.)96.000 TL,3.)48.000 TL,4.)24.000 TL,1.)41.400 TL,2.)16.560 TL,3.)8.280 TL,﻿Adana,2024-02-20,3,,Kum,English,Tuesday
1,PRENSES SYLVESTER DB SKG SK,4y d k,MR.OWEN (USA),58,A.ÇELİK,SALİH YILDIZER,﻿Adana,2024-02-20,3,,Kum,English,Tuesday
