horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)50.500 TL,2.)20.200 TL,3.)10.100 TL,4.)5.050 TL,1.)11.615 TL,2.)4.646 TL,3.)2.323 TL,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
1,SONATEŞ KG,4y a  a,ATEŞTOPU,58,F.YARDIMCI,MÜCAHİT YILDIZHAN,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
2,HİMALİNOĞLU KG SK,4y k  a,BERKSOY,54 +1.40,F.ÇETİNBAŞ AP,MAHMUT KARAOĞLAN,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
3,TARUMAR KG DB SK,4y a  a,USTA,58,N.ALTIN,AVNİ KAYA,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
4,İSMAİLHAN KG SK,4y d  a,BABA MEVLÜT,58,AH.ARSLAN,LÜTFİ TURAN,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
5,DOĞAN PENÇESİ SKG SK,4y k  a,YAKUPBEY,56,M.E.DOĞAN AP,MEHMET DOĞAN,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
6,UMUDUMSUN AKKUŞ SKG SK,4y k  a,DEMİRSOY,56,E.AKKILIÇ AP,HÜSEYİN ATAKAYA,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
7,KÜÇÜK TEKTEKİN KG K DB,4y a  a,UÇARLIM,56 +1.90,İ.KATAR AP,İSMAİL ÇİZİK,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
8,SİDARHAT KG SK,4y a  a,ATİKBEY,58,İ.AKYAVUZ,MEHMET TÜRKERİ,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
9,SERECELİ SKG SK,4y k  a,NİTRO,57,Y.ÇELİKBAŞ AP,F.SEDAT DAĞYUDAN,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
10,KÜÇÜK YUSUF SKG SK,4y k  a,BOZYİĞİT,58,MAHSUN TURAN,MEHMET AKTAŞ,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
11,KÜÇÜK ŞİMŞEĞİNOĞLU KG SK,4y k  a,ŞİMŞEĞİNOĞLU,54,B.SARIDAL AP,SERDAR DOĞAN,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
12,TOSPİK KG DB,4y a k,ONURKAAN,56 +1.00,M.A.AKTÜRK,BOZAN ALTIN,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
13,ÖZEL KIZI KG DB SK,4y k k,YAKUPBEY,53 +2.00,H.ALTUNDAĞ AP,RECEP BAKIRCI,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
14,GÖK BİLİR KG DB,4y a  a,UÇANOĞLU,54 +1.10,A.ÇANKAYA AP,FIRAT TEKİNALP,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
15,MERSİN GÜZELİ KG DB,4y a k,ATİKBEY,56,A.ŞENBAHAR AP,RECEP KETME,﻿Şanlıurfa,2022-01-20,1,,Kum,English,Thursday
1.)37.000 TL,2.)14.800 TL,3.)7.400 TL,4.)3.700 TL,1.)6.383 TL,2.)2.553 TL,3.)1.277 TL,﻿Şanlıurfa,2022-01-20,2,,Kum,English,Thursday
1,ASABİ SKG SK,3y d  e,SCARFACE,55 +1.20,F.YARDIMCI,BÜLENT DEMİR,﻿Şanlıurfa,2022-01-20,2,,Kum,English,Thursday
2,ROCKY GIRL SK,3y d  d,KAFKASLI,54 +1.40,H.ALTUNDAĞ AP,MEHMET EMİN DEMİRKAPU,﻿Şanlıurfa,2022-01-20,2,,Kum,English,Thursday
3,PİRKAN HAN SK,3y d  e,GÜNGÖR BABA,55 +1.00,M.E.DOĞAN AP,MUSTAFA ARSLAN,﻿Şanlıurfa,2022-01-20,2,,Kum,English,Thursday
4,GÖKHAN BABAM KG DB SK,3y d  e,GÜNGÖR BABA,55 +2.00,M.IŞIK AP,MAHİR TEKİNALP,﻿Şanlıurfa,2022-01-20,2,,Kum,English,Thursday
5,DR ROCK,3y d  e,FAST 'N' FAMOUS (AUS),55 +1.00,İ.AKYAVUZ,MEHMET EMİN DEMİRKAPU,﻿Şanlıurfa,2022-01-20,2,,Kum,English,Thursday
6,BORA ŞAH KG K DB,3y d  e,MEHMET BORA,55 +2.00,AH.ARSLAN,MAHMUT ÇADIRCI,﻿Şanlıurfa,2022-01-20,2,,Kum,English,Thursday
7,MONEY FOR NOTHING KG SK,3y d  e,PAPA CLEM (USA),55 +2.00,M.A.AKTÜRK,MURAT ARSLAN,﻿Şanlıurfa,2022-01-20,2,,Kum,English,Thursday
