horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)120.000 TL,2.)48.000 TL,3.)24.000 TL,4.)12.000 TL,1.)34.500 TL,2.)13.800 TL,3.)6.900 TL,﻿Ankara,2023-07-06,1,,Çim,English,Thursday
1,I HAVE SPOKEN,2y d  e,MYBOYCHARLIE (IRE),57,U.TEMUR,CEM ÖZBELGE,﻿Ankara,2023-07-06,1,,Çim,English,Thursday
2,FLYING SPICE KG K,2y d  d,DARIYAN (FR),55 +0.20,G.KOCAKAYA,EMRAH KARAMAZI,﻿Ankara,2023-07-06,1,,Çim,English,Thursday
3,FAYLINN KG,2y d  e,PAPA CLEM (USA),57,M.S.ÇELİK,AHMET KILIÇCIOĞLU,﻿Ankara,2023-07-06,1,,Çim,English,Thursday
4,CANSIN HATUN SK,2y d  d,HAKEEM (USA),55 +1.60,A.KURŞUN,ANIL DİKİLİTAŞ,﻿Ankara,2023-07-06,1,,Çim,English,Thursday
5,MR WINNER SK,2y d  e,GÜNGÖR BABA,57,E.ÇANKAYA,FUAT ÇETİN,﻿Ankara,2023-07-06,1,,Çim,English,Thursday
6,ASLIAGA K,2y d  d,SMART ROBIN (JPN),53,M.N.SUNKAR AP,AYŞE SARA ÖZEKİCİ,﻿Ankara,2023-07-06,1,,Çim,English,Thursday
1.)118.500 TL,2.)47.400 TL,3.)23.700 TL,4.)11.850 TL,1.)34.069 TL,2.)13.628 TL,3.)6.814 TL,﻿Ankara,2023-07-06,2,,Çim,English,Thursday
1,DILDA KG K,3y a  d,JOKER,55 +1.00,E.ÇANKAYA,HALİL FELHAN,﻿Ankara,2023-07-06,2,,Çim,English,Thursday
2,KALBİMDESİN KG SK,3y a  d,CANKARDEŞLER,57,G.KOCAKAYA,GÖKHAN YILDIZ,﻿Ankara,2023-07-06,2,,Çim,English,Thursday
3,FEYZAHANIM,3y a  d,ORÇUN,57,E.AKTUĞ,YASEMİN OZAN,﻿Ankara,2023-07-06,2,,Çim,English,Thursday
4,MÜBERREM KG K,3y a  d,SERHANTAY,54 +2.00,F.ÇETİN AP,NUSRET DOĞAN,﻿Ankara,2023-07-06,2,,Çim,English,Thursday
5,MAMACİTA BONİTA K,3y k  d,ODİNHAN,57,M.S.ÇELİK,MİTHAT KATI,﻿Ankara,2023-07-06,2,,Çim,English,Thursday
6,HOŞDİL KG SK,3y k  d,YAKUPBEY,57,V.DEMİR,MEHMET YALÇIN,﻿Ankara,2023-07-06,2,,Çim,English,Thursday
1.)140.000 TL,2.)56.000 TL,3.)28.000 TL,4.)14.000 TL,1.)24.150 TL,2.)9.660 TL,3.)4.830 TL,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
1,SHE IS THE SHOW SK,5y d k,WIN RIVER WIN (USA),50 +2.00,M.KESKİN,YILDIRIM GELGİN,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
2,ANADOLU EDASI DB SK,4y d k,MENDIP (USA),61,F.ÇETİNBAŞ AP,FEHMİ İLERİ,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
3,ROBIN STAR DB SKG SK,4y d k,SMART ROBIN (JPN),50 +2.00,M.BAYIR,A. ALPER SİLSÜPÜR,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
4,MIRACLE OF VICTORY SK,4y d k,VICTORY GALLOP (CAN),"55,5",MÜS.ÇELİK,TALAT E. İŞÇİOĞLU,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
5,BYE BYE LULLABY DB SK,6y d k,COUNTRY REEL (USA),"57,5",M.N.SUNKAR AP,SEDAT YILDIRIM,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
6,SEFAM OLSUN K,4y k k,SMART ROBIN (JPN),"57,5",G.KOCAKAYA,ALİ UÇAK,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
7,LAST TULIP KG K,3y a  d,RED GIANT (USA),55 +1.30,F.ÇETİN AP,YILMAZ ARİ,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
8,SCARLET DB SK,4y d k,EL CORREDOR (USA),"59,5",E.ÇANKAYA,AYTEN ALTAY,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
9,EXPRESS KITTY KG DB SK,5y d k,LIAISON (USA),58,M.S.ÇELİK,MİTHAT KATI,﻿Ankara,2023-07-06,3,,Kum,English,Thursday
1.)90.000 TL,2.)36.000 TL,3.)18.000 TL,4.)9.000 TL,1.)15.525 TL,2.)6.210 TL,3.)3.105 TL,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
1,YEDİYAMAN KG K DB GKR,4y k  a,SAKARBAŞI,55,SER.YILDIZ AP,BÜLENT TOYDEMİR,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
2,GALATA KULESİ,5y k  a,TÜMÖZ BEY,57,V.DEMİR,MEHMET DİRİK,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
3,CAN EMRE KG K,4y k  a,ŞİMŞEĞİNOĞLU,54 +2.00,K.DEMİREL AP,ABDULKADİR ELĞAÇ,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
4,BAŞDAĞLI KG K,4y k  a,KOPUZ,56,M.K.KUMBASAR,BEKİR AKYAVUZ,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
5,ASRASYAD KG,8y a  a,SANCAKBEYİ,60,A.AKDEMİR AP,ALİ ÇELİK,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
6,BİRŞİMŞEK SKG SK,4y k  a,ŞİMŞEĞİNOĞLU,56,M.KESKİN,BİŞAR ÇELİK,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
7,BEL CAVALLO KG SK,4y k k,SAKARBAŞI,56,E.ÇANKAYA,MÜSLÜM KATI,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
8,ŞAHAHMET KG,5y k  a,BABA MEVLÜT,58 +0.10,M.AKYAVUZ,ANIL AYTAÇ ATICI,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
9,HABERKAN FIRTINASI KG DB SK,4y a  a,HABERKAN,56,M.G.ARSLAN,FERHAT DEMİR,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
10,FIRDÖNDÜ K,4y k k,CANGIL,56 +1.30,H.POLAT,HAKKI GÜLAL,﻿Ankara,2023-07-06,4,,Çim,English,Thursday
1.)93.500 TL,2.)37.400 TL,3.)18.700 TL,4.)9.350 TL,1.)16.129 TL,2.)6.452 TL,3.)3.226 TL,﻿Ankara,2023-07-06,5,,Çim,English,Thursday
1,YAMATAİ SK,3y d  d,FAST 'N' FAMOUS (AUS),"54,5",M.BAYIR,MURAT CAVCAV,﻿Ankara,2023-07-06,5,,Çim,English,Thursday
2,UMUTBEY SK,3y d  e,BUSHRANGER (IRE),"61,5",M.AKYAVUZ,MERT ALİ KARABULUT,﻿Ankara,2023-07-06,5,,Çim,English,Thursday
3,DORDEPEL KG SK,3y k  e,THREE VALLEYS (USA),"60,5",A.SÖZEN,ALİ DOBAK,﻿Ankara,2023-07-06,5,,Çim,English,Thursday
4,VICTORY DANGER SK,3y d  e,FAST 'N' FAMOUS (AUS),"56,5",M.N.SUNKAR AP,NİMET ARİF KURTEL,﻿Ankara,2023-07-06,5,,Çim,English,Thursday
5,PRENS KG DB SK,3y d  e,GALİPHAN,52 +1.30,SER.YILDIZ AP,D.DENİZ KANAR,﻿Ankara,2023-07-06,5,,Çim,English,Thursday
6,BABA HAMDİ KG DB SK,3y a  e,BAY ÇİFTÇİOĞLU,55,MÜS.ÇELİK,MUSTAFA GÜRCÜ,﻿Ankara,2023-07-06,5,,Çim,English,Thursday
7,TONIGHT GAMER KG K DB,3y d  e,ABBAS YOLCU,"54,5",E.AKTUĞ,NAMIK K.M. KIRIKKANAT,﻿Ankara,2023-07-06,5,,Çim,English,Thursday
8,GERMUŞLU FUAT KG K GKR,3y d  e,KIRDEMİRKIR,"55,5 +1.00",V.DEMİR,FAİK ÜNLÜ,﻿Ankara,2023-07-06,5,,Çim,English,Thursday
1.)164.000 TL,2.)65.600 TL,3.)32.800 TL,4.)16.400 TL,1.)37.720 TL,2.)15.088 TL,3.)7.544 TL,﻿Ankara,2023-07-06,6,,Kum,English,Thursday
1,BÜYÜK YILDIZ KG SK,4y a k,UÇANOĞLU,58,G.KOCAKAYA,GÖKHAN YILDIZ,﻿Ankara,2023-07-06,6,,Kum,English,Thursday
2,GÖZPINARI SKG SK,4y k k,KARAÜZÜM,61,A.SÖZEN,MELİH TEMEL,﻿Ankara,2023-07-06,6,,Kum,English,Thursday
3,ATEŞİM KG DB SK,4y k k,BALIKHAN,60,A.KURŞUN,ZÜLFİKAR HATUNOĞLU,﻿Ankara,2023-07-06,6,,Kum,English,Thursday
4,DEMİRBİKE K DB,4y k k,DEMİRDÖVEN,60,M.AKYAVUZ,MUZBAH YARDIMCI,﻿Ankara,2023-07-06,6,,Kum,English,Thursday
5,GÜZEL MUĞLALI KG K,4y a k,GÜNTAY,58,MÜS.ÇELİK,ÖMER USLU,﻿Ankara,2023-07-06,6,,Kum,English,Thursday
1.)118.500 TL,2.)47.400 TL,3.)23.700 TL,4.)11.850 TL,1.)20.441 TL,2.)8.177 TL,3.)4.088 TL,﻿Ankara,2023-07-06,7,,Çim,English,Thursday
1,SUN TIME DB SK,6y d  a,LUXOR,56 +0.20,A.KURŞUN,ENGİN BEKİROĞULLARI,﻿Ankara,2023-07-06,7,,Çim,English,Thursday
2,ARDAŞAH KG SK,6y d  a,PERFECTO,60,F.YARDIMCI,MURAT YILDIZ,﻿Ankara,2023-07-06,7,,Çim,English,Thursday
3,BLACK LION KG K DB,4y a  a,SIDNEY'S CANDY (USA),59,M.N.SUNKAR AP,MEHMET KARAARSLAN,﻿Ankara,2023-07-06,7,,Çim,English,Thursday
4,LION CHILD DB SK,5y d  g,SMART ROBIN (JPN),57 +0.30,K.DEMİREL AP,AHMET ÖZKAN,﻿Ankara,2023-07-06,7,,Çim,English,Thursday
5,AMADIS KG K,5y d  g,LILBOURNE LAD (IRE),57,V.DEMİR,MÜGE DİNÇ,﻿Ankara,2023-07-06,7,,Çim,English,Thursday
6,GOLDEN JET KG K DB,4y a  a,PERFECT STORM,56,G.KOCAKAYA,Ö.ŞAHİN EĞİLLİ,﻿Ankara,2023-07-06,7,,Çim,English,Thursday
1.)140.000 TL,2.)56.000 TL,3.)28.000 TL,4.)14.000 TL,1.)24.150 TL,2.)9.660 TL,3.)4.830 TL,﻿Ankara,2023-07-06,8,,Çim,English,Thursday
1,BOĞAZ ÇOCUĞU KG DB,4y a  a,CANGIL,"57,5",F.ÇETİNBAŞ AP,HAKKI GÜLAL,﻿Ankara,2023-07-06,8,,Çim,English,Thursday
2,ALTINEKEN KG K,4y a k,KAIZBERT (RU),"53,5 +2.00",E.ÇANKAYA,ADİL ALTIN,﻿Ankara,2023-07-06,8,,Çim,English,Thursday
3,YENERBEY DB SKG SK,5y k  a,EFEM,56,E.AKTUĞ,TARIK KARADUMAN,﻿Ankara,2023-07-06,8,,Çim,English,Thursday
4,BAŞKASAP KG SK,5y d  a,BABA MEVLÜT,58,G.KOCAKAYA,EREN KURU,﻿Ankara,2023-07-06,8,,Çim,English,Thursday
5,BASGİT KG K DB,5y k  a,TURBO,53 +0.30,MÜS.ÇELİK,TAYLAN DEMİR,﻿Ankara,2023-07-06,8,,Çim,English,Thursday
6,BAŞ AT KG SK,4y k  a,OYMAKBEYİ,50 +2.00,M.KESKİN,UMUT ERKULU,﻿Ankara,2023-07-06,8,,Çim,English,Thursday
7,SEMİH STAR KG K DB,4y a  a,KAIZBERT (RU),55 +1.40,A.SÖZEN,LAMİ KATI,﻿Ankara,2023-07-06,8,,Çim,English,Thursday
