horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)273.000 TL,2.)109.200 TL,3.)54.600 TL,4.)27.300 TL,1.)78.488 TL,2.)31.395 TL,3.)15.698 TL,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
1,REFLECTED GLORY DB,2y d  e,WAR OF WILL (USA),57,M.ÇİÇEK,NİMET ARİF KURTEL,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
2,TROUBLE BOY DB SKG SK,2y d  e,VICTORY GALLOP (CAN),57 +0.10,A.ÇELİK,ERKAN BAL,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
3,NEIGH NEIGH KG K,2y d  d,MENDIP (USA),55 +2.00,S.BOYRAZ,KAZIM OZAN ÖZER,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
4,SKY AUTHORITY KG K,2y d  d,AUTHORIZED (IRE),55 +1.10,M.M.BİLGİN,A.HALİM CELALOĞLU,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
5,OSET KG K,2y d  e,CORINTHIAN (USA),57,N.ŞEN,MURAT MAHMUT ŞİMŞEK,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
6,LORD OF THE WOLF,2y d  e,AVERY ISLAND (USA),57 +0.30,T.YILDIZ,AYTUĞ ATALAY,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
7,WARRIORS PATH KG SK,2y d  e,AVERY ISLAND (USA),57,D.PALAUR,AYŞEGÜL KURTEL,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
8,CANAY BEY,2y a  e,KING OF THE SUN,57 +0.80,M.KAYA,DAVUT SAV,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
9,CRUNCHTIME KG DB SK,2y a  d,TRAPPE SHOT (USA),55 +0.80,MER.ÇELİK,ALİ ÇAPACI,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
10,LION MARK SK GKR,2y a  e,ACEM,57,İ.S.SÖĞÜT AP,MAHMUT SİNANLI,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
11,YAĞMUR DAMLAM KG K (Koşmaz),2y a  d,SIDNEY'S CANDY (USA),55,EFE KORKMAZ AP,YALÇIN TÜRE,﻿Kocaeli,2024-10-08,1,,Kum,English,Tuesday
1.)192.000 TL,2.)76.800 TL,3.)38.400 TL,4.)19.200 TL,1.)33.120 TL,2.)13.248 TL,3.)6.624 TL,﻿Kocaeli,2024-10-08,2,,Kum,English,Tuesday
1,SUPERSONIC KG DB SK,3y a  e,SİNCLAR,52 +0.80,C.PASO AP,ADNAN BALKAYA,﻿Kocaeli,2024-10-08,2,,Kum,English,Tuesday
2,EL INTOCABLE KG DB SK,3y d  e,PAPA CLEM (USA),54 +1.80,M.M.BİLGİN,HARİKA GİDER,﻿Kocaeli,2024-10-08,2,,Kum,English,Tuesday
3,ETERNAL CITY KG K,3y d  d,TIZWAY (USA),59 +0.10,BERK.GÖKÇE AP,AYTUĞ ATALAY,﻿Kocaeli,2024-10-08,2,,Kum,English,Tuesday
4,BONNAROO KG K,3y k  e,GENERAL QUARTERS (USA),58 +0.10,A.ÇELİK,SERHAT YILDIRAN,﻿Kocaeli,2024-10-08,2,,Kum,English,Tuesday
5,HERMEN STAR KG K DB,3y d  e,MENDIP (USA),61,M.ÇİÇEK,İ.ŞAFAK ÜÇÜNCÜOĞLU,﻿Kocaeli,2024-10-08,2,,Kum,English,Tuesday
