horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
12,DIOS DE LA GUERRA (Koşmaz),2y d e,LEGENDS OF WAR (USA),"58,5",P BRADLEY,MR ROBERT MOSS,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
1,CHAR (IRE),2y d e,NEW BAY,"60,5",S DE SOUSA,HRH PRİNCE FAİSAL Bİ,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
2,BOUVIER (IRE),2y d d,INVINCIBLE SPIRIT (IRE),"57,5",O MURPHY,MS K AVİSON,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
3,WARRNAMBOOL (GER),2y d e,RELIABLE MAN,"60,5",L MORRİS,HALO RACİNG SERVİCES,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
4,SPIRIT OF ALBION (IRE),2y d e,INVINCIBLE SPIRIT (IRE),"59,5",R HAVLİN,SPİRİT OF ALBİON,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
5,KODI FIRE (IRE),2y a e,KODI BEAR (IRE),"59,5",W COX,HİLLS ANGELS,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
6,PRINCE OF JOY,2y d e,OASIS DREAM,"59,5",GEORGE DOWNING,MRS TINA LARCOMBE,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
7,ARINAGOUR,2y a d,HIGHLAND REEL (IRE),"56,5",F MARSH,THE FAİRY STORY PART,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
8,FRIDAY AGAIN (IRE),2y d d,KODI BEAR (IRE),58,P BRADLEY,MR J C G CHUA,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
9,EL BOSH,2y d e,SERGEI PROKOFIEV (CAN),"60,5",GEORGE WOOD,VALMONT,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
10,I'M WORKIN ON IT,2y d e,HARRY ANGEL (IRE),"60,5",L EDMUNDS,CANİSBAY BLOODSTOCK,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
11,UNFORTUNATE HEIR,2y d e,UNFORTUNATELY (IRE),"58,5",S OSBORNE,MR GEOFF HİLL & MR D,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
12,INVINCIBLE STORM (IRE),2y d e,INVINCIBLE ARMY (IRE),"57,5",G BASS,LILLY HALL SYNDICATE,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
1,QAZAQ (FR),3y d e,KINGMAN,"62,5",S DE SOUSA,MR NURLAN BİZAKOV,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
2,TEX (FR) DB,3y k e,DARK ANGEL (IRE),59,N CALLAN,GEORGE BAKER RACING,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
3,HUNTLY LODGE K,3y d e,COACH HOUSE (IRE),59,R HAVLİN,MRS SANDRA WİNDUS,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
4,FOREST HAZE,4y d k,GARSWOOD,"57,5",L MORRİS,MR W PROSSER,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
5,DOCTOR AWTAAD (FR),3y d d,AWTAAD (IRE),57,F MARSH,MR PİERCE GERARD MOL,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
6,SHADES OF MAY,4y d a,MAYSON,60,GEORGİA DOBİE,MR M D I USHER,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
1,BERRY CLEVERBERRY CLEVER,3y d  e,EXPERT EYE (GB),"59,5",S DE SOUSA,STRAWBERRY FİELDS ST,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
2,OLD CHUMS (IRE)OLD CHUMS YP,3y d  e,KODIAC,"62,5",P-L JAMİN,SET THE PULSE RACİNG,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
3,THORNTONLEDALE MAXTHORNTONLEDALE MAX,3y d  e,CITYSCAPE,62,J P SPENCER,MR A M PİCKERİNG,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
4,PALADIN (IRE)PALADIN,3y a  e,JUSTIFY (USA),60,N CALLAN,JOHN BROWN & MEGAN D,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
5,KING DAVID (IRE)KING DAVID,3y k  e,EXCEED AND EXCEL (AUS),"61,5",H DOYLE,THE HONORABLE EARLE,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
6,STAR PUPILSTAR PUPIL,3y d  e,ZOUSTAR (AUS),"60,5",F MARSH,"BECCLE, CLAY, FLEMİN",﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
7,RAWAASI (IRE)RAWAASI,3y d  d,BLUE POINT (IRE),"61,5",H DAVİES,SHEİKH AHMED AL MAKT,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
8,SPEEDING BULLET (IRE)SPEEDING BULLET KG,3y d  e,INNS OF COURT (IRE),62,O MURPHY,KİNG POWER RACİNG CO,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
9,BATED BREEZE (IRE) YP,3y d e,BATED BREATH,55,D EGAN,NEAL AND SHERALEE GR,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
1,TEN COMMITMENTSTEN COMMITMENTS K,3y d  e,DUE DILIGENCE (USA),"60,5",S OSBORNE,THE TEN CLUB,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
2,BIGBERTIEBASSETTBIGBERTIEBASSETT KG,3y d  e,ALMANZOR (FR),"60,5",L EDMUNDS,MR DAVİD FOY,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
3,RACING DEMONRACING DEMON K,4y d  a,MUHAARAR (GB),"61,5",L MORRİS,JOHN MANSER & SİMON,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
4,EAGLE EYED TOMEAGLE EYED TOM YP,4y d  a,GLENEAGLES (IRE),"61,5",R COAKLEY,EXORS OF THE LATE MR,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
5,MAYSONGMAYSONG YP,7y a  a,MAYSON,58,C HOWARTH,MISS ALICE HAYNES,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
6,UNREAL CONNECTIONUNREAL CONNECTION KG,3y d  d,CALYX,59,B SAYETTE,MR DERREN WOODS,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
7,MASQOOL (IRE)MASQOOL,6y d  a,INVINCIBLE SPIRIT (IRE),"60,5",J LEAVY,PETER CLARKE RACING,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
8,GAMBLERS KITTYGAMBLERS KITTY,3y a  e,BOBBY'S KITTEN (USA),59,S DE SOUSA,STRAWBERRY FİELDS ST,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
9,PORT ERIN (IRE)PORT ERIN,4y d  a,LE HAVRE (IRE),"60,5",W CARSON,MR P G SHORROCK,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
10,RAQRAAQ (USA)RAQRAAQ,6y d  a,WAR FRONT,59,H DOYLE,THE FOXFORD HOUSE PA,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
11,ALWAYS FEARLESS (IRE)ALWAYS FEARLESS KG,7y a  a,CAMACHO (GB),58,TYRESE CAMERON,RICHARD HANNON RACIN,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
12,ARGENTALI DB YP,4y k k,CRACKSMAN,"60,5",N CALLAN,"TUCKER, STAFFORD, PA",﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
13,RAZZAM (IRE)RAZZAM,4y a  a,SHOWCASING,"60,5",A RAWLİNSON,GEEGEEZ CO UK MA,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
14,TASKHEER (IRE)TASKHEER K DB,6y d  a,GOLDEN HORN (GB),60,R CLUTTERBUCK,SAM TINGEY & CHARLIE,﻿Kempton Park Birleşik Krallık,2024-10-23,1,,,English,Wednesday
