horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)217.000 TL,2.)86.800 TL,3.)43.400 TL,4.)21.700 TL,1.)62.388 TL,2.)24.955 TL,3.)12.478 TL,﻿Adana,2024-12-21,1,,Kum,English,Saturday
1,YAĞIZKAYA KG K DB,3y k  e,ANADOLUKAYA,55 +0.70,F.ÇETİNBAŞ AP,İBRAHİM KAYA,﻿Adana,2024-12-21,1,,Kum,English,Saturday
2,KANUN KG K,3y a  e,GELİBOLU,57 +0.70,İ.KATI,H.BASRİ TÜMÖZ,﻿Adana,2024-12-21,1,,Kum,English,Saturday
3,ALİHANBİR KG K,3y a  e,UÇANOĞLU,54 +0.70,F.S.M.SANSAR AP,CELAL ÇANKAYA,﻿Adana,2024-12-21,1,,Kum,English,Saturday
4,ÇOLPAN IŞIĞI DB SKG SK,3y k  d,YAŞARCIK,55 +1.70,F.R.BEBEK,BEŞİR KAYA,﻿Adana,2024-12-21,1,,Kum,English,Saturday
5,OĞLUM BULUT DB,3y a  e,SAKARBAŞI,57,E.SİNCAN,CEMİLE YILDIZ,﻿Adana,2024-12-21,1,,Kum,English,Saturday
6,KARA TÜTSÜ KG K,3y k  d,KARAÜZÜM,55,E.ÇİZİK,SELAMİ ÜNLÜ,﻿Adana,2024-12-21,1,,Kum,English,Saturday
7,TANIROĞLU KG K,3y a  e,YILMABAŞAR,53,E.ATLAMAZ AP,OSMAN İPEK,﻿Adana,2024-12-21,1,,Kum,English,Saturday
8,KARA ÖMER SK (Koşmaz),3y d  e,BABA MEVLÜT,57,A.ÇELİK,BEKİR ÖZÇETE,﻿Adana,2024-12-21,1,,Kum,English,Saturday
1.)192.000 TL,2.)76.800 TL,3.)38.400 TL,4.)19.200 TL,1.)33.120 TL,2.)13.248 TL,3.)6.624 TL,﻿Adana,2024-12-21,2,,Kum,English,Saturday
1,ÇAĞLAYAN KG K DB,4y k  a,TAMERİNOĞLU,"53,5 +0.40",E.ÇİZİK,MUSTAFA TÜZÜN,﻿Adana,2024-12-21,2,,Kum,English,Saturday
2,PALA SALİH,9y k  a,KIRIMHAN,59,MÜS.ÇELİK,YAKUP KAYA,﻿Adana,2024-12-21,2,,Kum,English,Saturday
3,MİRİALEM KG DB SK,5y d  a,SARRAF,61,F.ÇETİNBAŞ AP,HAYDAR YARDIMCI,﻿Adana,2024-12-21,2,,Kum,English,Saturday
4,UÇAN KAFKASLI KG DB,5y a  a,KAIZBERT (RU),"52,5 +0.30",M.KESKİN,İBRAHİM KAYA,﻿Adana,2024-12-21,2,,Kum,English,Saturday
5,KIRKÇERİ KG K DB,5y d  a,ULUER,"56,5 +0.80",F.ÇETİN AP,CELAL AKIL,﻿Adana,2024-12-21,2,,Kum,English,Saturday
6,ÖNDER DB SKG SK,4y a  a,AYABAKAN,"59,5",H.ÇİZİK,CELAL AKIL,﻿Adana,2024-12-21,2,,Kum,English,Saturday
1.)285.000 TL,2.)114.000 TL,3.)57.000 TL,4.)28.500 TL,1.)65.550 TL,2.)26.220 TL,3.)13.110 TL,﻿Adana,2024-12-21,3,,Kum,English,Saturday
1,HAYALET KIZ DB SK,7y d k,ENGLISH CHANNEL (USA),58,A.ÇELİK,NİMET ARİF KURTEL,﻿Adana,2024-12-21,3,,Kum,English,Saturday
2,WOLKA MARIA SK,3y d  d,COOGER,"58,5",M.A.SOLMAZ,SERDAR SÜSLÜ,﻿Adana,2024-12-21,3,,Kum,English,Saturday
3,REAL CHANCE KG SK,5y d k,JIMMY CREED (USA),60,A.KURŞUN,NİMET ARİF KURTEL,﻿Adana,2024-12-21,3,,Kum,English,Saturday
4,FORLORN K SKG,5y d k,PAPA CLEM (USA),60,MÜS.ÇELİK,YUSUF AKGÜL,﻿Adana,2024-12-21,3,,Kum,English,Saturday
5,SECRET LAV KG K,3y d  d,TOROK (IRE),"61,5",E.ÇANKAYA,MEHMET ÇELİK,﻿Adana,2024-12-21,3,,Kum,English,Saturday
6,BROWNY LADY DB,3y a  d,NATIVE KHAN (FR),"58,5",E.ÇİZİK,MAHMUT TEKİNALP,﻿Adana,2024-12-21,3,,Kum,English,Saturday
1.)274.000 TL,2.)109.600 TL,3.)54.800 TL,4.)27.400 TL,1.)63.020 TL,2.)25.208 TL,3.)12.604 TL,﻿Adana,2024-12-21,4,,Kum,English,Saturday
1,MADAM ORACLE DB SK,4y d k,SIDNEY'S CANDY (USA),"60,5",A.ÇELİK,EMRE KARAYEL,﻿Adana,2024-12-21,4,,Kum,English,Saturday
2,YILDIZKIRAN SKG SK,5y a  a,APPROVE (IRE),61,M.AKYAVUZ,HALİL SARIDAL,﻿Adana,2024-12-21,4,,Kum,English,Saturday
3,HALLELUKA KG DB SK,4y d  a,EXPANSION (USA),"57,5 +1.40",İSM.YILDIRIM AP,BEYHAN HADİOĞLU,﻿Adana,2024-12-21,4,,Kum,English,Saturday
4,ANADOLU EDASI DB SK,5y d k,MENDIP (USA),57 +0.10,F.ÇETİNBAŞ AP,FEHMİ İLERİ,﻿Adana,2024-12-21,4,,Kum,English,Saturday
5,SIRIUS BLACK KG K DB,5y d  a,HAKEEM (USA),61,F.S.M.SANSAR AP,GİZEM ÇAKMAKOĞLU,﻿Adana,2024-12-21,4,,Kum,English,Saturday
6,PINEAL CODE SKG SK,3y d  d,APPROVE (IRE),55 +1.50,A.KURŞUN,AYHAN GİRAY,﻿Adana,2024-12-21,4,,Kum,English,Saturday
7,TRAINER FATHER KG DB SK,3y d  e,OUT OF CONTROL,50 +2.00,M.KESKİN,HACİRE KAYA,﻿Adana,2024-12-21,4,,Kum,English,Saturday
8,GETTO DB SKG SK,4y k k,LION HEART (USA),56,M.N.SUNKAR AP,ALİ RIZA KÖSEALİ,﻿Adana,2024-12-21,4,,Kum,English,Saturday
1.)163.000 TL,2.)65.200 TL,3.)32.600 TL,4.)16.300 TL,1.)28.118 TL,2.)11.247 TL,3.)5.624 TL,﻿Adana,2024-12-21,5,,Kum,English,Saturday
1,RAJBERA KG K,4y k  a,SERHANTAY,58,A.ÇELİK,NECDET YILDIZ,﻿Adana,2024-12-21,5,,Kum,English,Saturday
2,SUNGUR ALP KG DB SK,4y k  a,KARAÜZÜM,60,H.ÇİZİK,SENEM GÖZEL,﻿Adana,2024-12-21,5,,Kum,English,Saturday
3,KAÇKAR GÜZELİ KG K DB,4y a k,TURBO,"52,5",E.ATLAMAZ AP,MEHMET TURNA,﻿Adana,2024-12-21,5,,Kum,English,Saturday
4,KUKİTAY KG K DB,4y d k,BABA MEVLÜT,"52,5 +2.00",M.ALİ AKGÖBEK AP,KEMAL YAKUP ALTIN,﻿Adana,2024-12-21,5,,Kum,English,Saturday
5,MİR SILASI SKG SK,4y d k,SERHANTAY,"60,5",F.ÇETİNBAŞ AP,ABDULKADİR AKIL,﻿Adana,2024-12-21,5,,Kum,English,Saturday
6,ILGAZHATUN DB SKG SK,4y k k,TURBO,"56,5 +0.50",E.ÇANKAYA,REŞAT GÜMÜŞ,﻿Adana,2024-12-21,5,,Kum,English,Saturday
7,GÖKÇEKURT SKG SK,4y d k,KURTEL,59,F.S.M.SANSAR AP,BEŞİR KAYA,﻿Adana,2024-12-21,5,,Kum,English,Saturday
8,SARPHAN KG,4y a  a,BERKSOY,50 +2.00,M.BAYIR,A.FİRUZHAN KANATLI,﻿Adana,2024-12-21,5,,Kum,English,Saturday
1.)440.000 TL,2.)176.000 TL,3.)88.000 TL,4.)44.000 TL,1.)126.500 TL,2.)50.600 TL,3.)25.300 TL,﻿Adana,2024-12-21,6,,Kum,English,Saturday
1,GÖLGENİN GÜCÜ K DB SKG,3y d  e,SAADIN GÜCÜ,57,M.AKYAVUZ,SERKAN ÜLGEN,﻿Adana,2024-12-21,6,,Kum,English,Saturday
2,BİRÇETİN KG K,3y k  e,SAADIN GÜCÜ,57,A.KURŞUN,METİN KORUCU,﻿Adana,2024-12-21,6,,Kum,English,Saturday
3,ABBAS BEY KG K DB,3y k  e,UÇANOĞLU,57,MÜS.ÇELİK,ÖMER BİLİR,﻿Adana,2024-12-21,6,,Kum,English,Saturday
4,ÖZGÜR RUH KG DB SK,3y k  e,TURBO,57 +0.20,E.ÇANKAYA,MURATCAN KANAR,﻿Adana,2024-12-21,6,,Kum,English,Saturday
5,YEMEN RÜZGARI KG DB SK ÖG,3y k  e,TAMERİNOĞLU,57,A.ÇELİK,METİN KORUCU,﻿Adana,2024-12-21,6,,Kum,English,Saturday
6,KOÇ ABİ KG K,3y a  e,ATOMKARINCA,57,H.ÇİZİK,CEREN SUBAŞI,﻿Adana,2024-12-21,6,,Kum,English,Saturday
7,AKGOLD DATÇA KG SK,3y k  e,AKARÇAY,57,F.ÇETİNBAŞ AP,MEHMET EMİN AKBALIK,﻿Adana,2024-12-21,6,,Kum,English,Saturday
1.)240.000 TL,2.)96.000 TL,3.)48.000 TL,4.)24.000 TL,1.)41.400 TL,2.)16.560 TL,3.)8.280 TL,﻿Adana,2024-12-21,7,,Kum,English,Saturday
1,NİRENGİ DB,4y d k,EMBİR HAN,61,F.ÇETİN,TAYRAL TUTUMLU,﻿Adana,2024-12-21,7,,Kum,English,Saturday
2,ŞİRİNMİŞİRİN,7y a k,UÇANBEY,61 +0.20,K.YİĞİT,MEHMET CANLIKA,﻿Adana,2024-12-21,7,,Kum,English,Saturday
3,GAYECAN SKG SK,4y k k,TÜMÖZ BEY,58 +0.20,B.OKANDE,AYDIN TEKİN,﻿Adana,2024-12-21,7,,Kum,English,Saturday
4,PRENSES DİLARA KG K,4y k k,BERKCAN,61,M.ALİ AKGÖBEK,FAİK AY,﻿Adana,2024-12-21,7,,Kum,English,Saturday
5,REMİLİKIZ SKG SK,9y k k,GOBAKBEY,59,Ö.ORDU,MUSTAFA KAPLAN,﻿Adana,2024-12-21,7,,Kum,English,Saturday
6,GÖL LALEM KG DB SK GKR,4y a k,SAKARBAŞI,61,E.ATLAMAZ,RAMAZAN KOCAAĞAÇ,﻿Adana,2024-12-21,7,,Kum,English,Saturday
7,NESLİNUR,6y a k,ORÇUN,59,Ç.CANPOLAT,MEHMET DEMİRKAPI,﻿Adana,2024-12-21,7,,Kum,English,Saturday
1.)192.000 TL,2.)76.800 TL,3.)38.400 TL,4.)19.200 TL,1.)55.200 TL,2.)22.080 TL,3.)11.040 TL,﻿Adana,2024-12-21,8,,Kum,English,Saturday
1,MY BULLDOZER KG DB SK,2y d  e,TRAPPE SHOT (USA),"54,5 +1.10",A.ÇELİK,SENEM GÖZEL,﻿Adana,2024-12-21,8,,Kum,English,Saturday
2,TALENTED SOUL KG SK,2y d  e,LION HEART (USA),"57,5",F.S.M.SANSAR AP,HALUK CANÇEKER,﻿Adana,2024-12-21,8,,Kum,English,Saturday
3,EKSELANSS K DB SKG,2y d  e,HAKEEM (USA),59 +0.20,H.ÇİZİK,ABDURRAHMAN BADILLI,﻿Adana,2024-12-21,8,,Kum,English,Saturday
4,LUPELYAN DB SK,2y d  e,APPROVE (IRE),"55,5",MÜS.ÇELİK,CİHAT GÜROĞLU,﻿Adana,2024-12-21,8,,Kum,English,Saturday
5,SUNDANCE DB SKG SK,2y d  e,HAKEEM (USA),58,M.A.SOLMAZ,AHMET CEMİL BURHANLIOĞLU,﻿Adana,2024-12-21,8,,Kum,English,Saturday
