horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)50.500 TL,2.)20.200 TL,3.)10.100 TL,4.)5.050 TL,1.)11.615 TL,2.)4.646 TL,3.)2.323 TL,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
1,GUARDIAN KG DB SK,3y a  e,LION HEART (USA),58,B.BEKTAŞ,M.HANEFİ ŞAHİN,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
2,DARABİSMARA DB SK,3y d  e,TALIP HAN (IRE),62,N.ALTIN,AYDIN AYDOĞDU,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
3,EVİN KG DB SK,3y a  d,BALLIKAYA,54 +1.70,F.ÇETİNBAŞ AP,ÜMİT GÜNBAY,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
4,QUEEN EXPECTO KG SK,3y d  d,KING OF TRAKYA,56 +1.10,M.DOĞAN,ÜMİT NAZ GÜMÜŞEL,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
5,ICEMAN SK,3y a  g,THREE VALLEYS (USA),58 +1.50,V.KIZMAZ,KADRİ FELHAN,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
6,FREEBOY JOSEPH KG DB SK,3y a  e,KULOĞLU,56 +0.20,İ.KATAR AP,EMİN TURAN,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
7,WINWIN KG K GKR,3y a  e,SIDNEY`S CANDY (USA),58,S.KAPLAN,NİHAT TURAN,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
8,HÜRKAN K,3y a  e,LUXOR,56 +0.30,Y.CENGİZ AP,MURAT BAYAR,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
9,FU HAO ASIA KG SK,3y a  d,GENERAL QUARTERS (USA),56 +0.80,M.AVŞAR,MAHMUT KARAOĞLAN,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
10,DİJU KG SK,3y d  d,ÇAĞANTERCAN,52,M.ŞAKİR AP,REŞİT DEMİR,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
11,BLUE HEART DB SKG SK,3y d  e,PRESSING (IRE),58,İ.AKYAVUZ,HASAN KOÇYİĞİT,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
12,KARİZMATİK BEY DB SK,3y d  e,MEHMET BORA,56,M.E.DOĞAN AP,SİNAN KILINÇ,﻿Şanlıurfa,2022-06-13,1,,Kum,English,Monday
