horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)140.000 TL,2.)56.000 TL,3.)28.000 TL,4.)14.000 TL,1.)24.150 TL,2.)9.660 TL,3.)4.830 TL,﻿İstanbul,2023-08-18,1,,,English,Friday
1,SPHENDONE KG SK,3y d  e,NATIVE KHAN (FR),61,A.KURŞUN,V.HAKAN KELEŞ,﻿İstanbul,2023-08-18,1,,,English,Friday
2,CATANZARO KG DB SK,3y a  e,GRAYSTORM,"58,5",M.KIYAK AP,MUSTAFA ÖZYAZICI,﻿İstanbul,2023-08-18,1,,,English,Friday
3,ELDORET KG SK,3y a  e,PLEASANTLY PERFECT (USA),"57,5",G.YILDIZ,KAZİM KARTAL,﻿İstanbul,2023-08-18,1,,,English,Friday
4,FEFETUKA K,3y d  d,HALICARNASSUS (IRE),"51,5 +2.00",E.AKTUĞ,BÜLENT TAŞÇI,﻿İstanbul,2023-08-18,1,,,English,Friday
5,NİKOLASMATİ DB SK,3y a  e,VICTORY GALLOP (CAN),50 +2.00,M.KESKİN,RODA BARLIK,﻿İstanbul,2023-08-18,1,,,English,Friday
6,GÜMÜŞHANELİ KG SK,3y a  e,KANEKO,"51,5 +2.00",G.ÖZÇELİK,MASİS MARKARYAN,﻿İstanbul,2023-08-18,1,,,English,Friday
7,COMO ESTAS SK,3y d  e,PAPA CLEM (USA),55 +1.00,Ö.YILDIRIM,HALUK VEFA ERSÖZ,﻿İstanbul,2023-08-18,1,,,English,Friday
8,ZAGORA BİANKA DB,3y d  e,VICTORY GALLOP (CAN),"56,5",A.ASLAN,FEDAİ KAHRAMAN,﻿İstanbul,2023-08-18,1,,,English,Friday
1.)160.000 TL,2.)64.000 TL,3.)32.000 TL,4.)16.000 TL,1.)46.000 TL,2.)18.400 TL,3.)9.200 TL,﻿İstanbul,2023-08-18,2,,Çim,English,Friday
1,NATIVE CYRSTAL,2y d  d,NATIVE KHAN (FR),57,A.SÖZEN,V.İBRAHİM ARACI,﻿İstanbul,2023-08-18,2,,Çim,English,Friday
2,BLUE SHARK,2y d  d,MENDIP (USA),57,E.AKTUĞ,VOLKAN YONCAAĞAÇ,﻿İstanbul,2023-08-18,2,,Çim,English,Friday
3,ÇAKAL GIRLS,2y d  d,ÇAKAL CARLOS,57,VED.ABİŞ,BARAN D. CEMİLOĞLU,﻿İstanbul,2023-08-18,2,,Çim,English,Friday
4,DEVOTED DREAM K,2y d  d,TRAPPE SHOT (USA),57,A.KURŞUN,VEHPİ GÜZELOCAK,﻿İstanbul,2023-08-18,2,,Çim,English,Friday
5,MAGNIFICA KG K,2y d  d,TRAPPE SHOT (USA),57,G.ÖZÇELİK,REHA BAŞOĞLU,﻿İstanbul,2023-08-18,2,,Çim,English,Friday
6,GRAY GYPSY K (Koşmaz),2y k  d,GRAYSTORM,57,M.KESKİN,AHMET GÜZELOCAK,﻿İstanbul,2023-08-18,2,,Çim,English,Friday
7,MY DEAR BABY (Koşmaz),2y d  d,TIZWAY (USA),57,KAD.ÇELİK AP,ERHAN ALVEROĞLU,﻿İstanbul,2023-08-18,2,,Çim,English,Friday
8,SUMEL KIZI K (Koşmaz),2y k  d,GRAYSTORM,57,H.ÇİZİK,CUMA POLAT,﻿İstanbul,2023-08-18,2,,Çim,English,Friday
1.)118.500 TL,2.)47.400 TL,3.)23.700 TL,4.)11.850 TL,1.)20.441 TL,2.)8.177 TL,3.)4.088 TL,﻿İstanbul,2023-08-18,3,,,English,Friday
1,MAHİR ABİ KG K,4y a  a,KAIZBERT (RU),56 +0.60,S.BOYRAZ,MAHİR TEKİNALP,﻿İstanbul,2023-08-18,3,,,English,Friday
2,DEMİRER KG,4y a  a,ÖZHABER,58,G.ÖZÇELİK,T. İZZET AKSOY,﻿İstanbul,2023-08-18,3,,,English,Friday
