horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)42.500 TL,2.)17.000 TL,3.)8.500 TL,4.)4.250 TL,1.)12.219 TL,2.)4.888 TL,3.)2.444 TL,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
1,GOLDEN CORINTH KG K,2y a  d,CORINTHIAN (USA),55,N.AVCİ,ALP Ş. EVCİMEN,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
2,SİYAHGÖZ DB ÖG,2y d  e,WIENER WALZER (GER),57,MER.ÇELİK,ADEM ERDÖLEK,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
3,ÇERKEZ BEY KG DB SK,2y a  e,WHOS NEXT,57 +0.40,S.ÖZEN,BURHAN ŞEN,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
4,BE STRONG KG DB SK,2y d  e,SCARFACE,55,G.ÖZÇELİK AP,NACİ GİRŞEN,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
5,MONTBELIARD SKG SK,2y a  e,YES OF AFRIKA,52 +1.00,C.PASO AP,HASAN ALTUNDAĞ,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
6,LEMON FLOWER KG K DB,2y d  d,DUTYFREE,55 +0.20,MUH.OK AP,ALP Ş. EVCİMEN,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
7,SARUMAN KG,2y a  e,SERHAS,55,D.PALAUR,CUMALİ KAAN ŞAHİN,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
8,WHITE CORINTH K,2y k  d,CORINTHIAN (USA),55 +0.10,A.KÜRÜNDÜK,ALP Ş. EVCİMEN,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
9,GÖREV ADAMI KG,2y d  e,BANDiERO,51,M.B.ÖNCEL AP,HASAN ALTUNDAĞ,﻿İzmir,2021-12-23,1,,Kum,English,Thursday
1.)60.000 TL,2.)24.000 TL,3.)12.000 TL,4.)6.000 TL,1.)17.250 TL,2.)6.900 TL,3.)3.450 TL,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
1,FOREVER JUSTEN SKG SK,2y d  d,JUSTENUFFHUMOR (USA),57,N.AVCİ,ALP Ş. EVCİMEN,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
2,ZIMA BLUE DB SK,2y a  d,WIN RIVER WIN (USA),59,G.ÖZÇELİK AP,SENEM GÖZEL,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
3,GADEMBU KG K DB,2y d  d,AKINDAYIM (IRE),57,A.SÖZEN,MEHMET GÜRDAL,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
4,MISS DEMET,2y d  d,CAPTAIN RIO (GB),57,Ö.YILDIRIM,ZEKİ ÇELİK,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
5,MEMENTO KG DB SK,2y k  d,DEHA,57 +0.20,A.KÜRÜNDÜK,TAYRAL TUTUMLU,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
6,ARYA KUŞ,2y d  d,WIN RIVER WIN (USA),57,S.BOYRAZ,ERGÜN OKYAR,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
7,DYNATRON K DB,2y d  d,KANEKO,57 +0.40,S.ÖZEN,SALİH YUNGA,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
8,GİRİSKİN KG SK,2y d  d,RENK,53 +1.70,M.AKIN AP,UĞUR ALTUNBAŞ,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
9,FRANCİENE SK,2y a  d,THREE VALLEYS (USA),57,D.PALAUR,CENK HÜNER,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
10,EDAM NAZIM KG DB SK,2y d  d,CORINTHIAN (USA),54 +1.20,MUH.OK AP,HAKAN BAYRAKLI,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
11,TIME RUNNER KG K,2y d  d,CORINTHIAN (USA),53 +0.30,C.PASO AP,OĞUZ İKEN,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
12,SUPER CAT KG SK,2y d  d,SMART ROBIN (JPN),57,B.M.MIRIK,MUSTAFA AKGÜN,﻿İzmir,2021-12-23,2,,Kum,English,Thursday
1.)77.000 TL,2.)30.800 TL,3.)15.400 TL,4.)7.700 TL,1.)17.710 TL,2.)7.084 TL,3.)3.542 TL,﻿İzmir,2021-12-23,3,,Kum,English,Thursday
1,VANLIMAHO KG DB,8y k  a,ŞANSÜR,61,MUH.OK AP,ŞAHNUR KARACA,﻿İzmir,2021-12-23,3,,Kum,English,Thursday
