horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)68.000 TL,2.)27.200 TL,3.)13.600 TL,4.)6.800 TL,1.)15.640 TL,2.)6.256 TL,3.)3.128 TL,﻿Antalya,2022-01-19,1,,Kum,English,Wednesday
1,JAMMY JUSTEN KG K,3y d  d,JUSTENUFFHUMOR (USA),56 +0.60,A.ÇELİK,ALP Ş. EVCİMEN,﻿Antalya,2022-01-19,1,,Kum,English,Wednesday
2,SULTAN GELİN,3y d  d,TOROK (IRE),56 +2.00,M.KAYA,EMİNE KAYA,﻿Antalya,2022-01-19,1,,Kum,English,Wednesday
3,LEMON FLOWER KG K DB,3y d  d,DUTYFREE,52 +0.50,H.YOLAÇICI AP,ALP Ş. EVCİMEN,﻿Antalya,2022-01-19,1,,Kum,English,Wednesday
4,NAİF KG DB,3y a  e,TALIP HAN (IRE),58 +0.20,O.ÖZTÜRK,A.RAİF ÖZET,﻿Antalya,2022-01-19,1,,Kum,English,Wednesday
5,ENDLESS BREATH KG K DB,3y d  d,FLY BY ME,56,C.TEPE,ÇETİN ALTIN,﻿Antalya,2022-01-19,1,,Kum,English,Wednesday
6,WHITE CORINTH K,3y k  d,CORINTHIAN (USA),56,A.KÜRÜNDÜK,ALP Ş. EVCİMEN,﻿Antalya,2022-01-19,1,,Kum,English,Wednesday
7,BAVER KIZI DB,3y d  d,KISS OF STEPS,56,E.TUNÇ,MEHMET UÇAR,﻿Antalya,2022-01-19,1,,Kum,English,Wednesday
8,TORUN YAVUZ KG,3y a  e,THREE VALLEYS (USA),54,C.ALTUN AP,SÜLEYMAN ASLAN,﻿Antalya,2022-01-19,1,,Kum,English,Wednesday
1.)87.500 TL,2.)35.000 TL,3.)17.500 TL,4.)8.750 TL,1.)20.125 TL,2.)8.050 TL,3.)4.025 TL,﻿Antalya,2022-01-19,2,,Kum,English,Wednesday
1,BAY ARTU KG K,4y d  a,LION HEART (USA),56,G.KOCAKAYA,KADRİYE VATANSEVER,﻿Antalya,2022-01-19,2,,Kum,English,Wednesday
2,DEMENTED KG SK,4y d  a,LION HEART (USA),50 +2.00,A.KÜRÜNDÜK,ÖZGÜR DEMİR,﻿Antalya,2022-01-19,2,,Kum,English,Wednesday
