horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)108.000 TL,2.)43.200 TL,3.)21.600 TL,4.)10.800 TL,1.)31.050 TL,2.)12.420 TL,3.)6.210 TL,﻿Adana,2023-06-18,1,,Çim,English,Sunday
1,GÖKHAN CAN KG SK,3y k  e,JOKER,57,İ.AKYAVUZ,MUSTAFA ÖGE,﻿Adana,2023-06-18,1,,Çim,English,Sunday
2,MIDIKA KG K DB,3y a  d,KAIZBERT (RU),53 +1.40,N.DEMİR AP,ALİ RIZA KÖSEALİ,﻿Adana,2023-06-18,1,,Çim,English,Sunday
3,SİVASLI GELİN DB SK,3y k  d,SULTAN DE FAUST (FR),54 +1.40,A.AKDEMİR AP,MEHMET CAMUZ,﻿Adana,2023-06-18,1,,Çim,English,Sunday
4,SABIRLI EFE KG K,3y d  e,SARRAF,57 +0.30,İ.KATAR,ALİ POLAT,﻿Adana,2023-06-18,1,,Çim,English,Sunday
5,TAŞKIN YÜREK KG,3y k  e,EMBİR HAN,57,E.SİNCAN,SELİN ÜLKÜ YÜKSEL,﻿Adana,2023-06-18,1,,Çim,English,Sunday
6,MESHUT KG DB SK,3y a  e,DERHADIR,57,F.YARDIMCI,MEHMET DİLBER,﻿Adana,2023-06-18,1,,Çim,English,Sunday
7,ADA KIZ DB SKG SK,3y d  d,SARRAF,54 +1.70,F.ÇETİNBAŞ AP,FEHMİ İLERİ,﻿Adana,2023-06-18,1,,Çim,English,Sunday
8,HİRAMAR SKG SK,3y a  d,SARRAF,52 +2.00,SER.YILDIZ AP,YUSUF ÇETİN,﻿Adana,2023-06-18,1,,Çim,English,Sunday
9,İMTİHAN KG DB SK,3y a  e,BERKCAN,53,M.ŞAKİR AP,ALİ GÖZKEMAL,﻿Adana,2023-06-18,1,,Çim,English,Sunday
10,YEDİKULE DB,3y a  e,KURTEL,55 +2.00,A.ÇANKAYA AP,ÖMER POLAT,﻿Adana,2023-06-18,1,,Çim,English,Sunday
11,MISS BELLA DB,3y a  d,URLA EFESİ,55 +0.60,M.G.ARSLAN,MEHMET DİLBER,﻿Adana,2023-06-18,1,,Çim,English,Sunday
12,GOBAK HATUN KG K,3y k  d,ŞİMŞEĞİNOĞLU,55 +0.20,N.ALTIN,HASAN KOÇYİĞİT,﻿Adana,2023-06-18,1,,Çim,English,Sunday
1.)96.500 TL,2.)38.600 TL,3.)19.300 TL,4.)9.650 TL,1.)16.646 TL,2.)6.659 TL,3.)3.329 TL,﻿Adana,2023-06-18,2,,Kum,English,Sunday
1,WICTORY DROP DB SKG SK,3y d  e,PAPA CLEM (USA),61,F.YARDIMCI,BAĞNU EĞİLLİ,﻿Adana,2023-06-18,2,,Kum,English,Sunday
2,SURUÇ AĞASI KG DB SK,3y a  e,GÜNGÖR BABA,56,M.KESKİN,FUAT ALBAYRAK,﻿Adana,2023-06-18,2,,Kum,English,Sunday
