horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)240.000 TL,2.)96.000 TL,3.)48.000 TL,4.)24.000 TL,1.)69.000 TL,2.)27.600 TL,3.)13.800 TL,﻿İstanbul,2024-09-15,1,,,English,Sunday
1,BLAZE OF HONOUR KG K,2y d  d,SHALAA (IRE),57,VEDAT ABİŞ,KEMAL AYDIN ONUR,﻿İstanbul,2024-09-15,1,,,English,Sunday
2,LA SPEZIA SK,2y a  d,GRAYSTORM,57,E.AKTUĞ,MURAT ERKAN,﻿İstanbul,2024-09-15,1,,,English,Sunday
3,HAND ON MY HEART KG DB,2y d  d,STREET BOSS (USA),57,A.SÖZEN,NİMET ARİF KURTEL,﻿İstanbul,2024-09-15,1,,,English,Sunday
4,NICE SMELL KG K,2y a  d,VICTORY GALLOP (CAN),57 +0.70,M.KAYA,ONUR SUMEL,﻿İstanbul,2024-09-15,1,,,English,Sunday
5,MEANING OF LIFE DB,2y d  d,NOT THIS TIME (USA),57,Ö.YILDIRIM,NİMET ARİF KURTEL,﻿İstanbul,2024-09-15,1,,,English,Sunday
6,NAME OF SPEED DB SKG SK,2y d  d,AUTHORIZED (IRE),57,A.YILDIZ,ŞAHAP GÜRE,﻿İstanbul,2024-09-15,1,,,English,Sunday
7,TAKDİR SK,2y k  d,APPROVE (IRE),57,G.KOCAKAYA,NECATİ DEMİRKOL,﻿İstanbul,2024-09-15,1,,,English,Sunday
8,EFİL ESEN K DB,2y d  d,KINOWA,57,A.ASLAN,Ö.ŞAHİN EĞİLLİ,﻿İstanbul,2024-09-15,1,,,English,Sunday
9,QUEEN REDAMANCY K DB,2y d  d,APPROVE (IRE),57,MER.ÇELİK,HASAN TARIK ŞEKER,﻿İstanbul,2024-09-15,1,,,English,Sunday
10,MİHRİAY KG DB SK,2y d  d,TOROK (IRE),57,N.AVCİ,REŞAT ÖZ,﻿İstanbul,2024-09-15,1,,,English,Sunday
11,LADY FAIRY KG SK (Koşmaz),2y d  d,INVINCIBLE SON (IRE),54,B.ÇIĞLA AP,CEM NARİN,﻿İstanbul,2024-09-15,1,,,English,Sunday
1.)236.500 TL,2.)94.600 TL,3.)47.300 TL,4.)23.650 TL,1.)40.796 TL,2.)16.319 TL,3.)8.159 TL,﻿İstanbul,2024-09-15,2,,,English,Sunday
1,BÜYÜK GÜNTAY,4y k  a,GÜNTAY,58,E.AKTUĞ,Ş.ŞERİF SARAÇOĞLU,﻿İstanbul,2024-09-15,2,,,English,Sunday
2,AĞA TURBO KG,5y a  a,TURBO,60,M.KAYA,TARKAN H. ONAR,﻿İstanbul,2024-09-15,2,,,English,Sunday
3,ALTIN SAAD KG SK,4y a  a,SAADIN GÜCÜ,51 +2.00,U.LEVENT AP,MEHMET ÇAVUŞ,﻿İstanbul,2024-09-15,2,,,English,Sunday
4,GÜLAĞA KG DB SK,6y k  a,JOKER,58,A.ÇELİK,DİDEM ÖZBEK,﻿İstanbul,2024-09-15,2,,,English,Sunday
5,KRALBATUR KG DB,4y a  a,UÇANBEY,58 +0.20,S.BOYRAZ,M.SALİH KAÇMAZ,﻿İstanbul,2024-09-15,2,,,English,Sunday
6,BAŞ ALP KG DB SK,5y d  a,BABA MEVLÜT,62,MER.ÇELİK,CÜNEYT BAŞ,﻿İstanbul,2024-09-15,2,,,English,Sunday
7,AKKULA KG,10y k  a,TURBO,62,G.KOCAKAYA,SONER SÖKMEN,﻿İstanbul,2024-09-15,2,,,English,Sunday
8,COOL FARUK KG SK,4y a  a,UÇANBEY,60,A.YILDIZ,FARUK ATEŞ,﻿İstanbul,2024-09-15,2,,,English,Sunday
9,GUBAZ SKG SK,8y a  a,TURBO,60,A.SÖZEN,COŞKUN GÖZLER,﻿İstanbul,2024-09-15,2,,,English,Sunday
10,EGETAY KG DB GKR,6y k  a,ALTAHA,57,İ.S.SÖĞÜT AP,BAHADIR YEŞİL,﻿İstanbul,2024-09-15,2,,,English,Sunday
11,ONATKUT KG DB SK,5y a  a,ONURKAAN,60,HAK.YILDIZ,GÖRKEM GEDİKOĞLU,﻿İstanbul,2024-09-15,2,,,English,Sunday
1.)240.000 TL,2.)96.000 TL,3.)48.000 TL,4.)24.000 TL,1.)69.000 TL,2.)27.600 TL,3.)13.800 TL,﻿İstanbul,2024-09-15,3,,,English,Sunday
1,ARNAVUT KIZ K,2y d  d,TOROK (IRE),57,MÜS.ÇELİK,ALİ TAHİR VARUŞ,﻿İstanbul,2024-09-15,3,,,English,Sunday
