horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)80.500 TL,2.)32.200 TL,3.)16.100 TL,4.)8.050 TL,1.)13.886 TL,2.)5.555 TL,3.)2.777 TL,﻿Ankara,2021-09-16,1,,Çim,English,Thursday
1,UÇAN FİL KG DB SK,5y d  g,KANEKO,58,A.SÖZEN,M.LEVENT TOPSAKAL,﻿Ankara,2021-09-16,1,,Çim,English,Thursday
2,HUNTING,4y d  a,JUSTENUFFHUMOR (USA),56,Ö.YILDIRIM,MURAT CAVCAV,﻿Ankara,2021-09-16,1,,Çim,English,Thursday
3,NARTHAN BEY,4y d  a,HALICARNASSUS (IRE),56 +0.70,V.DEMİR,MEHMET MERT,﻿Ankara,2021-09-16,1,,Çim,English,Thursday
4,BAY BAY HEPİNİZ DB SK,4y d  a,PERFECTO,60,E.SİNCAN,ABDULKADİR DURMAZ,﻿Ankara,2021-09-16,1,,Çim,English,Thursday
1.)80.500 TL,2.)32.200 TL,3.)16.100 TL,4.)8.050 TL,1.)13.886 TL,2.)5.555 TL,3.)2.777 TL,﻿Ankara,2021-09-16,2,,Kum,English,Thursday
1,OSMAN BEY SKG SK,3y a  e,BOSPORUS (IRE),58,M.G.ARSLAN AP,EREN ÖZBÜK,﻿Ankara,2021-09-16,2,,Kum,English,Thursday
2,THE RED SONYA KG DB SK,3y a  d,RED GIANT (USA),56,E.ÇANKAYA AP,HAKAN GÜRSES,﻿Ankara,2021-09-16,2,,Kum,English,Thursday
3,LONG FIELD KG DB,3y d  e,EXPANSION (USA),58,Ö.YILDIRIM,MEHMET MERT,﻿Ankara,2021-09-16,2,,Kum,English,Thursday
4,LION CHILD KG DB SK,3y d  g,SMART ROBIN (JPN),55,M.KESKİN,AHMET ÖZKAN,﻿Ankara,2021-09-16,2,,Kum,English,Thursday
5,NEW SECRET K DB,3y a  d,LION HEART (USA),54,M.A.SOLMAZ,FERHAN YETİŞ,﻿Ankara,2021-09-16,2,,Kum,English,Thursday
