horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)41.500 TL,2.)16.600 TL,3.)8.300 TL,4.)4.150 TL,1.)7.159 TL,2.)2.864 TL,3.)1.432 TL,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
1,NALDÖKENLİ KG SK,4y a  a,KAIZBERT (RU),55 +1.40,K.TOKAÇOĞLU,MEHMET ARICI,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
2,FRENKLİ EFESİ DB,4y k  a,JOKER,55 +0.80,F.KABADAYI AP,BÜLENT AKBÖRÜ,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
3,ALİBEY KG DB SK GKR,4y k  a,USTA,58,M.M.BİLGİN,CELANİ YILDIRIM,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
4,ÜNLÜYAR KG,4y d k,ÖZGÜNHAN,53 +0.30,N.AVCİ,İSMET ARSLANCA,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
5,ASLANIM KG GKR,4y a  a,SARRAF,58,MER.ÇELİK,ERKAN BAL,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
6,ŞEKER TURBO KG DB SK,4y a  a,TURBO,57,A.YILDIZ AP,REYHAN ŞEKER,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
7,KOCA DAĞ KG SK,4y k k,TURBO,59,S.ÖZEN,GÜNSEN SOYUPAK,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
8,ALTAYLI KG SK (Koşmaz),4y k  a,TURBO,61,M.ÇİÇEK,GÜRHAN Ş. ÖZBELGE,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
9,MESTAN AĞA KG SK (Koşmaz),4y k  a,UFUKBİR,55,A.KÜRÜNDÜK,ARİF ÇELİK,﻿İzmir,2022-04-14,1,,Kum,English,Thursday
1.)77.000 TL,2.)30.800 TL,3.)15.400 TL,4.)7.700 TL,1.)13.283 TL,2.)5.313 TL,3.)2.657 TL,﻿İzmir,2022-04-14,2,,Kum,English,Thursday
1,KING AJAX KG SK,3y d  e,TOCCET (USA),55 +0.20,GÖKH.GÖKÇE,AHMET BAGUÇ,﻿İzmir,2022-04-14,2,,Kum,English,Thursday
2,CASH IS KING KG DB SK,3y d  e,LILBOURNE LAD (IRE),58,M.KAYA,AHMET ALABAY,﻿İzmir,2022-04-14,2,,Kum,English,Thursday
3,MAYBE MOR KG DB SK,3y d  e,BARUDİ,58,MER.ÇELİK,ALİ ÖREN,﻿İzmir,2022-04-14,2,,Kum,English,Thursday
4,SO SO CRAZY KG K DB,3y d  d,SPEEDY WOLF,59,M.ÇİÇEK,YAŞAR GÖLBAŞ,﻿İzmir,2022-04-14,2,,Kum,English,Thursday
5,TESTIFY DB,3y a  e,THREE VALLEYS (USA),55 +0.50,M.M.BİLGİN,EGE RAMAZAN KURU,﻿İzmir,2022-04-14,2,,Kum,English,Thursday
6,SERAZA DB SKG SK,3y d  d,MENDIP (USA),52 +0.80,N.AVCİ,K.FIRAT DANIŞOĞLU,﻿İzmir,2022-04-14,2,,Kum,English,Thursday
1.)77.000 TL,2.)30.800 TL,3.)15.400 TL,4.)7.700 TL,1.)13.283 TL,2.)5.313 TL,3.)2.657 TL,﻿İzmir,2022-04-14,3,,Kum,English,Thursday
