horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)50.500 TL,2.)20.200 TL,3.)10.100 TL,4.)5.050 TL,1.)14.519 TL,2.)5.808 TL,3.)2.904 TL,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
1,KATIOĞLU KG K,3y d  e,SARRAF,55,M.E.DOĞAN AP,MUSTAFA KATI,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
2,UFUKBEY KG K,3y k  e,UFUKBİR,55,E.AKKILIÇ AP,M.MELİH KILIÇ,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
3,TANZER KG SK,3y k  e,BATURŞAH,55 +1.50,İ.KATAR AP,HÜSEYİN BECENE,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
4,ÖZDEĞER KG K,3y a  e,TÜMÖZ BEY,57 +1.60,V.KIZMAZ,MUHAMMED GÜNDÜZ,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
5,FATMA KIZ DB SKG SK,3y k  d,SAKARBAŞI,53 +2.00,S.ULUTAŞ AP,MAHMUT KARAOĞLAN,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
6,KİYRA SKG SK,3y a  d,UÇBEYİ,53 +2.00,H.SARIDAL AP,FATMA KAN,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
7,SARRAF HATI KG K,3y d  e,SARRAF,57 +1.30,M.ÜNLÜ,BEKİR ÜNLÜ,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
8,DEMİRHAT KG DB SK,3y k  e,EFEM,53 +0.20,M.ŞAKİR AP,SUPHİ AKPİRİNÇ,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
9,YAĞMURHAT KG K DB,3y k  d,SON MARTI,51 +2.00,S.ALTAY AP,MAHMUT YARDIMCI,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
10,ŞAHİN KIZI KG,3y a  d,BAYHAN,55 +2.00,F.YARDIMCI,SİNAN KORKMAZ,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
11,REMZİYE KIZI KG K,3y a  d,BAYHAN,55,N.ALTIN,MAHMUT KARAKEÇİLİ,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
12,MEMİŞ BEY KG K,3y k  e,EFEM,55 +1.10,H.ALTUNDAĞ AP,MUSTAFA ÇEÇAN,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
13,GÜLBAHAR KIZI K,3y k  d,SON MARTI,53 +1.20,Y.ÇELİKBAŞ AP,MEHMET ÖZKAN,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
14,BİNDEBAK KG SK,3y a  d,SARRAF,55 +2.00,M.AVŞAR,CEVHER KORKMAZ,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
15,TUMBUL FADİME KG K,3y a  d,ŞİMŞEĞİNOĞLU,55 +1.80,M.IŞIK AP,DEHAM TUMBUL,﻿Şanlıurfa,2022-05-09,1,,Kum,English,Monday
1.)45.500 TL,2.)18.200 TL,3.)9.100 TL,4.)4.550 TL,1.)7.849 TL,2.)3.140 TL,3.)1.570 TL,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
1,DEMİR BEREKET KG K,4y k  a,TURBO,55 +0.50,A.ŞENBAHAR AP,İBRAHİM HALİL KORKMAZ,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
2,OĞLUM TUNA KG K,4y a  a,BOLKAR,60,İ.AKYAVUZ,BEKİR AKYAVUZ,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
3,BABA YAGA KG K,4y a  a,ATİKBEY,56 +0.50,İ.KATAR AP,EMİN ÇELİK,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
4,YILMABABA KG SK,4y k  a,ŞİMŞEĞİNOĞLU,58 +0.10,M.AVŞAR,FETHİ ÇİZİK,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
5,UÇAN MUHTAR K,4y a  a,UÇARLIM,58 +0.60,V.KIZMAZ,ABDULKADİR ELĞAÇ,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
6,UÇAN HALİL KG,4y a  g,UÇANBEY,58,N.ALTIN,BİŞAR ÇELİK,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
7,BÜYÜK KAHRAMAN KG SK,4y k  a,ATİKBEY,57,M.IŞIK AP,RAMAZAN TUMBUL,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
8,ŞAHİNCAN SK,4y k  a,SON MARTI,58,F.YARDIMCI,ABDULKADİR AKDENİZ,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
9,SİYAHTAY KG,4y k k,BERKSOY,53 +0.60,E.AKKILIÇ AP,KADRİ FELHAN,﻿Şanlıurfa,2022-05-09,2,,Kum,English,Monday
1.)37.000 TL,2.)14.800 TL,3.)7.400 TL,4.)3.700 TL,1.)10.638 TL,2.)4.255 TL,3.)2.128 TL,﻿Şanlıurfa,2022-05-09,3,,Kum,English,Monday
1,BERISHA KG SK,2y d  e,SMART ROBIN (JPN),57,F.YARDIMCI,SELAMİ ÜNLÜ,﻿Şanlıurfa,2022-05-09,3,,Kum,English,Monday
2,İBOCAN KG SK,2y a  e,GÜNGÖR BABA,57,N.ALTIN,ETHEM KAPLAN,﻿Şanlıurfa,2022-05-09,3,,Kum,English,Monday
3,GECENİN EFENDİSİ KG SK,2y d  e,GÜNGÖR BABA,55 +2.00,M.AVŞAR,COŞKUN ŞİMŞEK,﻿Şanlıurfa,2022-05-09,3,,Kum,English,Monday
4,TURDEMİRKIR K,2y a  e,CAPTAIN RIO (GB),57 +0.10,S.KAPLAN,MAHMUT KARAKEÇİ,﻿Şanlıurfa,2022-05-09,3,,Kum,English,Monday
5,HIZLI ZELİŞ KG K,2y d  d,BOSPORUS (IRE),54 +1.50,A.ŞENBAHAR AP,HÜSEYİN BECENE,﻿Şanlıurfa,2022-05-09,3,,Kum,English,Monday
6,NARİN ÇİÇEK KG K,2y a  d,LION HEART (USA),54 +1.90,İ.KATAR AP,MEHMET AKDOĞAN,﻿Şanlıurfa,2022-05-09,3,,Kum,English,Monday
1.)50.500 TL,2.)20.200 TL,3.)10.100 TL,4.)5.050 TL,1.)14.519 TL,2.)5.808 TL,3.)2.904 TL,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
1,ŞİMEL KG K,3y k  d,BERKAY EFE,55 +1.70,M.IŞIK AP,MEHMET AKGÜNLÜ,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
2,ERTURAN KG SK,3y k  e,BATURŞAH,55 +1.20,İ.KATAR AP,AHMET ÇELİK,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
3,TUMBUL GÜNTAY KG SK,3y k  e,GÜNTAY,57,S.KAPLAN,REŞİT TUMBUL,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
4,BAYRAM BEY KG K DB,3y a  e,SAKARBAŞI,54 +1.60,A.ŞENBAHAR AP,CEVER KARAOĞLAN,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
5,MATADOR KG K GKR,3y k  d,UÇANOĞLU,55 +1.90,F.YARDIMCI,COŞKUN ŞİMŞEK,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
6,DEZİHAT KG K,3y a  d,BATURŞAH,55 +2.00,AH.ARSLAN,İLHAN GÜRLER,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
7,BAKIMLI KG SK,3y d  d,BABA MEVLÜT,55 +0.90,M.AVŞAR,HALİL YILDIZ,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
8,BAVERAĞA KG K,3y a  e,BERKSOY,57,İ.AKYAVUZ,ADİL YARDIMCI,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
9,BERKMEMO KG SK,3y a  e,BERKCAN,55 +0.20,E.AKKILIÇ AP,MUZAFFER KARAOĞLAN,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
10,TUMBUL KÜBRA DB SKG SK,3y a  d,ŞİMŞEĞİNOĞLU,53 +2.00,S.ULUTAŞ AP,BAKIR TUMBUL,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
11,SUEDA TAY KG DB SK,3y d  d,TAYCAN,51 +1.40,M.ŞAKİR AP,MUSTAFA ŞEFKAT,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
12,ASLANIMIN YAVRUSU KG,3y k  e,DELİFETO,57,N.ALTIN,REŞAT ARSLAN,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
13,DOĞRU KIZ KG,3y a  d,BAYHAN,51 +1.20,A.H.BAYAR AP,FETHİ POLAT,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
14,MÜJGAN KIZI KG K,3y d  d,SARRAF,54 +1.30,M.E.DOĞAN AP,MAHMUT KARAKEÇİLİ,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
15,DEHAYDİ KARLIGÜZEL KG SK,3y a  d,AKARÇAY,53 +1.20,Y.ÇELİKBAŞ AP,FERİT KÜÇÜKÇAY,﻿Şanlıurfa,2022-05-09,4,,Kum,English,Monday
1.)45.500 TL,2.)18.200 TL,3.)9.100 TL,4.)4.550 TL,1.)7.849 TL,2.)3.140 TL,3.)1.570 TL,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
1,CİNDERELLA KG,5y a k,ARASLI,56,N.ALTIN,HASAN KOÇYİĞİT,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
2,LEYLANUR KG K DB,6y a k,KIRIMHAN,56 +0.90,M.AVŞAR,ABDULLAH TEKİNALP,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
3,DEHİBE HANIM K SKG,7y k k,GOBAKBEY,59,M.IŞIK AP,RIDVAN TUMBUL,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
4,SAFİRA KG SK,6y a k,UÇANBEY,54,E.AKKILIÇ AP,KADRİ FELHAN,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
5,ASİL RÜZGAR DB,8y d k,ÖZHABER,56,İ.AKYAVUZ,FETHİ DOĞAN,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
6,ÇEKEÇEKE KG DB SK,5y a k,KAIZBERT (RU),54 +1.60,A.ŞENBAHAR AP,ŞEMSETTİN TOYDEMİR,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
7,KIRMIZIBAHÇE KG DB SK,6y a k,KAIZBERT (RU),54 +2.00,İ.KATAR AP,HAŞİM TINAS,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
8,KIFAN GÜLÜ KG,4y a k,ATİKBEY,53 +1.20,Y.ÇELİKBAŞ AP,MEHMET UÇAR,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
9,GÜL BAHARIM KG DB SK,4y k k,SON MARTI,58 +0.30,M.E.DOĞAN AP,MEHMET ÖZKAN,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
10,ENGEREK KG DB SK GKR,5y a k,KAIZBERT (RU),55,M.ŞAKİR AP,FEHMİ DEMİR,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
11,BADILLI RÜZGAR KG K DB,4y k k,MERT MELİH,58,S.KAPLAN,MUSTAFA KATI,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
12,BERFİN KIZI DB SKG SK,6y k k,ŞİMŞEĞİNOĞLU,59 +0.10,M.DOĞAN,SERDAR DOĞAN,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
13,HOŞGÜLHAT KG DB SK SGKR,5y a k,KIRIMHAN,54 +1.00,S.ULUTAŞ AP,ALİ ŞEŞEN,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
14,REMİLİKIZ SKG SK,7y k k,GOBAKBEY,59,F.YARDIMCI,MUSTAFA KAPLAN,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
15,ÇİNLİYAR DB SKG SK,4y k k,UÇANBEY,51 +1.20,A.H.BAYAR AP,MEHMET GÜMÜŞKOLAN,﻿Şanlıurfa,2022-05-09,5,,Kum,English,Monday
