horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)100.000 TL,2.)40.000 TL,3.)20.000 TL,4.)10.000 TL,1.)23.000 TL,2.)9.200 TL,3.)4.600 TL,﻿İstanbul,2022-04-22,1,,Çim,English,Friday
1,MANOIR DB,4y d  a,LUXOR,"56,5",S.BOYRAZ,AYŞE MERVE KİTAPÇI,﻿İstanbul,2022-04-22,1,,Çim,English,Friday
2,VILLAGER SONG DB,4y d  a,INVINCIBLE SON (IRE),60,E.AKTUĞ AP,DENİZ KURTEL,﻿İstanbul,2022-04-22,1,,Çim,English,Friday
3,JUST UNIQUE DB SK,4y d  a,INVINCIBLE SON (IRE),62,D.KAYA AP,AYŞEGÜL KURTEL,﻿İstanbul,2022-04-22,1,,Çim,English,Friday
4,RASHOMON SK,4y d  a,LION HEART (USA),51 +2.00,G.ÖZÇELİK,SANEM KAHRAMAN,﻿İstanbul,2022-04-22,1,,Çim,English,Friday
5,BLAZE TO VICTORY DB SKG SK,4y d  a,VICTORY GALLOP (CAN),61,G.KOCAKAYA,ENİS EMRE GELGİN,﻿İstanbul,2022-04-22,1,,Çim,English,Friday
6,JOSEPHINE,5y a k,LUXOR,"58,5",VEDAT ABİŞ,T. İZZET AKSOY,﻿İstanbul,2022-04-22,1,,Çim,English,Friday
7,BÖRÜ KG DB BB,6y d  a,ZANJERO (USA),52 +1.10,GÖK.BEKTAŞ,ARZU GÜNEŞ,﻿İstanbul,2022-04-22,1,,Çim,English,Friday
8,YAŞAMA SEVİNCİ K ÖG,5y a  a,WIN RIVER WIN (USA),59,MÜS.ÇELİK,ARSLAN AYBEK,﻿İstanbul,2022-04-22,1,,Çim,English,Friday
1.)75.000 TL,2.)30.000 TL,3.)15.000 TL,4.)7.500 TL,1.)21.563 TL,2.)8.625 TL,3.)4.313 TL,﻿İstanbul,2022-04-22,2,,,English,Friday
1,KADER YOLU KG K,3y a  d,SULTAN DE FAUST (FR),57 +1.00,M.KAYA,BEŞİR KAYA,﻿İstanbul,2022-04-22,2,,,English,Friday
2,EFSANENİN KIZI KG SK,3y a  d,KAFKASLIEFSANESİ,57,A.KAÇMAZ,KADRİYE KAYA,﻿İstanbul,2022-04-22,2,,,English,Friday
3,ÖZSEDA KG K,3y a  d,KAYA PINARLI,55 +0.40,D.KAYA AP,BEŞİR KAYA,﻿İstanbul,2022-04-22,2,,,English,Friday
4,ALTI YOL KG DB SK,3y k  d,ALMAATA,57,G.YILDIZ,AHMET KAYA,﻿İstanbul,2022-04-22,2,,,English,Friday
5,PRENSES MEGRİCAN KG SK,3y k  d,KOŞANEFE,55 +0.20,F.ARSLAN AP,MÜSLÜM KAN,﻿İstanbul,2022-04-22,2,,,English,Friday
6,AŞK VE SEDA K,3y a  d,SULTAN DE FAUST (FR),53 +0.50,M.KIYAK AP,BEŞİR KAYA,﻿İstanbul,2022-04-22,2,,,English,Friday
7,OKLAVA KG SK,3y a  d,ALMAATA,54,T.YILMAZ AP,KADRİYE KAYA,﻿İstanbul,2022-04-22,2,,,English,Friday
8,FİLKIZI KG K (Koşmaz),3y k  d,ALMAATA,53,H.GÜVEN AP,KADRİYE KAYA,﻿İstanbul,2022-04-22,2,,,English,Friday
9,PAZAR GÜZELİ KG K (Koşmaz),3y d  d,GÜRGÖKÇE,53,E.D.ÖKTEN AP,SALİH KAYA,﻿İstanbul,2022-04-22,2,,,English,Friday
10,YERGÜLÜ KG (Koşmaz),3y a  d,DELİ UĞUR,53,T.YILMAZ AP,İBRAHİM H. BEYAZŞAHİN,﻿İstanbul,2022-04-22,2,,,English,Friday
1.)60.000 TL,2.)24.000 TL,3.)12.000 TL,4.)6.000 TL,1.)10.350 TL,2.)4.140 TL,3.)2.070 TL,﻿İstanbul,2022-04-22,3,,,English,Friday
1,WIN FOR YOU KG K DB,3y a  e,KANEKO,"57,5",Ö.YILDIRIM,SELİN ERDEMİRCİ,﻿İstanbul,2022-04-22,3,,,English,Friday
2,KING HAYRİ SK,3y d  e,MENDIP (USA),"55,5 +0.40",A.ÇELİK,METİN COKTAV,﻿İstanbul,2022-04-22,3,,,English,Friday
3,FIRTINA KARASI KG SK,3y d  e,CASH AKÇE,"53,5 +0.10",GÖK.BEKTAŞ,AYŞE KARACA,﻿İstanbul,2022-04-22,3,,,English,Friday
4,SIESTRA DB SK YP,3y d  d,MENDIP (USA),"56,5",A.KAÇMAZ,NEHAR ORHON,﻿İstanbul,2022-04-22,3,,,English,Friday
5,PAKİ BOY KG K,3y d  e,APPROVE (IRE),"52,5 +0.50",E.AKTUĞ AP,ŞAFAK BAYAT,﻿İstanbul,2022-04-22,3,,,English,Friday
6,MR LOVERMAN KG K DB,3y d  g,ASTRAKHAN,"60,5",G.KOCAKAYA,REŞAT ÖZ,﻿İstanbul,2022-04-22,3,,,English,Friday
1.)75.000 TL,2.)30.000 TL,3.)15.000 TL,4.)7.500 TL,1.)21.563 TL,2.)8.625 TL,3.)4.313 TL,﻿İstanbul,2022-04-22,4,,,English,Friday
1,İYİKİM KG,3y a  d,KAYAYÜREKLİ,57,H.KARATAŞ,AHMET KAYA,﻿İstanbul,2022-04-22,4,,,English,Friday
2,O LA LA KG K,3y a  d,KARAÜZÜM,57,GÖKH.GÖKÇE,Z.AHSEN KURUM,﻿İstanbul,2022-04-22,4,,,English,Friday
3,İZABEL KG K,3y k  d,BUZKAYA,57 +0.90,M.KAYA,KADRİYE KAYA,﻿İstanbul,2022-04-22,4,,,English,Friday
4,GEÇİT KIZI KG K,3y a  d,GELİBOLU,53,E.AKTUĞ AP,BÜLENT KAPLAN,﻿İstanbul,2022-04-22,4,,,English,Friday
5,SARAFIN İNCİSİ KG SK,3y d  d,SARRAF,57,MÜS.ÇELİK,MAHMUT YILDIZ,﻿İstanbul,2022-04-22,4,,,English,Friday
6,DOKTOR ŞERİFE,3y d  d,YÜREKKAYA,57,G.YILDIZ,AHMET KAYA,﻿İstanbul,2022-04-22,4,,,English,Friday
7,YER ELMASI K,3y a  d,VAKKAS,55 +0.20,F.ARSLAN AP,KAYA KAYA,﻿İstanbul,2022-04-22,4,,,English,Friday
