horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)77.000 TL,2.)30.800 TL,3.)15.400 TL,4.)7.700 TL,1.)13.283 TL,2.)5.313 TL,3.)2.657 TL,﻿İzmir,2022-01-07,1,,Kum,English,Friday
1,AZFAR DB SKG SK,3y a  e,AZARAKS,58,Ö.YILDIRIM,HULUSİ ÇİL,﻿İzmir,2022-01-07,1,,Kum,English,Friday
2,TOMMIX K,3y d  e,WIN RIVER WIN (USA),58,H.KARATAŞ,MUSTAFA İLKADIM,﻿İzmir,2022-01-07,1,,Kum,English,Friday
3,VERY SPECIAL KG SK,3y d  e,PAPA CLEM (USA),58,GÖKH.GÖKÇE,TİMUR TAKAN,﻿İzmir,2022-01-07,1,,Kum,English,Friday
1.)68.000 TL,2.)27.200 TL,3.)13.600 TL,4.)6.800 TL,1.)15.640 TL,2.)6.256 TL,3.)3.128 TL,﻿İzmir,2022-01-07,2,,Kum,English,Friday
1,TAŞON DB SK,3y d  e,PACO BOY (IRE),58,M.M.BİLGİN,HALE HÜLYA ILGAZLI,﻿İzmir,2022-01-07,2,,Kum,English,Friday
2,ÇERKEZ BEY KG DB SK,3y a  e,WHOS NEXT,58,S.ÖZEN,BURHAN ŞEN,﻿İzmir,2022-01-07,2,,Kum,English,Friday
3,MAYBE MOR KG DB SK,3y d  e,BARUDİ,54 +1.20,M.AKIN AP,YAVUZ AYDOĞAN,﻿İzmir,2022-01-07,2,,Kum,English,Friday
4,RED PANTHER KG K,3y a  e,EXPANSION (USA),58,B.KURDU,KORHAN AYMAN,﻿İzmir,2022-01-07,2,,Kum,English,Friday
5,BE STRONG KG DB SK,3y d  e,SCARFACE,58,D.PALAUR,NACİ GİRŞEN,﻿İzmir,2022-01-07,2,,Kum,English,Friday
6,TIME RUNNER KG K,3y d  d,CORINTHIAN (USA),56,MER.ÇELİK,OĞUZ İKEN,﻿İzmir,2022-01-07,2,,Kum,English,Friday
7,READY TEDDY KG SK,3y d  e,VALENTIN,54,S.AKŞIN AP,SELİN DİKENCİK,﻿İzmir,2022-01-07,2,,Kum,English,Friday
8,FOUR STROKE KG DB SK,3y d  e,SMART ROBIN (JPN),58,N.AVCİ,ENGİN ATEŞLER,﻿İzmir,2022-01-07,2,,Kum,English,Friday
9,BULUGA KG SK,3y d  e,SCARFACE,56,ALP.OLUK AP,CAN TEKİN,﻿İzmir,2022-01-07,2,,Kum,English,Friday
1.)52.500 TL,2.)21.000 TL,3.)10.500 TL,4.)5.250 TL,1.)9.056 TL,2.)3.623 TL,3.)1.811 TL,﻿İzmir,2022-01-07,3,,Kum,English,Friday
1,LAL ÇİÇEĞİ KG,4y k k,KURTEL,58,K.GÖKÇE AP,FERİT MENGİ,﻿İzmir,2022-01-07,3,,Kum,English,Friday
2,ALL THE RED KG K DB,4y d k,BABA MEVLÜT,54 +1.20,M.M.BİLGİN,ŞAHNUR KARACA,﻿İzmir,2022-01-07,3,,Kum,English,Friday
3,GÜLAY KG SK,4y d k,BABA MEVLÜT,"58,5",GÖKH.GÖKÇE,N.AREK KUYUMCİYAN,﻿İzmir,2022-01-07,3,,Kum,English,Friday
4,SEMBOL TAY,4y a k,ÖZGÜNHAN,60,S.ÖZEN,ERHAN AK,﻿İzmir,2022-01-07,3,,Kum,English,Friday
5,DAHİ KIZ,4y k k,TAMERİNOĞLU,"53,5 +1.30",M.AKIN AP,ELİF KAYA,﻿İzmir,2022-01-07,3,,Kum,English,Friday
6,ASİLANA KG K,4y a k,ÇAĞAN,52,E.AKTUĞ AP,OKTAY KARAOĞLU,﻿İzmir,2022-01-07,3,,Kum,English,Friday
7,TEKFORD GÜLÜ KG DB SK,4y k k,GELİBOLU,"53,5",N.AVCİ,ALİ ÖREN,﻿İzmir,2022-01-07,3,,Kum,English,Friday
8,TATLI KIZ KG DB SK,4y a k,UÇANOĞLU,55,MER.ÇELİK,FATMA TAMER,﻿İzmir,2022-01-07,3,,Kum,English,Friday
9,ORÇUNUN KIZI KG DB SK,4y k k,ORÇUN,"59,5 +0.10",H.ŞİMŞEK,HASAN HÜSEYİN AYRANCI,﻿İzmir,2022-01-07,3,,Kum,English,Friday
10,LEYLA SULTANIM KG DB SK,4y k k,KAIZBERT (RU),50 +1.30,M.B.ÖNCEL AP,HAKKI GÜLAL,﻿İzmir,2022-01-07,3,,Kum,English,Friday
1.)52.500 TL,2.)21.000 TL,3.)10.500 TL,4.)5.250 TL,1.)9.056 TL,2.)3.623 TL,3.)1.811 TL,﻿İzmir,2022-01-07,4,,Kum,English,Friday
1,BOUKEPHALOS KG DB SK,4y d  g,VICTORY GALLOP (CAN),55 +0.80,GÖKH.GÖKÇE,HULUSİ ÇİL,﻿İzmir,2022-01-07,4,,Kum,English,Friday
2,CONGENIAL SON,7y d  a,ZANJERO (USA),56,M.AKIN AP,ÖMER PEYNİRCİ,﻿İzmir,2022-01-07,4,,Kum,English,Friday
3,JUNIOR ÇINAR KG DB SK,4y a  a,TOCCET (USA),60,M.M.BİLGİN,FETHİ DEMİR,﻿İzmir,2022-01-07,4,,Kum,English,Friday
4,SOFYALI,4y a  a,EL CORREDOR (USA),61,MER.ÇELİK,MEHMET ALTUNKILIÇ,﻿İzmir,2022-01-07,4,,Kum,English,Friday
5,BIG DADAŞ K DB ÖG,7y d  a,KURTINIADIS (IRE),57 +0.30,S.ÖZEN,FERİT MENGİ,﻿İzmir,2022-01-07,4,,Kum,English,Friday
6,PERFECT RUNNER KG DB SK,6y d  a,PERFECT STORM,63,M.ÇİÇEK,TALAT ÜSTÜNER,﻿İzmir,2022-01-07,4,,Kum,English,Friday
1.)199.000 TL,2.)79.600 TL,3.)39.800 TL,4.)19.900 TL,1.)57.213 TL,2.)22.885 TL,3.)11.443 TL,﻿İzmir,2022-01-07,5,,Kum,English,Friday
1,KARDEŞCAN KG K DB,6y a  a,TURBO,61,G.KOCAKAYA,MUZAFFER CAN,﻿İzmir,2022-01-07,5,,Kum,English,Friday
2,CANMETE DB,4y k  a,TAMERİNOĞLU,"57,5",Ö.YILDIRIM,OSMAN AKSOY,﻿İzmir,2022-01-07,5,,Kum,English,Friday
3,BOMBACAN KG SK,8y d  a,KIVANÇ CAN,61,N.AVCİ,MUZAFFER CAN,﻿İzmir,2022-01-07,5,,Kum,English,Friday
4,ERTEMİZ KG,9y d  a,DEMİRKAZIK,61,M.ÇİÇEK,TARKAN H. ONAR,﻿İzmir,2022-01-07,5,,Kum,English,Friday
5,SÜLÜNBİKE KG K,6y a  a,KAIZBERT (RU),61,H.KARATAŞ,MEHMET ÇELİK,﻿İzmir,2022-01-07,5,,Kum,English,Friday
