horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)85.500 TL,2.)34.200 TL,3.)17.100 TL,4.)8.550 TL,1.)24.581 TL,2.)9.833 TL,3.)4.916 TL,﻿Kocaeli,2022-07-07,1,,Kum,English,Thursday
1,ROCK SOLID KG SK,2y d  e,TOCCET (USA),57 +0.30,T.YILDIZ,ENGİN ATEŞLER,﻿Kocaeli,2022-07-07,1,,Kum,English,Thursday
2,DESERT FIRE KG DB SK,2y d  e,SCARFACE,57,H.ÇİZİK,İBRAHİM YILDIZ,﻿Kocaeli,2022-07-07,1,,Kum,English,Thursday
3,SERSERİ HAT SKG SK,2y d  e,BUSHRANGER (IRE),57 +0.20,H.KAPLAN,HÜSNE AKYILDIRIM,﻿Kocaeli,2022-07-07,1,,Kum,English,Thursday
4,LORD OF VICTORY,2y d  e,VICTORY GALLOP (CAN),57,MER.ÇELİK,HATİCE DEMİREL,﻿Kocaeli,2022-07-07,1,,Kum,English,Thursday
5,ROSE OF ROCK,2y d  d,NATHANIEL (IRE),55 +1.70,M.KAYA,ELİF KAYA,﻿Kocaeli,2022-07-07,1,,Kum,English,Thursday
6,GREY LEGEND KG K,2y k  e,GREY CORAL,57,E.AKTUĞ AP,HALİT KEKİK,﻿Kocaeli,2022-07-07,1,,Kum,English,Thursday
7,RECTIFIER KG SK,2y d  e,MENDIP (USA),57,M.ÇİÇEK,OĞUZHAN TEKCAN,﻿Kocaeli,2022-07-07,1,,Kum,English,Thursday
8,BABY ROCK (Koşmaz),2y a  d,KAFKASLI,55,C.KARADEMİR AP,ELİF KAYA,﻿Kocaeli,2022-07-07,1,,Kum,English,Thursday
1.)77.000 TL,2.)30.800 TL,3.)15.400 TL,4.)7.700 TL,1.)13.283 TL,2.)5.313 TL,3.)2.657 TL,﻿Kocaeli,2022-07-07,2,,Kum,English,Thursday
1,RUSDAMAT KG SK,8y a  a,KAIZBERT (RU),"55,5 +1.00",T.YILDIZ,ŞEMSETTİN TOYDEMİR,﻿Kocaeli,2022-07-07,2,,Kum,English,Thursday
2,ÇETİNSU KG DB SK,7y k  a,TAMERİNOĞLU,"55,5",MER.ÇELİK,CAHİT ÇETİNSU,﻿Kocaeli,2022-07-07,2,,Kum,English,Thursday
3,GÜMÜŞKESEN KG,8y k  a,TURBO,"59,5",H.ÇİZİK,ÇETİN ARSLAN,﻿Kocaeli,2022-07-07,2,,Kum,English,Thursday
4,ROMANOLUR KG K,6y a k,KAIZBERT (RU),"57,5",O.GÖKÇE,ŞEMSETTİN TOYDEMİR,﻿Kocaeli,2022-07-07,2,,Kum,English,Thursday
5,ERGÜÇLÜ DB,6y a  a,TÜMÖZ BEY,"55,5",F.ARSLAN AP,ŞEMSETTİN TOYDEMİR,﻿Kocaeli,2022-07-07,2,,Kum,English,Thursday
6,EGENİN ASLANI KG K DB,7y a  a,KAIZBERT (RU),"56,5",H.KAPLAN,UFUK KARAN,﻿Kocaeli,2022-07-07,2,,Kum,English,Thursday
7,ALTINKAPLI KG K,5y k  a,KAIZBERT (RU),53 +2.00,A.ŞENBAHAR AP,HALİL YILDIZ,﻿Kocaeli,2022-07-07,2,,Kum,English,Thursday
1.)52.500 TL,2.)21.000 TL,3.)10.500 TL,4.)5.250 TL,1.)15.094 TL,2.)6.038 TL,3.)3.019 TL,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
1,ZEYTİNYELİ K,3y k  d,ULUER,54,E.AKTUĞ AP,HALİT KEKİK,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
2,DUYGU TAY KG DB SK,3y k  d,ÖZDURAN,57,MER.ÇELİK,BİHTERCAN ATAÇ,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
3,MELİSA KIZI KG K,3y d  d,SARRAF,54 +1.70,A.ŞENBAHAR AP,ABDULKADİR TOPRAK,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
4,DRACARYS KG K DB,3y k  d,SON MARTI,53,A.YILDIZ AP,YAŞAR ÖZKAN,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
5,NEVGÜLÜN KIZI,3y k  d,DEMİRDÖVEN,57,F.ARSLAN AP,TAHİR ÇELİK,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
6,KADER YOLU KG K,3y a  d,SULTAN DE FAUST (FR),55 +0.30,E.D.ÖKTEN AP,BEŞİR KAYA,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
7,DERTSİZ KG K,3y a  d,AKARÇAY,60,H.ÇİZİK,BİŞAR ÇELİK,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
8,MATADOR KG K GKR,3y k  d,UÇANOĞLU,57 +0.20,T.YILDIZ,COŞKUN ŞİMŞEK,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
9,YENİKÖYLÜM KG K,3y a  d,GÜNTAY,57,K.TOKAÇOĞLU,FIRAT YILDIRIM,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
10,ELFİDA KG DB,3y k  d,TURBO,59,M.KAYA,FERİDUN GÜNDÜZ,﻿Kocaeli,2022-07-07,3,,Kum,English,Thursday
1.)77.000 TL,2.)30.800 TL,3.)15.400 TL,4.)7.700 TL,1.)13.283 TL,2.)5.313 TL,3.)2.657 TL,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
1,SERDENGEÇER KG K,9y a  a,ALTAHA,56,A.YILDIZ AP,BARIŞ KARAGÖZ,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
2,SON PARILTI KG DB SK,5y d  a,BİLGİN,"58,5",M.ÇİÇEK,SADİ KIR,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
3,BARSKAN KG DB,9y d  a,BİLGİN,"50,5 +2.00",S.ÇELİK AP,ENİS BADIŞOĞLU,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
4,TEKFORDTEYFİK SKG SK,6y k  a,GÜNTAY,"61,5",H.ÇİZİK,TEYFİK ORAN,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
5,FADİK KG SK,6y d k,HIZLITAY,58,Z.KARABULUT AP,H.TARIK DİKENCİK,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
6,BUZKRALI SKG SK,5y a  a,ŞAMİLBEY,59,T.YILDIZ,MEHMET ÇELİK,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
7,DEMİRPENÇE KG SK,6y k  a,ÖZGÜNHAN,50 +2.00,F.ARSLAN AP,HASAN GÜL,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
8,CİĞERPARE KG DB SK,6y a k,ALTAHA,"55,5",MER.ÇELİK,ALİ PAMUKCİ,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
9,OĞLUMVOLKAN KG,8y k  a,TURBO,50 +1.10,E.D.ÖKTEN AP,M.ASIM ÇÖMLEKÇİOĞLU,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
10,CAHİT AĞA KG SK,7y k  a,BİLGİN,"55,5 +1.00",U.BARLIK,ENİS BADIŞOĞLU,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
11,ALEVSAÇAN KG,5y a  a,ATEŞTOPU,61,A.ŞENBAHAR AP,SABRİ ALTIN,﻿Kocaeli,2022-07-07,4,,Kum,English,Thursday
1.)85.500 TL,2.)34.200 TL,3.)17.100 TL,4.)8.550 TL,1.)24.581 TL,2.)9.833 TL,3.)4.916 TL,﻿Kocaeli,2022-07-07,5,,Kum,English,Thursday
1,FATHER FERİT SK,2y d  e,POWERSCOURT (GB),57 +0.40,H.ÇİZİK,ÖMER YARDIMCI,﻿Kocaeli,2022-07-07,5,,Kum,English,Thursday
2,ATAKAN BEY SK,2y d  e,TRIPLE BONUS,57,F.ARSLAN AP,CEMİL TANER,﻿Kocaeli,2022-07-07,5,,Kum,English,Thursday
3,BİLO CAN KG K DB,2y a  e,RAMAYANA,57,F.HİM AP,BÜLENT BAYBURAN,﻿Kocaeli,2022-07-07,5,,Kum,English,Thursday
4,KING MEHMET KG,2y d  e,KANEKO,57 +0.10,M.KAYA,ELİF KAYA,﻿Kocaeli,2022-07-07,5,,Kum,English,Thursday
5,QUEENS GAMBIT KG SK,2y k  d,CORINTHIAN (USA),55 +1.40,T.YILDIZ,SÜLEYMAN BAŞAR,﻿Kocaeli,2022-07-07,5,,Kum,English,Thursday
6,ROMANTİK K,2y a  d,SERHAS,55 +0.60,A.ŞENBAHAR AP,FURKAN ÖZPAY,﻿Kocaeli,2022-07-07,5,,Kum,English,Thursday
7,TOCC SONATA SK,2y d  e,TOCCET (USA),57,MER.ÇELİK,ALP Ş. EVCİMEN,﻿Kocaeli,2022-07-07,5,,Kum,English,Thursday
8,RAKHSH DB,2y d  e,DUTYFREE,57,K.TOKAÇOĞLU,ALP Ş. EVCİMEN,﻿Kocaeli,2022-07-07,5,,Kum,English,Thursday
1.)77.000 TL,2.)30.800 TL,3.)15.400 TL,4.)7.700 TL,1.)13.283 TL,2.)5.313 TL,3.)2.657 TL,﻿Kocaeli,2022-07-07,6,,Kum,English,Thursday
1,RED JUSTEN KG SK GKR,3y a  e,JUSTENUFFHUMOR (USA),"58,5",K.TOKAÇOĞLU,ALP Ş. EVCİMEN,﻿Kocaeli,2022-07-07,6,,Kum,English,Thursday
2,WHITE DARKNESS KG DB SK,3y d  e,KANEKO,"51,5 +2.00",MER.ÇELİK,TÜRKAN KASIM,﻿Kocaeli,2022-07-07,6,,Kum,English,Thursday
3,CARPE DIEM BABY DB SK,3y d  d,SMART ROBIN (JPN),50 +2.00,A.YILDIZ AP,HATİCE DEMİREL,﻿Kocaeli,2022-07-07,6,,Kum,English,Thursday
4,GÖKYÜZÜ KG DB SK,3y d  d,BOSPORUS (IRE),55 +1.00,H.ÇİZİK,BİŞAR ÇELİK,﻿Kocaeli,2022-07-07,6,,Kum,English,Thursday
5,BEST OF FATOŞ KG DB SK,3y d  d,CASH AKÇE,"52,5 +1.50",E.AKTUĞ AP,BEŞİR KAYA,﻿Kocaeli,2022-07-07,6,,Kum,English,Thursday
6,NAZİK ENDAM KG SK ÖG,3y a  d,BAWiKAL,"61,5",M.ÇİÇEK,SEYDİ AKYILDIRIM,﻿Kocaeli,2022-07-07,6,,Kum,English,Thursday
7,FRANCIS HORSE DB SKG SK,3y a  e,SIDNEY`S CANDY (USA),57 +0.20,H.KAPLAN,BÜLENT YARDIMCI,﻿Kocaeli,2022-07-07,6,,Kum,English,Thursday
