horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)81.500 TL,2.)32.600 TL,3.)16.300 TL,4.)8.150 TL,1.)23.431 TL,2.)9.373 TL,3.)4.686 TL,﻿İzmir,2022-08-07,1,,Kum,English,Sunday
1,HOTFLICK KG K,2y d  e,LION HEART (USA),57,M.ÇİÇEK,SERTAN VARDAR,﻿İzmir,2022-08-07,1,,Kum,English,Sunday
2,QUEEN OF MAY KG K DB ÖG,2y a  d,SON OF SUN,55,B.M.MIRIK,İZZETTİN YILDIZ,﻿İzmir,2022-08-07,1,,Kum,English,Sunday
3,ÇELİK KARDEŞLER KG DB SK,2y d  e,NİĞDELİ,57,M.M.BİLGİN,HÜSEYİN ÇELİK,﻿İzmir,2022-08-07,1,,Kum,English,Sunday
4,FLY KISS ME KG K DB,2y d  d,SON OF SUN,52 +0.20,O.KIZILDAŞ AP,MEHMET DEMİR,﻿İzmir,2022-08-07,1,,Kum,English,Sunday
5,HAVE A NICE GIRL KG K,2y a  d,BARUDİ,55 +0.60,G.YILDIZ,SABAHATTİN TEKDOĞAN,﻿İzmir,2022-08-07,1,,Kum,English,Sunday
6,BLACK SWAN KG DB SK,2y d  d,SCARFACE,55,A.KÜRÜNDÜK,OZAN YARALI,﻿İzmir,2022-08-07,1,,Kum,English,Sunday
7,ZARAKİ KENPACHİ (Koşmaz),2y a  e,CAPTAIN RIO (GB),57,O.ALKAN AP,HİKMET ŞİMŞEK,﻿İzmir,2022-08-07,1,,Kum,English,Sunday
8,ŞEKER SULTAN (Koşmaz),2y d  d,GÜNGÖR BABA,51,G.KAYIP AP,SALİH DURMAZ,﻿İzmir,2022-08-07,1,,Kum,English,Sunday
1.)50.000 TL,2.)20.000 TL,3.)10.000 TL,4.)5.000 TL,1.)14.375 TL,2.)5.750 TL,3.)2.875 TL,﻿İzmir,2022-08-07,2,,Çim,English,Sunday
1,YEĞENİM ELA DB,2y a  d,PACO BOY (IRE),53 +0.30,A.C.DAĞDEVİREN,KENAN ENGİN,﻿İzmir,2022-08-07,2,,Çim,English,Sunday
2,TORUN YUSUF KG SK,2y d  e,FAST 'N' FAMOUS (AUS),60,M.ÇİÇEK,MEHMET ATEŞ,﻿İzmir,2022-08-07,2,,Çim,English,Sunday
3,BEBOW KG K DB,2y d  d,NİĞDELİ,53 +2.00,K.GÖKÇE AP,İSMET ÇİFTÇİ,﻿İzmir,2022-08-07,2,,Çim,English,Sunday
4,MUHARREM ABİ KG K,2y d  e,DUTYFREE,54,G.ÖZÇELİK,ALP Ş. EVCİMEN,﻿İzmir,2022-08-07,2,,Çim,English,Sunday
5,ELLA ON DUTY DB,2y a  d,DUTYFREE,52,D.PALAUR,ALP Ş. EVCİMEN,﻿İzmir,2022-08-07,2,,Çim,English,Sunday
6,WOLFS DAUGHTER KG K DB GKR,2y d  d,WOLF PRINCE,53 +1.70,MUH.OK AP,ADEM AKTAŞ,﻿İzmir,2022-08-07,2,,Çim,English,Sunday
1.)81.500 TL,2.)32.600 TL,3.)16.300 TL,4.)8.150 TL,1.)23.431 TL,2.)9.373 TL,3.)4.686 TL,﻿İzmir,2022-08-07,3,,Kum,English,Sunday
1,ASK THE LEGEND,2y d  e,PAPA CLEM (USA),57,N.AVCİ,GÖRKEM GEDİKOĞLU,﻿İzmir,2022-08-07,3,,Kum,English,Sunday
2,KOŞ BESTE KG K DB,2y d  d,BUENOS AIRES,55 +2.00,M.BAYDAN,AYSEL BAYDAN,﻿İzmir,2022-08-07,3,,Kum,English,Sunday
3,FEDERER KG DB,2y d  e,SCARFACE,55 +2.00,M.AKIN AP,AYBERK TEZEL,﻿İzmir,2022-08-07,3,,Kum,English,Sunday
4,ZULEMA DB SKG SK,2y d  d,DONT STOP ME,55,D.PALAUR,MUSTAFA TÜRKAN,﻿İzmir,2022-08-07,3,,Kum,English,Sunday
5,AKKAYA ATEŞİ KG SK (Koşmaz),2y d  e,SCARFACE,57,A.C. İNAN,ASLAN SAVAŞAN,﻿İzmir,2022-08-07,3,,Kum,English,Sunday
6,VUDİDİ KG K (Koşmaz),2y d  e,CAPTAIN RIO (GB),57,O.ALKAN AP,ORÇUN ÜMÜTDAR,﻿İzmir,2022-08-07,3,,Kum,English,Sunday
7,JASPER KG,2y d  d,PAPA CLEM (USA),55,G.ÖZÇELİK,ALARA BAKIR,﻿İzmir,2022-08-07,3,,Kum,English,Sunday
8,MERLİN MORLİN KG GKR (Koşmaz),2y d  d,ES ES RUNNER,51,G.KAYIP AP,HALİL ASLAN,﻿İzmir,2022-08-07,3,,Kum,English,Sunday
1.)74.500 TL,2.)29.800 TL,3.)14.900 TL,4.)7.450 TL,1.)12.851 TL,2.)5.141 TL,3.)2.570 TL,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
1,DEMİR KOZA KG DB,4y k  a,KAFKAS ŞAHI,51 +2.00,N.AVCİ,HARUN DELİGÖZ,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
2,ALEMİN KRALI KG DB,9y k  a,TURBO,60,İ.S.SÖĞÜT AP,YUSUF KÜREM,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
3,EDİTÖR KG,5y d  a,KURTEL,54 +2.00,K.TOKAÇOĞLU,KASIM TUMBUL,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
4,MUHSİN KG K DB,7y a  a,BOZOK,59,K.GÖKÇE AP,TÜRKAN TURAN,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
5,POLATLI GÜLÜ DB SKG SK,5y a k,ÖZGÜNHAN,55,MUH.OK AP,C.AHMET ÇUKUROVA,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
6,ORKİ DB,6y a k,SARUHANAĞA,53 +1.00,A.KÜRÜNDÜK,HASAN PEHLİVAN,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
7,KAZANLI KG DB SK,5y k  a,BERKSOY,53 +2.00,M.M.BİLGİN,MEHMET SIDDIK OKAN,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
8,ÇEKİÇBEY KG DB SK,5y k  a,ALTINÇEKİÇ,"52,5 +2.00",ALP.OLUK AP,GÜLTEKİN ARICI,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
9,EDLOS KG DB SK,4y a  a,UÇANOĞLU,50 +1.70,O.KIZILDAŞ AP,AYTEN SALTABAŞ,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
10,AHMET ALİ KG DB,5y a  a,BERKSOY,60,M.AKIN AP,SABAHATTİN TEKDOĞAN,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
11,FARANELLİ KG SK,5y a  a,KIZGINLAV,"51,5 +2.00",A.C.DAĞDEVİREN,GÖKHAN ÖZTÜRK,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
12,OĞLUM UTKU KG DB SK,6y a  g,ALTAHA,53,D.PALAUR,ZEKİ SÖKMEN,﻿İzmir,2022-08-07,4,,Çim,English,Sunday
1.)63.000 TL,2.)25.200 TL,3.)12.600 TL,4.)6.300 TL,1.)10.868 TL,2.)4.347 TL,3.)2.174 TL,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
1,SPEED TIME SK,4y d  a,SPEEDY WOLF,"56,5",M.M.BİLGİN,ERKAN OKAN,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
2,MASTER CHEF KG K DB,4y d  a,MENDIP (USA),58,A.C.DAĞDEVİREN,RESUL AYDOĞAN,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
3,OĞLUM MİSHA KG K,4y d  a,TORUK MACTO (IRE),"58,5",M.AKIN AP,MUSTAFA AKGÜN,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
4,DASİF SKY DB SK,5y d  a,MARCAVELLY (USA),"55,5 +0.80",ALP.OLUK AP,M.ÖNDER ÜLGENALP,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
5,JADEIT KG K DB,4y d k,GENERAL QUARTERS (USA),59,GÖKH.GÖKÇE,YILMAZ ÇAMLIBEL,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
6,SWEET BREEZE KG SK,3y d  d,EL CORREDOR (USA),53,N.AVCİ,HÜSEYİN DİLBER,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
7,TAKE OATH DB SKG SK,5y a  a,TALIP HAN (IRE),57,M.ÇİÇEK,MEHMET EMİN ÇİZİK,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
8,BIRD ROSE DB SK,3y a  d,WIENER WALZER (GER),"58,5",A.KÜRÜNDÜK,SEHİBE KEÇELİ,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
9,THINK PINK DB,5y d k,DR FONG (USA),60,E.ÜSTÜN AP,MEHMET ARICI,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
10,DOĞUBAYAZIT DB SK YP,4y d  a,WIENER WALZER (GER),60,C.ALTUN AP,EMİN TURHAN,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
11,DRAGON PEARL DB SK,4y d k,LION HEART (USA),"61,5",B.M.MIRIK,ERKAN BAL,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
12,SHANNARA KG K GKR,4y d k,TALIP HAN (IRE),"55,5",C.YILMAZ AP,ERAY KOKTAY,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
13,JUST CONDOR SK GKR,3y d  e,JUSTENUFFHUMOR (USA),53 +2.00,A.OKAN PAZAR,YALÇIN TÜRE,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
14,FLEUR KG SK,4y d k,INVINCIBLE SON (IRE),50 +1.40,İ.S.SÖĞÜT AP,ŞÜKRÜ GÜRER,﻿İzmir,2022-08-07,5,,Kum,English,Sunday
1.)92.500 TL,2.)37.000 TL,3.)18.500 TL,4.)9.250 TL,1.)15.956 TL,2.)6.383 TL,3.)3.191 TL,﻿İzmir,2022-08-07,6,,Çim,English,Sunday
1,VERY GOLD KG SK,3y d  d,AZARAKS,55 +1.90,B.KURDU,HULUSİ ÇİL,﻿İzmir,2022-08-07,6,,Çim,English,Sunday
2,JADORE KG,3y a  d,KANEKO,58,G.ÖZÇELİK,ALARA BAKIR,﻿İzmir,2022-08-07,6,,Çim,English,Sunday
3,OPİA KG DB SK,3y d  d,SCARFACE,55 +0.50,M.M.BİLGİN,HAKAN S. ÖZCAN,﻿İzmir,2022-08-07,6,,Çim,English,Sunday
4,ALKILIÇ DB SK,3y a  d,BAY ÇİFTÇİOĞLU,58,A.C.DAĞDEVİREN,HÜSEYİN YILDIZ,﻿İzmir,2022-08-07,6,,Çim,English,Sunday
5,MİNTEHA DB SKG SK,3y a  d,KANEKO,54 +1.80,M.ÇİÇEK,CAN ÇAĞRI,﻿İzmir,2022-08-07,6,,Çim,English,Sunday
6,MIA SAN MIA KG SK,3y d  d,SMART ROBIN (JPN),54,D.PALAUR,MUSTAFA TÜRKAN,﻿İzmir,2022-08-07,6,,Çim,English,Sunday
7,LA NİNA KG K DB,3y a  d,BOSPORUS (IRE),58,N.AVCİ,TRACY KAYAHAN,﻿İzmir,2022-08-07,6,,Çim,English,Sunday
8,ARYA KUŞ DB SK,3y d  d,WIN RIVER WIN (USA),56 +1.10,S.ÖZEN,ERGÜN OKYAR,﻿İzmir,2022-08-07,6,,Çim,English,Sunday
1.)63.000 TL,2.)25.200 TL,3.)12.600 TL,4.)6.300 TL,1.)10.868 TL,2.)4.347 TL,3.)2.174 TL,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
1,SNOWFLAKE KG SK,4y a k,COŞARTAY,58,H.GÜN,ORHAN KİBAR,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
2,RÜZGARSOY KG,4y a k,HİSARBEY,60,Z.KARABULUT,TARIK NACİ YILDIZ,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
3,ŞAL KIZI KG K DB,4y a k,KAYATUFAN,54 +0.20,M.UYAR,MÜSLÜM ASLAN,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
4,MOR FIRTINA KG DB,4y a k,GELİBOLU,54 +0.50,C.ALTUN,NURTEN ERDÖLEK,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
5,LOLİPOP KG DB,4y k k,TAMERİNOĞLU,57,O.KIZILDAŞ,DENİZ KOÇER SONNI,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
6,ŞİRİNHATUN DB,4y a k,AYABAKAN,60,M.AKIN,İSMET ARSLANCA,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
7,DİLEK TEPESİ KG SK,4y k k,BİLGİN,55,E.ÜSTÜN,GÖKHAN ERDOĞAN,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
8,MAVİ GECE KG DB SK,4y k k,BABA MEVLÜT,54,M.B.ÖNCEL,SÜLEYMAN ATİK,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
9,ACARSU DB SK,4y a k,BİLGİN,55 +0.50,K.GÖKÇE,MEHMET BİRDEN,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
10,ÖNCÜGÜZEL KG DB,4y a k,BAŞIMTACI,58,MUH.OK,A.EMRAH BAŞKAN,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
11,TURBO MASALI KG SK,4y k k,TURBO,58,Ç.CANPOLAT,MEHMET ALTIN,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
12,TATLI KIZ KG DB SK,4y a k,UÇANOĞLU,54,İ.S.SÖĞÜT,FATMA TAMER,﻿İzmir,2022-08-07,7,,Çim,English,Sunday
1.)74.500 TL,2.)29.800 TL,3.)14.900 TL,4.)7.450 TL,1.)12.851 TL,2.)5.141 TL,3.)2.570 TL,﻿İzmir,2022-08-07,8,,Kum,English,Sunday
1,NALDÖKENLİ KG DB SK,4y a  a,KAIZBERT (RU),58,K.TOKAÇOĞLU,MEHMET ARICI,﻿İzmir,2022-08-07,8,,Kum,English,Sunday
