horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)192.000 TL,2.)76.800 TL,3.)38.400 TL,4.)19.200 TL,1.)33.120 TL,2.)13.248 TL,3.)6.624 TL,﻿Kocaeli,2024-08-20,1,,Kum,English,Tuesday
1,BERISHA KG DB SK,4y d  a,SMART ROBIN (JPN),54,H.BULUT,SELAMİ ÜNLÜ,﻿Kocaeli,2024-08-20,1,,Kum,English,Tuesday
2,DESERT TIGER K DB YP,4y d  a,VICTORY GALLOP (CAN),57,E.BOZDAĞ,BAHADIR YEŞİL,﻿Kocaeli,2024-08-20,1,,Kum,English,Tuesday
3,PRENS HALLO KG K DB,4y d  a,ZANJERO (USA),60,BERK.GÖKÇE,M.ADNAN AYDINOĞLU,﻿Kocaeli,2024-08-20,1,,Kum,English,Tuesday
4,NİSANUR HATIRASI KG DB SK,4y d  a,SON OF SUN,57,Ç.TAŞCI,ZABİTE CANPOLATLI,﻿Kocaeli,2024-08-20,1,,Kum,English,Tuesday
5,GOSPODIN KG DB SK,6y d  a,HAKEEM (USA),60,K.YILMAZ,İSMAİL ÇİZİK,﻿Kocaeli,2024-08-20,1,,Kum,English,Tuesday
6,ZÜLFİKARIM DB SKG SK,3y d  e,BANDE (IRE),"58,5",U.LEVENT,FURKAN CEVHER,﻿Kocaeli,2024-08-20,1,,Kum,English,Tuesday
7,KAPTAN CEM KG K DB,6y a  a,OĞLUMEMRE,57,S.ÇELİK,DİLEK BURAN,﻿Kocaeli,2024-08-20,1,,Kum,English,Tuesday
8,CENTAURUS DB SKG SK,4y d  a,RAMPOLDI,56,HA.GÖKÇE,AYTEN FİDAN,﻿Kocaeli,2024-08-20,1,,Kum,English,Tuesday
1.)163.000 TL,2.)65.200 TL,3.)32.600 TL,4.)16.300 TL,1.)46.863 TL,2.)18.745 TL,3.)9.373 TL,﻿Kocaeli,2024-08-20,2,,Kum,English,Tuesday
1,TENACIOUS WINNER,2y a  d,SUPER SAVER (USA),57,A.YILDIZ,CEM DİLER,﻿Kocaeli,2024-08-20,2,,Kum,English,Tuesday
2,FIRE OF DARKNESS KG SK ÖG,2y d  d,MENDIP (USA),56,İ.S.SÖĞÜT AP,HASAN KOÇYİĞİT,﻿Kocaeli,2024-08-20,2,,Kum,English,Tuesday
3,WINDY HILL K SKG,2y d  d,BLUEGRASS CAT (USA),57,N.AVCİ,ÖMER YARDIMCI,﻿Kocaeli,2024-08-20,2,,Kum,English,Tuesday
4,BÜSİYEM SK,2y a  d,LION HEART (USA),54 +2.00,H.ŞİMŞEK,NAFİZ ÇELİK,﻿Kocaeli,2024-08-20,2,,Kum,English,Tuesday
5,CAN AYLARA KG DB SK,2y d  d,AYRTON,54 +2.00,B.M.MIRIK,HALİL ÇANKAYA,﻿Kocaeli,2024-08-20,2,,Kum,English,Tuesday
1.)240.000 TL,2.)96.000 TL,3.)48.000 TL,4.)24.000 TL,1.)41.400 TL,2.)16.560 TL,3.)8.280 TL,﻿Kocaeli,2024-08-20,3,,Kum,English,Tuesday
