horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)52.000 TL,2.)20.800 TL,3.)10.400 TL,4.)5.200 TL,1.)14.950 TL,2.)5.980 TL,3.)2.990 TL,﻿İstanbul,2021-09-29,1,,Çim,English,Wednesday
1,ANADOLU CEYLANI DB SK,2y d  d,SMART ROBIN (JPN),52 +1.40,VEDAT ABİŞ AP,T. İZZET AKSOY,﻿İstanbul,2021-09-29,1,,Çim,English,Wednesday
2,TEARS OF HEAVEN SK,2y d  d,VICTORY GALLOP (CAN),57,MER.ÇELİK,BİROL ÇINAROĞLU,﻿İstanbul,2021-09-29,1,,Çim,English,Wednesday
3,DIGA ME DB SKG SK,2y d  d,TEMSİL,60,AH.ARSLAN,NUSRET ÖZBAĞ,﻿İstanbul,2021-09-29,1,,Çim,English,Wednesday
4,PELIGROSA SK,2y d  d,YILDIRIMBEY,57,S.BOYRAZ,BERKAN AKÇAM,﻿İstanbul,2021-09-29,1,,Çim,English,Wednesday
5,CEK PARADISE SK,2y d  d,LUXOR,54 +1.00,Ö.YILDIRIM,CEM KAAN PARSAK,﻿İstanbul,2021-09-29,1,,Çim,English,Wednesday
6,MY SECRET LOVE KG K BB,2y d  d,VICTORY GALLOP (CAN),57,A.SÖZEN,YILDIRIM GELGİN,﻿İstanbul,2021-09-29,1,,Çim,English,Wednesday
7,DULAD SK,2y d  d,SCARFACE,57,G.ÖZÇELİK AP,S.METİN SEZERMAN,﻿İstanbul,2021-09-29,1,,Çim,English,Wednesday
8,SATELLITE KG,2y d  d,FAST 'N' FAMOUS (AUS),57,A.ASLAN,CEMİL AKGÜL,﻿İstanbul,2021-09-29,1,,Çim,English,Wednesday
1.)66.000 TL,2.)26.400 TL,3.)13.200 TL,4.)6.600 TL,1.)18.975 TL,2.)7.590 TL,3.)3.795 TL,﻿İstanbul,2021-09-29,2,,,English,Wednesday
1,EGETAY,3y k  e,ALTAHA,57,A.ÇELİK,HASAN BAŞER,﻿İstanbul,2021-09-29,2,,,English,Wednesday
2,DİLOY,3y d  d,GELİBOLU,55 +0.50,G.KOCAKAYA,HÜLYA KEÇELİOĞLU,﻿İstanbul,2021-09-29,2,,,English,Wednesday
3,MÜBARİZ KG,3y a  e,ATEŞTOPU,55,VEDAT ABİŞ AP,T. İZZET AKSOY,﻿İstanbul,2021-09-29,2,,,English,Wednesday
4,DELAYLA K,3y a  d,UÇANBEY,55 +1.00,H.ÇİZİK,HÜLYA KEÇELİOĞLU,﻿İstanbul,2021-09-29,2,,,English,Wednesday
5,CANMENDUH KG DB,3y k  e,BERKSOY,57 +0.10,T.YILDIZ,AHMET KAYA,﻿İstanbul,2021-09-29,2,,,English,Wednesday
6,NİNETHATUN KG K,3y a  d,KAIZBERT (RU),52 +0.90,B.ÇIĞLA AP,MUNİR GÖKÇE,﻿İstanbul,2021-09-29,2,,,English,Wednesday
7,ARENNUR KG,3y a  d,KAFKAS ŞAHI,55 +0.40,İ.SOYAD,MEHMET ÇAVUŞ,﻿İstanbul,2021-09-29,2,,,English,Wednesday
8,ALAF KG DB,3y d  e,URLA EFESİ,57,S.AKBULAT AP,M.HAKAN ÖZÇOLAK,﻿İstanbul,2021-09-29,2,,,English,Wednesday
9,YİĞİTSOYLU KG SK,3y d  e,BABA MEVLÜT,57,AH.ARSLAN,EYLEM TANİYİT,﻿İstanbul,2021-09-29,2,,,English,Wednesday
10,GÜLÇATAY DB,3y d  d,BABA MEVLÜT,55,GÖKH.GÖKÇE,NUBAR UNCİYAN,﻿İstanbul,2021-09-29,2,,,English,Wednesday
11,KIZIM SERPİL KG K DB,3y k  d,DEMİRDÖVEN,55 +1.00,G.YILDIZ,HARUN KAHRAMAN,﻿İstanbul,2021-09-29,2,,,English,Wednesday
12,MANÇO KG DB SK,3y d  d,JOKER,53 +1.50,D.KAYA AP,ENİS ÖZACAR,﻿İstanbul,2021-09-29,2,,,English,Wednesday
13,İNAN BEYİM KG DB,3y a  e,ARASLI,57 +2.00,V.KAPLAN,ZEYNEL ALTUNBAŞ,﻿İstanbul,2021-09-29,2,,,English,Wednesday
1.)88.000 TL,2.)35.200 TL,3.)17.600 TL,4.)8.800 TL,1.)20.240 TL,2.)8.096 TL,3.)4.048 TL,﻿İstanbul,2021-09-29,3,,Çim,English,Wednesday
1,LEX TALLIONIS KG DB,5y a  a,THREE VALLEYS (USA),"61,5",M.ÇİÇEK,İLHAN DURAK,﻿İstanbul,2021-09-29,3,,Çim,English,Wednesday
2,BABA DALLAS KG DB SK,3y d  e,JUSTENUFFHUMOR (USA),62,A.KURŞUN,MUSTAFA KILIÇASLAN,﻿İstanbul,2021-09-29,3,,Çim,English,Wednesday
3,MAMBA FOREVER SK,3y d  e,LUXOR,63,H.KARATAŞ,LALE M. ATMAN,﻿İstanbul,2021-09-29,3,,Çim,English,Wednesday
4,JOSEPHINE,4y a k,LUXOR,56,İ.SOYAD,T. İZZET AKSOY,﻿İstanbul,2021-09-29,3,,Çim,English,Wednesday
5,DIRECT WIN KG DB,5y d k,CHURCH PICTURES (GB),59,G.KOCAKAYA,YASEMİN TURAKTEKİN,﻿İstanbul,2021-09-29,3,,Çim,English,Wednesday
6,MÜHENDİS KG DB SK,5y d  a,SPORTS HERO (USA),59,G.ÖZÇELİK AP,HÜSEYİN YÜKSEL,﻿İstanbul,2021-09-29,3,,Çim,English,Wednesday
1.)66.000 TL,2.)26.400 TL,3.)13.200 TL,4.)6.600 TL,1.)11.385 TL,2.)4.554 TL,3.)2.277 TL,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
1,KARASUN KG,4y a  a,KAIZBERT (RU),56,BURAK AKÇAY AP,EMİN TURAN,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
2,KIZILVAZO KG K,4y a  a,MURATAĞA,58,G.YILDIZ,MEHMET ÖĞÜT,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
3,NAKIŞ KG SK GKR,4y d  a,BATUKAN,58,A.SÖZEN,GÜL NUR SÜMER,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
4,ATEŞİN KIZI KG K DB,4y k k,UÇANOĞLU,57,VEDAT ABİŞ AP,İZZET DEMİR,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
5,AĞDAŞLI SKG SK,4y k k,SARRAF,56,GÖK.BEKTAŞ,OKAN KOÇHİSARLI,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
6,KONDUBEYİ KG K,4y k  a,ZİGANA,57 +0.20,Z.KARABULUT AP,KASIM TUMBUL,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
7,BURSA EFESİ,4y k  a,URLA EFESİ,55,Y.E.YÜKSEL AP,H.TARIK DİKENCİK,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
8,ARENBEY KG DB SK,4y a  a,HABERKAN,56,H.ÇİZİK,V.HAKAN KELEŞ,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
9,HEKİMOĞLU KG DB SK,4y k  a,KAIZBERT (RU),58,İ.SOYAD,TUĞÇE TOSUMOĞLU,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
10,ERTEGİ KG GKR,4y a  a,UÇANOĞLU,54 +0.70,H.KARATAŞ,ZEYNEP L. ATMAN,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
11,GÜZELLİK KG K GKR,4y d k,MURATAĞA,52 +2.00,D.KAYA AP,MEHMET ÇELİK,﻿İstanbul,2021-09-29,4,,Çim,English,Wednesday
1.)66.000 TL,2.)26.400 TL,3.)13.200 TL,4.)6.600 TL,1.)15.180 TL,2.)6.072 TL,3.)3.036 TL,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
1,DEEP OF THE WIND DB SK,3y d  d,SMART ROBIN (JPN),56,A.KURŞUN,H.HÜSEYİN ALKAN,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
2,SAN SEBASTIAN KG K,3y d  e,KARABEYHAN (GB),58,MÜS.ÇELİK,MURAT KARABULUT,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
3,HODRİ MEYDAN,3y d  e,HELMET (AUS),56,A.SÖZEN,ALİ RIZA ÇELİKOĞLU,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
4,FRENCH CADET KG K DB,3y d  d,LUXOR,59,S.BOYRAZ,SUAT YILMAZ,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
5,AGASSI KG DB SK,3y d  e,COUNTRY REEL (USA),56,H.YOLAÇICI AP,V.HAKAN KELEŞ,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
6,SPRING ATTACK SK,3y d  e,WIN RIVER WIN (USA),58,VEDAT ABİŞ AP,O.CEM GELGİN,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
7,BARCO BLANCO DB SK,3y d  e,TALIP HAN (IRE),58,A.İNCİ AP,MEHMET BAKIR,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
8,MINIGUN KG,3y a  g,THREE VALLEYS (USA),58,T.YILDIZ,SÜLEYMAN AKGÜMÜŞ,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
9,FİJİ KG K,3y d  e,KULOĞLU,59,Y.E.YÜKSEL AP,SELİN DİKENCİK,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
10,MISS EVGENIYA K,3y d  d,RED GIANT (USA),58,H.ÇİZİK,M.HAKAN ÖZÇOLAK,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
11,ENTREVISTA KG K,3y k  g,CAPTAIN RIO (GB),58,F.YÜKSEL,HAKAN YÜCETÜRK,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
12,GABARDİNO KG K,3y d  d,KING DAVID (USA),54 +0.30,GÖK.BEKTAŞ,CUMHUR BALKAROĞLU,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
13,ROAD OF SKY KG K DB,3y d  e,CAPTAIN RIO (GB),53 +0.20,G.ÖZÇELİK AP,HÜSEYİN KÖKLİ,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
14,SEMOŞUN KIZI,3y d  d,BUSHRANGER (IRE),52 +2.00,D.KAYA AP,A.HENNAN AKDOĞAN,﻿İstanbul,2021-09-29,5,,Çim,English,Wednesday
1.)80.500 TL,2.)32.200 TL,3.)16.100 TL,4.)8.050 TL,1.)23.144 TL,2.)9.258 TL,3.)4.629 TL,﻿İstanbul,2021-09-29,6,,,English,Wednesday
1,SARIYERLİ KG K,3y k  e,KAIZBERT (RU),51 +2.00,G.ÖZÇELİK AP,SEVİNÇ ÖZMEN,﻿İstanbul,2021-09-29,6,,,English,Wednesday
2,YAVUZ REİS KG DB,3y d  e,BABA MEVLÜT,55 +1.00,D.YILDIZ,ULAŞ YILDIZ,﻿İstanbul,2021-09-29,6,,,English,Wednesday
3,HORUS K DB SKG,3y k  e,GELİBOLU,57,G.KOCAKAYA,CÜNEYT ÇALICIOĞLU,﻿İstanbul,2021-09-29,6,,,English,Wednesday
