horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)120.000 TL,2.)48.000 TL,3.)24.000 TL,4.)12.000 TL,1.)20.700 TL,2.)8.280 TL,3.)4.140 TL,﻿İzmir,2023-03-09,1,,Kum,English,Thursday
1,ÖZEKAN KG,8y k  a,TAMERİNOĞLU,56,VED.ABİŞ,MUSTAFA POLAT,﻿İzmir,2023-03-09,1,,Kum,English,Thursday
2,GÖKÇESTAR KG K DB,6y k  a,KAIZBERT (RU),59,GÖKH.GÖKÇE,SEZGİN GÖKÇE,﻿İzmir,2023-03-09,1,,Kum,English,Thursday
3,BAŞPARMAK KG,6y d  a,KURTEL,55,A.YILDIZ AP,TARKAN H. ONAR,﻿İzmir,2023-03-09,1,,Kum,English,Thursday
4,ANAYURT KG DB SK,7y a  a,AYABAKAN,55 +0.60,M.M.BİLGİN,DEMET ÇİFTÇİ,﻿İzmir,2023-03-09,1,,Kum,English,Thursday
5,BOMBACAN KG SK,9y d  a,KIVANÇ CAN,59,N.AVCİ,HAYATİ CAN,﻿İzmir,2023-03-09,1,,Kum,English,Thursday
6,BOMBARDIMAN KG DB,5y a  a,UÇANOĞLU,51 +0.30,M.UYAR AP,TUNCAY YILMAZ,﻿İzmir,2023-03-09,1,,Kum,English,Thursday
7,BÜTÜNAY KG,9y k  a,TAMERİNOĞLU,55,O.YILDIZ,TARKAN H. ONAR,﻿İzmir,2023-03-09,1,,Kum,English,Thursday
1.)108.000 TL,2.)43.200 TL,3.)21.600 TL,4.)10.800 TL,1.)24.840 TL,2.)9.936 TL,3.)4.968 TL,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
1,GÜZEL GÖZ KG K,4y a k,DEVİREN,54,İ.AKIN AP,ŞAHNUR KARACA,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
2,DİBASIN KG DB SK,4y k k,KAYATUFAN,58 +1.00,M.BAYDAN,KAYA KAYA,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
3,TRESOR DB SK,4y a k,GELİBOLU,58,H.ŞİMŞEK,İBRAHİM ALTUNBAŞ,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
4,PRENSES SONGÜL KG SK,4y k k,KARA TURBO,54,M.UYAR AP,MEHMET BİRDEN,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
5,PRENSES DİDEM KG DB SK,4y d k,BABA MEVLÜT,56,A.YILDIZ AP,MEHMET BİRDEN,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
6,SAHRANIN GÜLÜ KG SK,4y k k,ŞAH ŞEHRİYAR,58,A.KÜRÜNDÜK,H.TARIK DİKENCİK,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
7,KAMİLLA KG SK,4y k k,AĞA KARACA,58,K.TOKAÇOĞLU,ABDULLAH AVCI,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
8,TAŞKIRAN SK,4y k k,DOST KARACA,58,K.GÖKÇE AP,SEVİM KARACA,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
9,İNCESUHANIM DB,4y k k,ÇAVUŞOĞLU,54,M.GÖL AP,MUHİTTİN İNCESU,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
10,İBİŞAH KG K,4y k k,JOKER,54,O.KIZILDAŞ AP,FERİDUN KILIÇASLAN,﻿İzmir,2023-03-09,2,,Kum,English,Thursday
1.)120.000 TL,2.)48.000 TL,3.)24.000 TL,4.)12.000 TL,1.)20.700 TL,2.)8.280 TL,3.)4.140 TL,﻿İzmir,2023-03-09,3,,Kum,English,Thursday
1,AZFAR DB SKG SK,4y a  a,AZARAKS,54 +0.30,B.M.MIRIK,HULUSİ ÇİL,﻿İzmir,2023-03-09,3,,Kum,English,Thursday
2,MINIGUN KG,5y a  g,THREE VALLEYS (USA),57,Ö.YILDIRIM,SÜLEYMAN AKGÜMÜŞ,﻿İzmir,2023-03-09,3,,Kum,English,Thursday
3,BUSTANY SK,5y d  a,YONAGUSKA (USA),56 +0.50,M.ÇİÇEK,ERAY KOKTAY,﻿İzmir,2023-03-09,3,,Kum,English,Thursday
4,BOUKEPHALOS KG DB SK,5y d  g,VICTORY GALLOP (CAN),57,K.TOKAÇOĞLU,HULUSİ ÇİL,﻿İzmir,2023-03-09,3,,Kum,English,Thursday
5,BAŞDANER KG K DB,5y d  a,TOCCET (USA),58,GÖKH.GÖKÇE,ALİ GALİP MERCAN,﻿İzmir,2023-03-09,3,,Kum,English,Thursday
6,DABBE DB SKG SK,5y d  a,MENDIP (USA),58,N.AVCİ,FURKAN TAŞKIRAN,﻿İzmir,2023-03-09,3,,Kum,English,Thursday
7,ZLATIBOR DB SK,6y d  a,VICTORY GALLOP (CAN),58,VED.ABİŞ,SADULLAH TAŞ,﻿İzmir,2023-03-09,3,,Kum,English,Thursday
