horse_no,horse_name,age,origin,weight,jockey,owner_trainer,venue,file_date,race_no,distance_track,race_type,horse_type,race_day
1.)192.000 TL,2.)76.800 TL,3.)38.400 TL,4.)19.200 TL,1.)33.120 TL,2.)13.248 TL,3.)6.624 TL,﻿Antalya,2024-02-13,1,,,English,Tuesday
1,DRAGON FLAME DB SK,3y d  e,TOROK (IRE),55,E.AKTUĞ,EMRAH AGUN,﻿Antalya,2024-02-13,1,,,English,Tuesday
2,HIŞMAN IN MY HEART KG DB SK,3y d  e,AIR VICE MARSHAL (USA),55 +1.00,MER.ÇELİK,CEMİL ÇİZİK,﻿Antalya,2024-02-13,1,,,English,Tuesday
3,Mİ PRİNCESA ŞÜKRAN KG SK,3y d  d,TRAPPE SHOT (USA),56,U.TEMUR,GÜLİZAR YANIK,﻿Antalya,2024-02-13,1,,,English,Tuesday
4,HÜNKAR HANIM KG SK,3y d  d,PIANO SONATA,52 +2.00,SER.YILDIZ AP,SABAHATTİN YAVUZ,﻿Antalya,2024-02-13,1,,,English,Tuesday
5,GRANDE STEEL SK,3y d  d,TORUK MACTO (IRE),54 +2.00,F.FELHAN AP,EYYÜP AYDINLIKTA,﻿Antalya,2024-02-13,1,,,English,Tuesday
1.)240.000 TL,2.)96.000 TL,3.)48.000 TL,4.)24.000 TL,1.)41.400 TL,2.)16.560 TL,3.)8.280 TL,﻿Antalya,2024-02-13,2,,,English,Tuesday
1,HÜRADAM KG DB SK,10y k  a,ALTAHA,50 +2.00,E.TUNÇ,SELHATTİN KURT,﻿Antalya,2024-02-13,2,,,English,Tuesday
2,SEMBOL TAY,6y a k,ÖZGÜNHAN,57,M.KAYA,ERHAN AK,﻿Antalya,2024-02-13,2,,,English,Tuesday
3,SERHAT FIRTINASI KG DB,6y a  a,ÖZHABER,"51,5 +1.60",C.PASO AP,ERDEM KÖZLEME,﻿Antalya,2024-02-13,2,,,English,Tuesday
4,DELİ YILDIRIM KG DB SK,5y a  a,TURBO,59,N.ŞEN,FERİT SARAK,﻿Antalya,2024-02-13,2,,,English,Tuesday
